"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11424-1","heavy",10000,0.4901,1.0089092289123,0.473761195870133,0.252151857628015,0.975969981497656,0.409468589522432,0.364509711862266,0.0251773323607657,0.0353352303155601,0.0301333622295115,0.97359530311326,0.416128148164459,0.371041211732567,0.0255053541673826,0.0357433439754358,0.0295950218764757,11.5740000000001,6.47500000000002
"11424-2","heavy",10000,0.4826,0.987036289434105,0.514819129263607,0.223365339064588,0.953641511371486,0.439688687433418,0.336239656788665,0.0245766009154812,0.0345781120412924,0.0290639341549743,0.9506568759819,0.451683494936689,0.350828456560071,0.0256680126325274,0.0362546421047424,0.0294318375019845,12.944,6.56299999999999
"11424-3","heavy",10000,0.4875,1.02576552362173,0.496906519978246,0.215593729222552,1.00159873790496,0.37136990308141,0.315830084795372,0.0238942680071394,0.0302707935206373,0.0291578115589015,0.990914435157078,0.401847206882831,0.351704620629914,0.0247775454814665,0.0342691211386547,0.0292077785309006,13.294,7.76800000000003
"11424-4","heavy",10000,0.4758,1.00378032107006,0.511870633080497,0.244218016091295,0.963515659992286,0.443756453618185,0.369539479115987,0.0247686934679983,0.0348839391674812,0.0295420206813818,0.962592978818632,0.451647292706382,0.377525828330523,0.0249359738992623,0.0369819595942309,0.0277131617298781,10.7089999999999,7.27100000000007
"11424-5","heavy",10000,0.4799,1.01447601344151,0.504688736635011,0.249157147629835,1.01704297047329,0.341705957510723,0.356493387763148,0.0246914767872499,0.0325276524543876,0.0283977350238696,1.01068908390325,0.362238637162049,0.371862722084311,0.0247917797392488,0.0365331574432664,0.0283976314665153,13.23,6.11300000000006
"11424-6","heavy",10000,0.4892,1.00250693771935,0.486142703397581,0.256122467366189,0.950249743321892,0.500779145143882,0.352817865713937,0.0253337678477167,0.0379824435915666,0.0295817863778979,0.945613662675356,0.515446052696391,0.367181843311334,0.0254616070345268,0.0401824677183416,0.028765423131889,11.312,6.71699999999998
"11424-7","heavy",10000,0.4861,0.972836479034081,0.494405518901913,0.303325003220393,0.945979631012649,0.396839946352899,0.40155981094758,0.0249111453233396,0.0319405302637406,0.0292507926297057,0.935341184104151,0.425302840488652,0.423893665679691,0.0250289733358531,0.0346833192506577,0.0286191436820969,13.261,7.40700000000004
"11424-8","heavy",10000,0.4905,1.02232201897962,0.489879558632295,0.235032755587166,0.998192786811964,0.349821683826913,0.342783376477208,0.0243101935750694,0.0275251046650243,0.0297331117570122,0.990143178828732,0.374895745230325,0.374993582456863,0.0255823140698047,0.0308778363718219,0.0284917853527753,14.0469999999999,6.21500000000003
"11424-9","heavy",10000,0.487,1.00212931984807,0.497963986054838,0.247260228859865,0.965133815745153,0.430783418471289,0.363775908224156,0.0253782141102225,0.0355844330645534,0.0293810599156796,0.961166994339841,0.438547664321556,0.372282397397411,0.0259389748188978,0.036368089114161,0.029408398025431,10.76,6.93200000000002
"11424-10","heavy",10000,0.491,1.01497067030462,0.4799993345802,0.264365919106851,0.987723692126093,0.392740190279627,0.352296543895644,0.0244753249763677,0.0324438351571643,0.0297811654997773,0.980118991589336,0.417121192397743,0.380678750973818,0.025721851911373,0.035888161968592,0.0288827595842552,12.2940000000001,6.99699999999996
"11424-11","heavy",10000,0.4926,0.999394544083431,0.491775014693544,0.250242586592509,0.957510413990657,0.4378666632019,0.357048538625035,0.0245444601275189,0.0328041057746582,0.0292196288640664,0.948891384234848,0.462668490279968,0.383947503967989,0.0255106397983501,0.0371075668673012,0.0296557889952181,9.35800000000006,6.59400000000005
