"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11441-1","light",500,0.16,1.00438844687268,0.534433558844659,0.203191384734331,1.01991035150256,0.358332457277469,0.289642048672975,0.0947845551732959,0.111856974395251,0.126962672367468,0.995878333997806,0.43415222232623,0.293081635726937,0.0956398601478751,0.134100137869289,0.125647219392194,0.701999999999998,0.612000000000009
"11441-2","light",500,0.158,0.976857249564233,0.504769325505738,0.307878771352165,1.00645796889397,0.343113933102344,0.380813026719401,0.0959196059114991,0.0960861987512633,0.131662034878457,0.980219229661608,0.40743884626963,0.385144251765014,0.0992062418887536,0.121939205380684,0.135039924891123,0.667999999999992,0.612000000000009
"11441-3","light",500,0.174,0.94290559813493,0.495024052040357,0.183599370278289,0.916587124777844,0.504672511950862,0.230049303314369,0.106768405272409,0.13078176194758,0.139527017877232,0.910864734108819,0.514766313015091,0.239378956854551,0.10463825280022,0.131157791624024,0.134492086309711,0.655000000000001,0.609000000000009
"11441-4","light",500,0.174,1.01721982257101,0.499450172870158,0.147896442858667,1.02062142520783,0.370048789488135,0.240874390284314,0.0939924249068929,0.101483674228767,0.128596288224284,1.02601035360084,0.375172896513834,0.242059624281591,0.0963935908475109,0.10317151812309,0.131724633180071,0.674999999999997,0.609999999999999
"11441-5","light",500,0.164,1.06455010471555,0.484574662636219,0.255678150456714,1.04756344167768,0.457506051745153,0.318778395145814,0.0995542450464935,0.12708108470828,0.126776538219509,1.04326315036736,0.460991222814694,0.316806302341949,0.0971688917222275,0.124685163923384,0.125055388176058,0.626999999999995,0.609000000000009
"11441-6","light",500,0.142,1.01648347122209,0.515223476582137,0.289754985284301,1.04274867654268,0.322719509482446,0.382744824772698,0.10261191555063,0.182656566514704,0.13470753541382,1.05099457876096,0.306454716981726,0.387575729282017,0.103449111145936,0.183337143292758,0.134671073891135,0.646999999999991,0.616
"11441-7","light",500,0.172,0.951158778439837,0.525036711495657,0.252625302423401,0.985636529949816,0.330435701069249,0.328096405083816,0.0971943286271222,0.113584877694107,0.133859908849612,0.972355678746953,0.358709953763293,0.347223891371266,0.0986329472639408,0.137002819841262,0.134809752108203,0.638999999999996,0.613
"11441-8","light",500,0.184,0.974189619446369,0.518830518486714,0.250096220441355,0.970697127491717,0.402635357195446,0.318362708195318,0.0969350490329871,0.111120265597781,0.134703591214057,0.966021367691892,0.425822894854099,0.328676623782636,0.10112390763249,0.121987005140995,0.132353557030261,0.671999999999997,0.613
"11441-9","light",500,0.166,1.02997548064627,0.493953900349971,0.193234687147061,1.01890725731258,0.415157781311875,0.234408744920938,0.102888502966343,0.0843771338087783,0.134319654220615,1.01100075044244,0.445829624754173,0.245445675584049,0.102782324071634,0.0976480486459954,0.135563681485389,0.64800000000001,0.614999999999995
"11441-10","light",500,0.14,1.01797408916414,0.496693774499872,0.171483887413524,0.989585444545624,0.510731617722027,0.22072113865683,0.102693438004564,0.123266059040446,0.130836786317992,0.988326660633909,0.510033661911189,0.218327235811406,0.0995254211913064,0.123501214142828,0.133986679717901,0.626000000000005,0.61399999999999
"11441-11","light",500,0.178,1.12455333552201,0.636301710064269,0.122229860202464,1.11567985209249,0.582786953766185,0.175499396753954,0.108317442317136,0.130679959943187,0.13744708701945,1.10942560665676,0.609090417260175,0.176520308830042,0.10890090885714,0.139246668069493,0.141103684326595,0.65100000000001,0.617000000000004
"11441-12","light",500,0.184,1.04504110288368,0.483873215190631,0.349380235368768,1.05711383693905,0.3132193641654,0.45153460501548,0.0996502360201922,0.0881120841284849,0.137551749547445,1.04213989577182,0.375744394962265,0.444796205308533,0.103051592861518,0.106045897490701,0.143507950758859,0.650999999999996,0.615000000000009
"11441-13","light",500,0.154,1.05055235021951,0.391739249699055,0.245374112255509,1.05633128402518,0.272295781192193,0.322360033982316,0.097545416394555,0.114725638984218,0.13013829356562,1.05485820485825,0.260377376068123,0.337657791241127,0.0975519532629924,0.126084111447387,0.13443247995178,0.647000000000006,0.614999999999995
"11441-14","light",500,0.156,0.925102400429935,0.529062866082968,0.195586014788383,0.953994178320859,0.379942830794782,0.243380932555269,0.0944269244927799,0.0969497213333024,0.127642613849524,0.930077960973684,0.446208644000223,0.255519269980108,0.0985697825081379,0.122274135216023,0.129037016783068,0.667999999999992,0.609000000000009
"11441-15","light",500,0.15,0.920547533827532,0.580276376405002,0.377087192904004,0.959822850262441,0.397685498913655,0.439840228162261,0.0934590360181808,0.110159491872831,0.122781320387473,0.879005661012586,0.605384784461848,0.436379058301815,0.0925983980784536,0.101621762150252,0.122355084082972,0.656999999999996,0.650000000000006
"11441-16","light",500,0.16,1.01475431969319,0.551492149568832,0.126143135180084,1.00742004173255,0.427051969017807,0.190393189510011,0.100312766226339,0.109770904880541,0.130495734406812,1.00059630877783,0.44758566635348,0.196972795718992,0.0998173677689353,0.112775591799564,0.132129827483595,0.791000000000011,0.613
"11441-17","light",500,0.168,1.00742105635852,0.448515603798679,0.303142567329891,1.02792578909059,0.259135981151844,0.36757998999827,0.0992904186941235,0.0707350482379503,0.130011956374389,1.01642318497692,0.291323174412741,0.371291468155152,0.098141736727298,0.0838167432429788,0.130840089346486,0.676000000000002,0.611000000000004
"11441-18","light",500,0.172,1.1586048697418,0.385589167786549,0.11219063964125,1.17470985094883,0.279097035714868,0.158891410436492,0.0973940002279632,0.116818641684817,0.132320958644581,1.13904540847003,0.387672298534109,0.155696807434553,0.0964292020456288,0.122672191414853,0.124792203088136,0.655000000000001,0.608999999999995
