"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11424-1","extra_heavy",500,80,0.814,1.02751450709635,0.478267735783292,0.223904337703204,1.1335366175044,0.058154212236874,0.314849126819798,0.114860626124604,0.108002366739734,0.203082085652771,1.07239628684922,0.606053010857156,0.330731035008057,0.167469942895435,0.788679103092505,0.149645364890682,174.93,5.91800000000001
"11424-2","extra_heavy",500,80,0.812,1.08861854000238,0.507326212061354,0.211667119620001,0.982863755830645,1.4080175992773,0.150638896511807,0.156018174852309,0.842485813631285,0.185788474932514,0.902266290641611,2.54250448244738,0.259443645792735,0.172734975019101,1.16880356251292,0.134045855883878,399.963,5.43399999999997
"11424-3","extra_heavy",500,80,0.77,1.07921267404689,0.459341309615799,0.196634789546576,1.14194827601361,0.196330557468907,0.319421154972971,0.136398166232294,0.351673572092158,0.148203857057191,1.11839027036646,0.729020562520542,0.329468856871289,0.176977328281773,1.11207646884772,0.133252884017973,291.423,5.62599999999998
"11424-4","extra_heavy",500,80,0.818,0.924437064127937,0.483965211947034,0.327031199376416,0.990684596505809,0.275148990563355,0.38012373654496,0.135627930484143,0.337639025480079,0.151199265488506,0.932149915155554,1.09088788056379,0.423527012218039,0.158505363400683,0.972585628615698,0.134141694176397,285.723,5.94499999999994
"11424-5","extra_heavy",500,80,0.834,0.987792769484757,0.509512463646689,0.294892833310735,0.937448811805278,0.154133400975314,0.210684506348065,0.146273609629968,0.109703628553953,0.241467690846041,0.828780192645911,1.85520225354019,0.416359525089198,0.172096430914778,0.912451309015231,0.144653483782251,156.055,5.74800000000005
"11424-6","extra_heavy",500,80,0.828,1.07565854502872,0.461659627937568,0.277564933837686,1.14958767058591,0.290089782007192,0.190394785251658,0.103707339260709,0.310348656173365,0.246196691441293,0.989790814581997,1.5209095709152,0.33890245090753,0.162803367929072,0.966244730955056,0.143466392934183,284.59,6.04100000000017
"11424-7","extra_heavy",500,80,0.834,1.07049855191073,0.27558069234685,0.223105159692425,1.14176507587037,-0.0100192025277206,0.296310839464474,0.1227665522493,0.266740548107069,0.167585042460568,1.12788370012413,0.0447895814723435,0.295268757502109,0.161340948541188,0.61298140605222,0.136670637055675,253.916,5.91100000000006
"11424-8","extra_heavy",500,80,0.824,0.964877428495806,0.592676119623754,0.14030541987836,0.969386941997606,0.427135166100775,-0.0394557491435663,0.125090815144346,0.240092049730214,0.220659986649271,0.726424853930536,3.09108694599376,0.212268818129106,0.167412928665204,0.977002841778577,0.136758517724921,223.082,5.9380000000001
"11424-9","extra_heavy",500,80,0.8,0.897728426066112,0.509630353729152,0.262121097199601,0.915004707661348,0.646527952914827,0.341233350738935,0.132099475517054,0.487010596610294,0.138343711435211,0.876383922892866,1.44499633346106,0.38426165538833,0.149907902268725,0.935487574677994,0.124839856568501,309.388,5.81799999999976
"11424-10","extra_heavy",500,80,0.828,0.971123422863105,0.630645047651818,0.180378444144171,0.805488983766261,0.177048197546914,0.308551775655223,0.179151027320348,0.117718344693585,0.21393507723077,0.729248395468261,2.46095833076438,0.387030804676958,0.177559809354036,0.972100712330264,0.123067382723745,141.792,6.09900000000016
