"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11437-1","heavy",500,50,0.498,0.939502470337764,0.45342692435016,0.337093076384017,0.985546530943603,0.295648667858702,0.355165593231618,0.105138744346154,0.171917395704874,0.141457982095566,0.89435227070571,0.527123376051656,0.325462595218955,0.111656643776419,0.240951414833041,0.156958740717653,255.656,2.25999999999999
"11437-2","heavy",500,50,0.482,1.00413648470266,0.535826326405865,0.260111388373661,1.03435693945202,0.515266786297087,0.302357101958845,0.119078631654828,0.173983585866864,0.14672796301442,0.939606544830715,0.764949168597366,0.270675918554017,0.123868110103129,0.182476306045269,0.145273795530131,254.972,2.17200000000003
"11437-3","heavy",500,50,0.496,0.987930684544275,0.490599873954106,0.28137021219107,1.04704934084939,0.455747701055488,0.360985978455406,0.099698252294213,0.23861863608655,0.13810663825094,1.00249036130658,0.422910498529667,0.373592624664634,0.110274934396445,0.228887537696045,0.121512007345277,286.486,2.24900000000002
"11437-4","heavy",500,50,0.488,1.07952821667458,0.349327291307057,0.344305089377387,1.12027673455552,0.138709378567685,0.469796308559347,0.104244250163054,0.179528149618165,0.138232701348242,1.09328081727846,0.279335334811599,0.418034090777376,0.106108799939135,0.235014627668176,0.136826014387322,266.957,2.22199999999998
"11437-5","heavy",500,50,0.472,0.953021410469191,0.483218723407944,0.235074680236629,0.988889603506694,0.516149762871662,0.290997011948476,0.097156924647561,0.228108794355594,0.128423582657956,0.893879075812065,0.829631967849691,0.212268930759238,0.101962337322824,0.234117221639024,0.141381106321541,264.601,2.16299999999978
"11437-6","heavy",500,50,0.52,0.904519779887309,0.560195360725138,0.293497828720493,1.00630122076807,0.433363997581597,0.350454209038985,0.103174558106886,0.189505235934906,0.130543756676893,0.902496155763444,0.702658248071842,0.260955617298024,0.111427747821873,0.205990567164301,0.133080454080688,294.668,2.31399999999985
"11437-7","heavy",500,50,0.486,1.04189790846936,0.55278739848442,0.19952748716852,1.07895175933204,0.426670931866805,0.301641534106977,0.104185071234033,0.168193181952398,0.148055038214236,1.01214382408993,0.637429429620924,0.244648882463558,0.09889427091765,0.201674192033464,0.126707946340097,282.04,2.2170000000001
"11437-8","heavy",500,50,0.496,0.991284954846757,0.466633989561168,0.275489419281065,0.993699880760286,0.529460845170237,0.391694692619848,0.104684412433252,0.253643631087989,0.150536756810633,0.955201781391851,0.600092140647389,0.339808499704267,0.104100582885364,0.214254991799733,0.145443888650786,266.501,2.24600000000009
"11437-9","heavy",500,50,0.484,1.04359206814799,0.531670581729349,0.209918798853313,1.08794226057792,0.381252913822037,0.280913436895885,0.100872602058233,0.177037642111225,0.128742785407976,1.00916090519281,0.578944588034692,0.238044061546967,0.111889386108953,0.20654940654314,0.141667837565074,265.3,2.21799999999985
"11437-10","heavy",500,50,0.508,1.07569324469931,0.53133039019584,0.109676366325651,1.13196171982179,0.517454369693714,0.197985013660286,0.112103884685138,0.218044579140246,0.149667350122564,1.03903046139319,0.706958808323099,0.160411575610273,0.110700449203639,0.215721621634403,0.131832051083018,294.941,2.29600000000028
"11437-11","heavy",500,50,0.474,0.988096252370875,0.477738209363088,0.359727424153971,1.00317866655592,0.682606636494663,0.367624107507997,0.10053661711727,0.217126208899701,0.129563563146858,0.907676772502088,0.876874293002667,0.368583878981629,0.117148682438292,0.248102413196183,0.128767467849825,230.279,2.16400000000021
"11437-12","heavy",500,50,0.456,0.996603107443313,0.49541723407982,0.27865179728381,1.02694442782345,0.396357599363848,0.443858705303012,0.120745321445582,0.267444562123766,0.145282326563573,0.963554974868293,0.656884927200069,0.365600883982758,0.116245878387662,0.268017671764633,0.14200166433296,264.254,2.14100000000008
"11437-13","heavy",500,50,0.494,0.99555830006276,0.49773118061564,0.289466999433629,1.06031448242891,0.330770916559593,0.362516854367822,0.106696426313108,0.188773263532448,0.15753280714963,0.947710727264557,0.699446736446092,0.276733973272816,0.122062193681608,0.238146371517974,0.154611921584295,279.277,2.23900000000003
"11437-14","heavy",500,50,0.47,0.922173203747452,0.550152937010784,0.230368326425615,1.01933217007103,0.360149990843989,0.242123301425759,0.102203040108641,0.122122098502091,0.148672972230086,0.957728911974165,0.577328343618309,0.164608512093566,0.10818173524222,0.183920844561283,0.122111855637777,259.005,2.18100000000004
"11437-15","heavy",500,50,0.462,1.00911335310478,0.331111257443417,0.403288481108145,1.03007685531483,0.28906418772218,0.444091616953443,0.0944593961189754,0.180815221482094,0.124085752236649,0.978150366385566,0.420018113073837,0.43110960563575,0.111904871287991,0.218623697024026,0.135641061280251,239.361,2.14699999999993
"11437-16","heavy",500,50,0.51,0.954295085869204,0.46583141760893,0.431439780871736,0.960299927577562,0.544388674524014,0.462933064430208,0.107924212908228,0.192608798135959,0.124777567985097,0.870893275263424,0.784272056443374,0.419110604936987,0.110294881047485,0.269535267605396,0.142517564528192,281.532,2.29799999999977
"11437-17","heavy",500,50,0.472,0.933953315340266,0.439942158307495,0.331946766878112,1.00360121059245,0.288555004677106,0.389310319092802,0.0938082873419428,0.16369327661155,0.130722400619608,0.923902240908879,0.56340138542221,0.301605855689306,0.10063323037117,0.199812178106612,0.145698759468545,263.871,2.17399999999998
"11437-18","heavy",500,50,0.466,1.02814142288583,0.649652331293751,0.0659566608623061,1.06768516664721,0.71529851571551,0.11127900529299,0.103340376892511,0.196933647012366,0.14396787334327,1.00230458669662,0.873110470171261,0.0841406324253707,0.111000212782974,0.23828596385337,0.124524861083686,235.132,2.15899999999965
