"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11440-1","light",500,500,0.158,0.932340278725729,0.564639654703658,0.32520274422608,0.942367488011008,0.548455890169068,0.365304752282592,0.0699629391522942,0.0697897232852566,0.0965501528924273,0.886991575383517,0.685794142102682,0.313955179021842,0.0716875591027577,0.0838192472515464,0.0974544351316812,1419.523,16.1410000000014
"11440-2","light",500,500,0.176,0.93269900975013,0.627394088560991,0.312080507532246,0.937113866757415,0.702290867649592,0.324512412043988,0.0690201690101239,0.10669115028192,0.092947015984832,0.92087445881008,0.694796158965038,0.304341668983157,0.070557790446976,0.1078258091543,0.0941983553867687,1479.267,21.6229999999996
"11440-3","light",500,500,0.138,1.06580131082735,0.511820872939686,0.12805383108349,1.09438567314979,0.418997762260978,0.178831072486622,0.0687557835036412,0.0647333815346377,0.0962388963080239,1.07486426677263,0.465137484860808,0.138252242289666,0.0700208400050878,0.0740551017085324,0.0980577376124294,1195.831,20.6380000000008
"11440-4","light",500,500,0.204,0.840217390857643,0.624152821685996,0.221760950349597,0.873457180259066,0.502218922740839,0.312440666374801,0.0698972533091857,0.0737711085220395,0.0982920294910014,0.842360221493847,0.561085900999344,0.287872568909339,0.0721240773473927,0.0860049115327145,0.0998383099592627,1716.105,21.8799999999974
"11440-5","light",500,500,0.186,1.05325569372121,0.455667484234784,0.236467397992004,1.05750973226055,0.506510522157574,0.274754757680232,0.0752484953392129,0.100612353628612,0.0998668810806453,1.02553022223417,0.587941396505994,0.220091942948981,0.0760189610812604,0.105025934491061,0.101304861757844,1648.503,20.5780000000013
"11440-6","light",500,500,0.186,1.08185767631009,0.505543917361339,0.141117372137896,1.08478966423666,0.566063963711215,0.180733951484,0.0736638936693485,0.0880153495145018,0.0973583182288925,1.06235675915515,0.573530963335677,0.141752802759418,0.0750840075386473,0.0889754583073554,0.0986884420781367,1699.335,15.6990000000005
"11440-7","light",500,500,0.172,0.913536022414626,0.540453926477467,0.323082112589636,0.945139881153133,0.494185827590325,0.379710826286173,0.0683221259649461,0.105274571515561,0.0889082417341351,0.926073410693416,0.528229879089884,0.332355495393914,0.0685368165187047,0.102395617491133,0.0901705565893322,1396.189,15.0159999999996
"11440-8","light",500,500,0.202,1.02612475817878,0.427540133223273,0.205859613358203,1.03815536945379,0.431736792264614,0.244077670543813,0.0660753577120251,0.0929418833293462,0.092362055353273,1.01270227877406,0.467718912821781,0.206933494173425,0.0675950115112264,0.0958851033477306,0.0939250441588043,1618.75,16.150999999998
"11440-9","light",500,500,0.15,1.02544583123464,0.423809394321103,0.321424658758977,0.991865826056131,0.553888983277502,0.335579402513055,0.0649001092353693,0.0766405529864384,0.0883875497959138,0.985616339386562,0.541612430605465,0.311446030266895,0.0664204881230337,0.0815082673456841,0.0904107519478372,1233.972,14.7520000000004
"11440-10","light",500,500,0.176,0.995648186994877,0.507822681031334,0.15375732514541,1.02143261282191,0.484883920485969,0.180477890319936,0.0698419719865489,0.0872368179884236,0.0955899128853346,1.01358030173398,0.457626181262434,0.151434652311203,0.0708314321056378,0.0859217331410705,0.097440435932344,1444.581,15.8199999999997
