"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11432-1","extra_heavy",100,0.77,0.818245283782052,0.924493317922531,0.277039293936587,0.955541791428564,0.355544759112341,0.0205944481172724,0.169244685108834,0.284713422046029,0.40653748243676,0.767877174994772,1.9443551857045,0.467029860547273,0.265964107694747,1.5878611621319,0.221755551896986
"11432-2","extra_heavy",100,0.83,0.940624902822589,0.56432061378091,0.478469992231279,1.04574005943346,-0.000133607114002622,0.788805696312013,0.168682422761537,0.004181072599389,0.455836248506347,0.953409329355098,0.578000296810396,0.723915274665663,0.29462004308549,1.56202202742681,0.211558876442893
"11432-3","extra_heavy",100,0.79,1.04680495573146,0.358478557668472,0.356766907523675,1.20774528959754,-0.116451434016624,0.486906488804743,0.240449841263618,0.45291368709111,0.232897645943902,1.20836131722233,-0.393775004006767,0.47831039529838,0.296871304458075,2.16203391908528,0.207919570737171
"11432-4","extra_heavy",100,0.86,0.899680153567042,0.545304811718372,0.251221652991791,1.06680075758186,-0.000957970710422041,0.654980306474656,0.172126055435622,0.00277911330428915,0.478485660903103,1.00151894219886,0.473614291625953,0.447679493340057,0.346948552226762,2.68081491313583,0.220645597770218
"11432-5","extra_heavy",100,0.85,0.927368218588205,0.681605741799777,0.202893650002003,1.14492812098539,0.000226768169342768,0.358116360825431,0.218686605745911,0.00119903637361155,0.388258516904147,1.10952756913237,0.408597176306604,0.452672808683687,0.378287780740364,2.83017902172821,0.229179054840533
"11432-6","extra_heavy",100,0.8,1.31186758628257,0.208635767602742,0.161854825902392,1.16719254385731,0.34720566380323,0.0927534588987024,0.212059629854344,0.262857298590937,0.320653305781492,1.02143544722733,2.26286339200838,0.222307008000437,0.245179133316704,1.4458234238844,0.199233946894044
"11432-7","extra_heavy",100,0.79,1.16858879778963,0.245886619935043,-0.0914856147446709,0.885614547618259,1.86527598267248,-0.113733744210881,0.280092634110543,1.23388071632526,0.249227400654183,0.825518816567612,2.57626109617502,-0.0507235018340647,0.302426434254888,1.66066505423613,0.222966377375827
"11432-8","extra_heavy",100,0.77,0.825657568706302,0.857960427753735,0.266556628083828,0.911466389866233,0.341178515767405,0.154896029146846,0.201072372269919,0.182889595563171,0.43023944083407,0.674081031058037,3.02552160513385,0.502669676294533,0.250990099511489,1.40136611881133,0.217824459455825
"11432-9","extra_heavy",100,0.89,1.22278174917031,0.563978276180202,0.00690650494539953,1.52882248933471,-2.56840120759649,0.164899417825777,0.187333415130605,3.2313627170641,0.209400638380145,1.03846146097224,2.92664434431788,0.155343356470922,0.349833473367079,2.32899860895279,0.209777996631351
"11432-10","extra_heavy",100,0.85,1.04406250054277,0.36680602695445,0.443022424915374,0.952665186411269,0.575258855359333,0.516485194913782,0.30332175162915,0.688923048496388,0.321686869265491,0.830781632357791,2.27517528520888,0.552330351047426,0.361220996203399,2.24413144816536,0.216792515447643
"11432-11","extra_heavy",100,0.79,1.06336902579466,0.434883453693403,-0.112316994226049,1.15265743979113,0.00344970759724744,0.0366381018495864,0.151174950736029,0.0262172418155094,0.46499104266157,1.01637780829886,1.32553246067164,0.0788306137546271,0.281431286648796,2.2703731273433,0.21145288525018
"11432-12","extra_heavy",100,0.84,1.05996001421301,0.389082058660356,0.354417069502127,0.84017781072447,0.349785469949004,0.550127801858128,0.287527627569829,0.26260280339796,0.305110046594862,0.675111204100042,4.51000064911731,0.510459694304477,0.273106314414294,2.29572142099444,0.178742343686744
"11432-13","extra_heavy",100,0.84,0.92359045941577,0.60183886018198,0.41898447444996,0.971599919743755,0.0332633541106144,0.521478375499923,0.274966743863432,0.0575042228698771,0.290200420911721,0.824999273001354,1.81076011135411,0.565087213412729,0.301173287220727,1.89409569728133,0.201454063611047
"11432-14","extra_heavy",100,0.77,0.866623582974206,0.767364533573579,0.668777567213378,0.969458595520498,0.110808484799964,-0.43870001287773,0.171256527355246,0.0952308938242071,0.535629533003684,0.67092106964471,3.42437557766096,0.791433037833262,0.251255213099774,1.8519712679052,0.210919789473933
"11432-15","extra_heavy",100,0.81,1.16265147545108,0.578008481578285,0.163753802703206,1.39936775314219,-0.290938269175307,0.28516251775587,0.327440143945644,0.723959706528981,0.271052454751185,1.43996454725361,-0.964293383390117,0.302974457464883,0.292052744090837,1.80343505755984,0.207513106930699
"11432-16","extra_heavy",100,0.77,0.832040492427155,0.797596116209383,0.452193140114569,1.04294146142241,0.0131323250639922,0.469627697554471,0.220451481046363,0.92619025629443,0.225715159579556,1.05410017288385,-0.0801880037002464,0.481048243424861,0.260828423712314,1.79522547698785,0.198424755594566
"11432-17","extra_heavy",100,0.76,1.14853306711188,0.207352848091091,0.123717176503392,1.2238826259299,-0.0214474613050093,0.383525094567503,0.128094308152042,0.0502481616036889,0.415584015809206,1.01425026146072,1.73158896764286,0.135602433256971,0.221961405975784,1.67328600951163,0.196569127990336
"11432-18","extra_heavy",100,0.87,1.08843157784026,0.449980950449548,0.325292939225796,1.02385948354275,0.145366017190297,0.12731720983852,0.266940770731096,0.0938490241808621,0.411923900548744,0.860022325751927,1.92861514510893,0.461075371545029,0.379239134463792,1.67165061793358,0.2241315401056
"11432-19","extra_heavy",100,0.85,1.27608993248025,0.160787138406139,0.211295090733434,1.33357924484594,-0.0043310081779104,0.609227142065109,0.154675620716708,0.0160498137620016,0.491543541250258,1.06654920630852,1.36181177828525,0.221962061585539,0.271623749041656,1.23377278086871,0.190578275244754
"11432-20","extra_heavy",100,0.82,0.844524044848026,0.668171724289781,0.253254148084717,0.801156575405352,0.065710147972289,-0.52067517273558,0.243164698983962,0.0445959370304776,0.548404327019284,0.447592568362873,3.44131197061739,0.338234852006123,0.292775941244364,1.49275388451752,0.228381175761107
"11432-21","extra_heavy",100,0.8,0.902557743521749,0.436886558665793,0.423952264490044,0.908177136119055,0.13768369869387,0.54001955797905,0.318362144622944,0.258880899763544,0.303067284965561,0.693738469189008,2.34231715196281,0.54938499364287,0.280988578681379,1.72584235013462,0.21219990680092
"11432-22","extra_heavy",100,0.82,1.15734404655992,0.560925281582539,0.0254032932397631,1.3004986928272,0.0278736764619051,0.0133799711428216,0.267987015834624,0.0829009342934781,0.268172077311439,1.20170231146497,0.735914313650565,0.0902604190170665,0.307827999130381,1.49604333398097,0.215008630872586
"11432-23","extra_heavy",100,0.83,1.02510558144589,0.399770147691803,0.27132156097272,1.09327947457121,0.0121780904442192,0.256084777304255,0.205471578426031,0.0195396610573785,0.38447547305864,0.816100932825215,2.1639142986178,0.39458278593809,0.304681345940023,1.66140266405416,0.214227711383381
"11432-24","extra_heavy",100,0.85,0.98604530614654,0.701258009782923,0.177604042856988,1.00656586393096,0.260297199844707,0.397673194797479,0.311974389135613,0.357575643599891,0.324938978729695,1.14941686313567,0.239518127129279,0.380103615837348,0.355374788054274,2.27247887455694,0.210559638520622
"11432-25","extra_heavy",100,0.83,0.740874882253827,0.553835537613676,0.480366232847785,0.77448318596762,0.536129708527264,0.586392495840597,0.268091379479038,1.00544154129135,0.244403021251146,0.741624565821879,1.04765779096383,0.608763809050445,0.30502676845832,1.84809482131576,0.203156386061093
"11432-26","extra_heavy",100,0.83,1.01422284825058,0.42716190856439,0.35653207042304,1.09059001113602,0.371839089152164,0.198196710835395,0.210246538607283,0.39485605916307,0.296368537451092,1.1381687045921,0.264313657502728,0.425777447356466,0.286983465937336,1.55961630128701,0.190981267923579
"11432-27","extra_heavy",100,0.85,1.23291952863872,-0.0080651656832817,0.34312911522746,1.35383607328019,-0.758775083326013,0.897583018271108,0.202726577095183,0.802872529384313,0.491730264785036,1.34402416539491,-0.755641314489067,0.34778343976045,0.341350854782015,2.02377431301918,0.209808529608672
"11432-28","extra_heavy",100,0.83,0.967423068929432,0.572471462941091,0.0795484278852297,1.04592037735885,0.0283591627285731,-0.13354574528015,0.190474333990754,0.0262137140134451,0.413650438827182,0.944830744850593,0.704592452970676,0.295972699908772,0.292503575479039,0.887534011338524,0.221916489248481
"11432-29","extra_heavy",100,0.85,0.707093386754194,0.760331887664435,0.577515078334467,0.0879901677830063,0.858719678304895,1.33793948848604,0.47909967254718,0.53454378632394,0.50360936014196,0.188325928158394,5.07062763537387,0.815985646421047,0.402162049508188,2.36211206502387,0.239782177253477
"11432-30","extra_heavy",100,0.83,0.785980667835469,0.62927752498018,0.597595810786553,0.947232696276469,-0.000487065172185967,0.826136847260477,0.193297969762361,0.00537107372463392,0.39192379430944,0.896202061118337,0.285564443028141,0.805817440903043,0.335887318405712,1.86989855791241,0.234483840561333
"11432-31","extra_heavy",100,0.76,1.18128044000788,0.276864329106332,0.107171915614149,1.15909277599008,0.165279647561835,0.16293195255608,0.219438065838578,0.304156198552216,0.288375423941031,0.978652637900668,2.00634898187743,0.172842800460031,0.276899758019798,1.73786508706169,0.229144637643811
"11432-32","extra_heavy",100,0.84,1.00108596592632,0.429647542074004,0.215773499566318,1.12285609755391,0.184143112932167,0.0716720468456691,0.222231341970297,0.313089928935124,0.333585947945125,1.27804464082949,-0.531167758559968,0.262306292318185,0.315773746403992,1.55973366326704,0.211821520209236
"11432-33","extra_heavy",100,0.84,0.953186541814815,0.269306181150572,0.147656874076189,0.838861357104843,1.11036621205503,0.0958076548682465,0.241340565880248,1.19286305016222,0.254625392783855,0.827803567538862,1.31850420022046,0.213954126484631,0.280832270616012,1.63645842088439,0.198075445528536
"11432-34","extra_heavy",100,0.79,0.793489050992708,0.36062200836573,0.49572929384706,0.860129250093584,0.0730937947115749,0.601675401755161,0.266942836409044,0.278372348451641,0.24379563361578,0.859172091823561,0.548047362486695,0.573398339766647,0.271298034193063,1.76545666893636,0.195267636181043
"11432-35","extra_heavy",100,0.86,1.00932447084485,0.579927713100277,0.142886248129975,1.22586510375926,-0.0208914990609104,0.250566131186022,0.220900294186372,0.383269037228455,0.391390335112991,1.39610409166436,-1.38855306318988,0.332268154575047,0.360389995106462,2.37334049034733,0.210136780378841
"11432-36","extra_heavy",100,0.77,0.987721903180027,0.297913040017929,0.461179546479099,1.19424056447198,-0.393768668750167,0.861470110470862,0.176013840724818,0.296008865784531,0.334492060292513,1.32706721974162,-2.22291939894491,0.541077005536871,0.227336351407003,1.64619930289495,0.182673350296669
"11432-37","extra_heavy",100,0.85,1.46566069589725,0.483447514648565,-0.198717463941751,1.64111314050269,0.0162844399939253,-0.131278972338902,0.187102968785725,0.0761986115674542,0.467568438056598,1.27141276442433,1.5765766373362,-0.052676493670018,0.335878289604881,1.18394957005518,0.230626156038325
"11432-38","extra_heavy",100,0.85,0.847056858078553,0.701861711657292,0.358385016172253,0.967750708805782,0.146112598057775,-0.27008257660076,0.210845599618168,0.0966552614366596,0.440915262435119,0.728894625435163,1.85484448389072,0.436731529856895,0.291525226191593,1.08082564895005,0.207566531060484
"11432-39","extra_heavy",100,0.89,0.979177422408759,0.726428607474865,0.165293613053342,0.896244712297449,0.000147063523068381,0.269113465128833,0.352678326012559,0.000178367899420807,0.5902242214961,0.716510170729192,1.83652698444429,0.375114799610991,0.32805894699755,1.07745369862282,0.207125969559822
"11432-40","extra_heavy",100,0.85,0.907879473584206,0.514274048524093,0.147845798402589,0.927079946467973,0.119098009831702,0.00494044423031355,0.206443380948078,0.113546101397342,0.328798366644235,0.432643967907022,3.25182887146103,0.338399755320856,0.254654288863249,1.17049287697065,0.171004584062171
"11432-41","extra_heavy",100,0.81,0.857106007910212,0.569195399745629,0.427808347559961,0.762015514333957,1.61490622483877,0.187958078463405,0.231649164604487,0.999261292142265,0.414146003800068,0.700643456578537,2.53768801493437,0.567992396647722,0.303961187269209,2.02596523911864,0.225862480156222
"11432-42","extra_heavy",100,0.81,1.062576656723,0.494806472327447,0.156791065528532,1.09067498794777,0.105831567952848,-0.138087948826265,0.177471039435783,0.0945057262076476,0.35421399986347,0.776895884598153,2.19220983851738,0.287587357224634,0.263653035950335,1.20189051072008,0.194353766901253
"11432-43","extra_heavy",100,0.79,0.906321799541337,0.163033850057128,0.587949188672871,1.00429358717275,-0.0958720595444165,0.697125518819937,0.197373691017152,0.202803337232045,0.289231710998017,0.90873091098969,0.4120248132846,0.617012915729665,0.288877743120114,2.38542195725763,0.207830243303392
