"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11428-1","heavy",500,0.5,0.897372252611159,0.438492734269562,0.425538406275781,0.915761100545569,0.339442759165265,0.484506475087889,0.0744723035786938,0.11435123122875,0.0944530074918012,0.897861711527997,0.317012611151202,0.554749617175311,0.0804439343614631,0.122381365592588,0.0900633626638896
"11428-2","heavy",500,0.48,1.0267634278052,0.259801276459465,0.35225193894874,1.05062398294696,0.15891481862648,0.379689338087854,0.0763833831650935,0.116580742684098,0.0982968037876881,1.03943030540205,0.165883009227133,0.414833486961041,0.0842988837514644,0.139157076919963,0.0932290560352949
"11428-3","heavy",500,0.46,0.960174599019863,0.543543834076417,0.205686569344095,0.895969905200882,0.924282145595479,0.192483874797316,0.0801173502762298,0.173029648969022,0.103315738634421,0.867456286307472,0.719362111891837,0.36293488004174,0.0870937061039864,0.161548339748641,0.0965019359463872
"11428-4","heavy",500,0.474,0.915819549209147,0.543803845728065,0.245370953566574,0.9015444162244,0.716838061802605,0.189590096985802,0.0718649883602513,0.140515235278649,0.0973914338452631,0.850663799404184,0.71678635186825,0.345124873595508,0.0795139440964089,0.155920820566904,0.0902338461148264
"11428-5","heavy",500,0.462,1.01129556559348,0.430444077497341,0.365913005370574,0.970091565580107,0.714658761005153,0.329460963464711,0.0771608168910634,0.157565666233135,0.0993095921532487,0.932803685967967,0.633750200548766,0.450418490667674,0.0824593119686595,0.150617866376673,0.0932925420732832
"11428-6","heavy",500,0.488,1.05082433144395,0.549375959631066,0.139660874168433,1.01535184018731,0.602363035205358,0.16088826628517,0.079335812217524,0.140068239984849,0.0996292463825121,0.979827955892298,0.60796101133942,0.248071106724727,0.0848131478355328,0.144890150672208,0.0958607084102083
"11428-7","heavy",500,0.49,0.917565545515076,0.589009124459554,0.185253354148966,0.883808480351928,0.73553158324639,0.177314970789465,0.0806038635511421,0.155299590764286,0.0975566316277371,0.851614843071715,0.741109973347954,0.27302588706845,0.0865447785876274,0.169378423351195,0.0927813538752795
"11428-8","heavy",500,0.512,1.01565562881361,0.497965327248499,0.112278711266049,0.969722221424934,0.505047369549456,0.113072105598406,0.0848938578224079,0.111806675727111,0.106629521786728,0.925799628015594,0.584971411447887,0.219892817380747,0.0936281206845416,0.146556684309935,0.101889662485368
"11428-9","heavy",500,0.442,1.00879749385103,0.489525194445168,0.250499709382805,1.03756614159687,0.258758651916876,0.279658982892274,0.0698293440618801,0.0703782844267271,0.0960441756047884,1.01450911520524,0.278343269182764,0.361949135608008,0.0765235190596657,0.0946773319211805,0.0919978799415379
"11428-10","heavy",500,0.5,1.07628519568185,0.491581506123769,0.228835185684153,1.05729797417206,0.591377659289112,0.264501838373967,0.0775851117405721,0.132632818074752,0.0952751531185653,1.03937589544781,0.565303544559525,0.3465947702356,0.083302128998031,0.141557942279797,0.0921180160919271
"11428-11","heavy",500,0.496,1.03654143426529,0.535295414514448,0.194667280007183,0.980147233908795,0.822837916796188,0.122902308567637,0.0802322302225165,0.147686947016667,0.105068036659422,0.942501290343161,0.679320806607701,0.298503058908155,0.0874750622713941,0.146211280761588,0.0977401526054576
"11428-12","heavy",500,0.522,0.98316942160844,0.473461798813086,0.34564570115619,0.97740926805464,0.414034501709195,0.365964825901223,0.0751416051078514,0.105217780133223,0.0943349854543519,0.933153073998111,0.515443650084385,0.445932853452313,0.0826065110409746,0.135163386801506,0.0906056716141129
"11428-13","heavy",500,0.452,0.976493558969355,0.477260132789179,0.27541770939262,0.911097493017944,0.822835551299586,0.298693191294636,0.0822426293515704,0.208175402717908,0.100210930776307,0.885569892392702,0.773298888300345,0.375606477610783,0.0862951455083998,0.198164331219677,0.0965739520998071
"11428-14","heavy",500,0.502,1.02641240828175,0.483024100215234,0.276153712956977,1.0136884379769,0.494841695991655,0.223721221045282,0.0773776640986014,0.102860595748231,0.10414635782318,0.932989794834529,0.633188508749671,0.37390204380663,0.0855623105520555,0.131483979520432,0.0955615254956399
"11428-15","heavy",500,0.516,1.00786891773625,0.543371826198907,0.260715218282093,0.97009307125213,0.449339679216077,0.304913327131783,0.0813532628665871,0.0776150174550216,0.105234420378805,0.930736288630298,0.520639286287556,0.43341555051712,0.0887506733919767,0.108731328557546,0.0979464997473005
"11428-16","heavy",500,0.512,1.09139122027308,0.464376403246267,0.275102981408136,1.10699287836637,0.426033074577748,0.296838739684093,0.0796537739239409,0.133585755265278,0.0985123468289646,1.05313423720835,0.489921746717381,0.37985062361708,0.0861970679566963,0.141171393520545,0.092564187013542
"11428-17","heavy",500,0.476,1.0676221855173,0.530090014202777,0.214668737590075,1.05305567331486,0.603917273637406,0.270644070717473,0.0746570490783038,0.162801349706792,0.095011500311322,1.01102972068344,0.625407450137345,0.359842440123493,0.0800719266662563,0.168596203665911,0.0898616385535997
"11428-18","heavy",500,0.494,1.08132037190825,0.410344395347234,0.277504261846903,1.10447796274892,0.380955355892221,0.29279707808598,0.0782457129148258,0.167085983790279,0.103107382352896,1.08019949797947,0.337553654867189,0.363599787504651,0.0841867968649665,0.147628114996506,0.0957210329476906
"11428-19","heavy",500,0.516,0.980823884464051,0.618794480995131,0.132438200345204,0.968414638935085,0.661426293610573,0.120930603473975,0.0777311275598183,0.11383650992239,0.098855501223051,0.893883932453309,0.670906644336325,0.27852547768414,0.0851959650227272,0.126657783590066,0.0934420759260259
"11428-20","heavy",500,0.492,1.00083447169863,0.510479068941012,0.301482020537496,0.986012592332138,0.62794860693344,0.272403560305122,0.0749133171984396,0.14891055132857,0.108747937805667,0.977929310363411,0.396981115884706,0.463377499038849,0.0824412364246233,0.133716951353981,0.0958872471897354
"11428-21","heavy",500,0.502,0.955948638657465,0.518589938641261,0.339218623031095,0.962205645580192,0.591478942662634,0.326006622840631,0.0727309885347203,0.149863099743569,0.103093995828954,0.905326853437618,0.494531511514655,0.487599805732765,0.0794714694426545,0.122406400681345,0.0908932163017559
"11428-22","heavy",500,0.49,1.04859516710459,0.42066027102742,0.23658683158236,1.04506552820108,0.509965313037476,0.196078274035399,0.0720693403336467,0.137628028597445,0.0973440007935061,1.04242301509936,0.421223815611681,0.307039533760765,0.0807068300819693,0.156700676025509,0.0891097906176959
"11428-23","heavy",500,0.446,0.97414027606855,0.568597500011787,0.272801055043146,0.98380560373041,0.662187887278386,0.214558970941214,0.0714467521072806,0.116056059887442,0.103736172040924,0.937356379926533,0.48680221547324,0.422388866327468,0.0778687843969361,0.118778067736954,0.0959317540505791
"11428-24","heavy",500,0.502,0.91921527081492,0.54319405750017,0.361413268526437,0.907417602169964,0.602810655292667,0.394408060318152,0.0767711485990863,0.145695669438584,0.0981561695375331,0.883038535876658,0.517140082246239,0.497535544288803,0.0828849210314565,0.140512973609135,0.0928590405383193
"11428-25","heavy",500,0.462,0.99783956113098,0.548233231313519,0.234329187694189,0.993066939981593,0.567328069883882,0.263212398409064,0.07894548436432,0.138365251412588,0.10204495763368,0.952043164244699,0.58194444329025,0.365484470254787,0.0851805187585402,0.147299566709087,0.0964087920228873
