"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11439-1","light",2000,0.1645,0.979846496538999,0.510377209663588,0.239794741251256,1.02157320575263,0.365881539790352,0.236795787387968,0.0332043121246328,0.0290828006641522,0.0467656690224028,0.989910298649553,0.369624558825745,0.302908205758974,0.0347388362487604,0.0370561722343083,0.0466657123324136
"11439-2","light",2000,0.17,1.06167714348977,0.501350305761044,0.18550158394142,1.07043595884557,0.474039297264096,0.183066472409435,0.0343640704252922,0.038459522321762,0.047769088327846,1.04836990668685,0.431298429196487,0.251391500157407,0.0353371305819791,0.0405829337207928,0.0472367846073857
"11439-3","light",2000,0.1585,0.940195351581323,0.499931795300022,0.29205028917862,0.931517953209367,0.52073241153277,0.291623097488403,0.0333449783548367,0.0379291051253669,0.046813522439632,0.941608374499894,0.353265023527407,0.402923874723658,0.0346223194606143,0.0402014802806865,0.0466608415425625
"11439-4","light",2000,0.1425,1.01282057942067,0.511289178309808,0.189405110720206,1.0120269801033,0.497617291206931,0.201411455594695,0.0335228670765992,0.0409824159392562,0.0455583665234489,1.00652083956802,0.398941022704602,0.27017735566072,0.0343813791394997,0.0413250084455101,0.0453399949047074
"11439-5","light",2000,0.1525,1.0150348670191,0.464732193831788,0.27365919677727,1.00227955563207,0.505401452227401,0.264746797563596,0.0328605965801523,0.0396436001418685,0.0460122874620238,1.02525027125468,0.311979296538136,0.371635545805178,0.0363991454725273,0.0583078591134252,0.0468269275161792
"11439-6","light",2000,0.165,0.982878494469209,0.480783379112022,0.218750578256339,0.988371275424567,0.459023992481892,0.214301705441107,0.0330327302430408,0.03681674795227,0.0457945342433312,0.996653884327977,0.312202772075898,0.319286876247197,0.0346984462436227,0.0418493685873818,0.0455694137429834
"11439-7","light",2000,0.171,0.958411516269909,0.534145560866308,0.285515548971876,0.947766067195423,0.575425137383009,0.271823957343751,0.0338249706156507,0.0403735726723723,0.0456676844937683,0.93958201478652,0.486098922286616,0.352839223280392,0.0348846523334694,0.0420949243083203,0.045413752082113
"11439-8","light",2000,0.165,0.969462819590999,0.506578865143941,0.261510063924182,0.967071663299869,0.530012068093135,0.270063541976839,0.0341047604841785,0.0447549640126431,0.0467419230123471,0.963841915550958,0.4465326427887,0.333710348086671,0.0350343812585752,0.0446651772059903,0.0463144792536331
"11439-9","light",2000,0.155,1.04039781486238,0.451863380290779,0.235054492357909,1.03703698853413,0.447401621475635,0.239167206421711,0.0343811819489066,0.0430371907187604,0.0469511035602724,1.02722274760367,0.397320495297611,0.291608952641763,0.0352534362160607,0.0435850490022358,0.0465037065499048
"11439-10","light",2000,0.175,0.992356528881361,0.487228200098482,0.25842691503712,0.998323921773947,0.466162649964029,0.250158440300336,0.0334401821296875,0.0385007496114106,0.0469951637866851,0.977887730708778,0.414268724266889,0.327874168900076,0.0344929100743022,0.0413879233984164,0.0462722830150472
"11439-11","light",2000,0.1675,0.996556737566614,0.508354857793632,0.286625812351785,1.01508939984665,0.450684132462973,0.286429827373948,0.0338777204763126,0.0360977670784778,0.0472720863578231,1.01652732053012,0.30949643956448,0.392391812931568,0.0350784644520114,0.036723626754693,0.0467570872770022
"11439-12","light",2000,0.1745,0.980651917393219,0.476316312070933,0.272002385037827,1.00612691449404,0.389787068371907,0.284576490756201,0.0345978157252538,0.0381724548535545,0.0471629338962888,0.979296540496166,0.386781529966065,0.339860578179128,0.0357499217255065,0.0407453744936359,0.0463626976232929
"11439-13","light",2000,0.1605,0.958104755573378,0.516959110351729,0.254442054671683,0.959322377111047,0.490856606806588,0.253046617520127,0.0343239400214733,0.0388181771658938,0.0475769545916793,0.96598802638775,0.346278547643068,0.350835513117138,0.0356055461282816,0.0414246330749721,0.0475147845230233
"11439-14","light",2000,0.1785,0.983711591200248,0.521617335517865,0.297129205321131,0.984243136916278,0.523914305008899,0.288464106355835,0.0337107360767908,0.0402766604397117,0.0460108315975997,0.964304077639117,0.455642296470436,0.367359683296251,0.0345199512386218,0.0385648898303378,0.045152048014552
"11439-15","light",2000,0.1655,0.980708691872219,0.487742351639126,0.270208852627162,0.980262510715026,0.488593571620363,0.267361373894329,0.0336437877537086,0.0400117959353163,0.046923257969754,0.974206143345474,0.375998215864248,0.360370067033441,0.0347007014637275,0.039687305087297,0.0461592325619399
"11439-16","light",2000,0.166,0.991513758620415,0.533690718347924,0.222756106366235,0.984957357473996,0.572635889077631,0.207766759908171,0.0345577067194961,0.0429703766815981,0.0465465451702853,0.966242353936366,0.530567212632491,0.273011173668067,0.0355003789370755,0.0474652346560405,0.0464360581520874
