"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11437-1","extra_heavy",1000,0.822,1.02109947097825,0.411755792591337,0.355941382809194,1.00957008792999,0.342981797664651,0.293902671186055,0.0624433575569249,0.0951008521954353,0.0781225957222054,0.896135511209487,1.50992932637476,0.460723860763707,0.0926429573762891,0.459289813587229,0.0656601761770266
"11437-2","extra_heavy",1000,0.801,1.02318325699387,0.435270224013001,0.295086775037706,0.998300148193336,0.713635019852212,0.313281815747191,0.0643887115928078,0.229213844754626,0.0776692639773712,0.91977494294501,1.14524483856233,0.444811010257934,0.0822677705331373,0.354963298798851,0.0657478430697204
"11437-3","extra_heavy",1000,0.812,1.04642639908273,0.533345787103025,0.159691492656905,1.12266497519325,0.204196307390278,0.213073318981438,0.0566473123495232,0.108603296877653,0.101919562850959,1.01466219111826,0.912555971951344,0.353486770991279,0.0849928050817969,0.376924315690615,0.0678261236702918
"11437-4","extra_heavy",1000,0.836,0.913971457092404,0.532428934596146,0.300997685262921,0.96783040415904,0.23699019309608,0.267031326942413,0.0580684279623722,0.0734350999327064,0.0928078387148146,0.802319597838944,1.40485672877982,0.485857339984192,0.0913991567502338,0.39820813080411,0.0657796757314738
"11437-5","extra_heavy",1000,0.799,1.0366360543021,0.51685955675865,0.160465412337796,1.07536339601553,0.389410812898975,0.0894746151942112,0.0553675983427653,0.104542531591882,0.0864588491936727,0.999506852984639,0.686609170878467,0.325024584575749,0.0818638093533895,0.23994753139901,0.0655057784279656
"11437-6","extra_heavy",1000,0.795,0.938361792636418,0.458745315518403,0.365875646866451,0.941907054014608,0.428616868510723,0.341911475280177,0.0594330802509481,0.128291554454595,0.0735846588646107,0.880118432254932,0.958617586663774,0.482073726652965,0.0786202001165722,0.318462844270976,0.0627053261162914
"11437-7","extra_heavy",1000,0.826,1.02187581261992,0.477563407653082,0.286727970653343,0.917104392877219,1.2631302761691,0.245582024132214,0.0686235295061214,0.280742563614062,0.078858329969405,0.884761575108295,1.50189194915014,0.425984432474676,0.0860428794046159,0.423207815127746,0.0665126736546953
"11437-8","extra_heavy",1000,0.848,1.0335716168527,0.544793704188645,0.259068934151262,0.965197468832134,0.827603467544546,0.267362445701727,0.0761685577904093,0.212136262354946,0.0735624375341196,0.898846837721669,1.54118745672393,0.399806605336782,0.0955216177185681,0.422349295178498,0.0668019695999723
"11437-9","extra_heavy",1000,0.809,0.924620282641116,0.526375659933691,0.309826333282265,0.911782591824829,0.621122247306612,0.315559233647596,0.0623872495419477,0.172574766345279,0.0779831459167475,0.830796167411751,0.95507792904757,0.479329722728927,0.0796650354721567,0.268823880658817,0.0667012546493238
"11437-10","extra_heavy",1000,0.807,0.933161355210611,0.541963770525777,0.334701238351928,0.822250671215661,0.932700224578573,0.171140542774763,0.0577169799599486,0.136330327103926,0.0807219168421718,0.611759632378534,2.45716754520794,0.526210475262162,0.0812562860897049,0.360444424870174,0.0651668903369348
"11437-11","extra_heavy",1000,0.825,0.879410916348237,0.544315425710133,0.385885387391143,0.872713468289058,0.521851951424213,0.269947571473108,0.0560720341822949,0.113016357452346,0.0931891414855582,0.73364244481785,1.443292366403,0.571937961369083,0.0821011031529279,0.347361235524321,0.0650895176617876
"11437-12","extra_heavy",1000,0.808,1.03853308212222,0.478971668723466,0.212810282634539,1.01711709125873,0.566287203785586,0.173953289857256,0.0636980130026067,0.155567380716392,0.0806202615821223,0.905647650159135,1.42473639064211,0.35443938182845,0.0897666930588913,0.397441769129194,0.0652373684342022
"11437-13","extra_heavy",1000,0.803,1.03507668512037,0.524034775391163,0.156873951290736,1.07826388772585,0.525073700451613,0.0146784325873512,0.0509791404101581,0.132431023027902,0.0991606141231963,0.948559994748689,1.21251786879976,0.310480385915809,0.0756736367945165,0.336525342325222,0.0653761759731924
"11437-14","extra_heavy",1000,0.813,0.919433218784978,0.559523103222689,0.297610178565497,0.955345872661602,0.440202491168985,0.262829338534988,0.0564905730748854,0.114648960227806,0.0803802974759443,0.873421468283268,1.1884381629399,0.46312670651866,0.0827773154932484,0.3821335699118,0.065471366682326
"11437-15","extra_heavy",1000,0.811,1.01146931580761,0.528903758123397,0.287486679011134,0.997035551765859,0.39212834326031,0.191226664644973,0.0589113800518424,0.0876413269149785,0.079448702950785,0.886431810608434,1.29859221511562,0.406310299899642,0.080392312384522,0.30761453464488,0.0652001609185528
"11437-16","extra_heavy",1000,0.81,1.04641327007216,0.48221497252608,0.254481612972987,1.01250257247865,0.718590535096575,0.30512356028558,0.0689215439958728,0.224392903817467,0.0725897626014635,0.927689876877464,1.15227204383275,0.408305956573068,0.0808172660753711,0.30716982059328,0.0657305388652363
"11437-17","extra_heavy",1000,0.83,0.957924278468139,0.599955104617474,0.234475894842698,0.981732302479669,0.690281416243197,0.173322344600418,0.0650398935752404,0.208434739185082,0.101245316655295,0.824324934500801,1.5431706453808,0.408775583401348,0.0937022471763759,0.405152648615802,0.0673834750112035
"11437-18","extra_heavy",1000,0.808,0.961689319311384,0.523183224263522,0.276937920163697,0.981496223823708,0.502564458649511,0.380085089911415,0.0715125402619163,0.201254504991218,0.0723885946668937,0.924491347973506,0.781733772222201,0.456883642030198,0.0849986670039921,0.286155276177235,0.067052214711107
