"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11423-1","heavy",2000,0.484,1.0114319126153,0.562158353874311,0.172694806480581,0.990684775551047,0.639023963210048,0.189468080307393,0.0536913488204525,0.10054969907032,0.0775587070405857,0.973150222296266,0.531266676141544,0.304344669079327,0.0588277597701451,0.100086174538473,0.0655349237140679
"11423-2","heavy",2000,0.4875,0.988777873147943,0.534357131724304,0.218882983824351,1.01560445259554,0.417427856849972,0.262900855591031,0.0461479197738323,0.0954661212873737,0.0592449690167382,0.992184086256109,0.418077921273047,0.333744393046123,0.0510967710279992,0.103513055118851,0.0612441165233163
"11423-3","heavy",2000,0.4855,1.04023970679041,0.476478763042798,0.235757441442845,1.04003305803983,0.506138815521629,0.227561520473403,0.0601288573875071,0.133076649753204,0.0743964954430603,0.980449988197845,0.558345357177449,0.340238104494787,0.0564809957280358,0.0973129500510223,0.0630009300201573
"11423-4","heavy",2000,0.481,0.951013059445988,0.481301745248854,0.338052657178234,0.945427376903812,0.534461506488316,0.363063170603256,0.0521710253665595,0.103648280713252,0.0566639806168771,0.942366098891314,0.462133284021326,0.440324501819728,0.0533469956136085,0.0935226445883159,0.0644966079763957
"11423-5","heavy",2000,0.4935,1.03045993837111,0.514209333423997,0.245247647389049,1.03201262816335,0.504340028399774,0.283077573794307,0.0567594409913099,0.104812428211119,0.0750079012748051,1.00251537141182,0.413645984728891,0.389913198180349,0.0545531995794798,0.105989250345071,0.0686294279817241
"11423-6","heavy",2000,0.4805,0.975824533274522,0.501661817289916,0.260088454030547,0.96607084310892,0.615185617389379,0.220141650434088,0.0506023058021526,0.110288602811078,0.0658923191281836,0.918169548251659,0.570804480190694,0.356956756485223,0.0560252970660294,0.110120263767186,0.0625730946131144
"11423-7","heavy",2000,0.482,1.02259395843314,0.46732197397416,0.260958333058715,1.01600578463406,0.473288896311022,0.259409177204556,0.0503098792073598,0.0906793165264549,0.0737603353089422,0.965743729199779,0.456358551798442,0.378114688465831,0.0533912167723257,0.104179880572804,0.0679489440912663
"11423-8","heavy",2000,0.483,0.956584563319266,0.50142102432947,0.289577923694254,0.985417278607584,0.478860203839819,0.328200039985141,0.052881189498656,0.132903265565073,0.0665312077472006,0.954789755156666,0.461147294741128,0.398807102327759,0.0642178629688533,0.116670993898912,0.0640319366389039
"11423-9","heavy",2000,0.469,0.937414960529198,0.48685930449155,0.308778187401818,0.958848820026235,0.481801069610894,0.300711603639748,0.0550072195759156,0.101235553394337,0.0644938965240563,0.906394264182673,0.476276937489924,0.413377160211828,0.0574257683038412,0.10861372510503,0.067733130436041
"11423-10","heavy",2000,0.4935,1.00036938284789,0.48854770998645,0.281914619981239,0.982667210848811,0.60317893098172,0.277629974861616,0.0513135731876189,0.135543947211627,0.0774502365286975,0.962208173864901,0.474368825236057,0.391520029653662,0.0512461847647039,0.122167941478009,0.0651063612674224
"11423-11","heavy",2000,0.4915,0.950858906260924,0.461621038000707,0.326864702514531,0.935383081478918,0.500136620827439,0.36047019269687,0.0534808713362909,0.0948927122874117,0.0657460177820445,0.927385908006324,0.411379630157868,0.443280001464024,0.0518449182633359,0.0960407085838226,0.065813492635963
"11423-12","heavy",2000,0.482,0.97012008274689,0.504219100736592,0.24989607970306,0.964250600747369,0.501556357121836,0.273923937976118,0.0493631075041499,0.103387762445213,0.0649861940417491,0.927653857010437,0.48422312804894,0.377714766027146,0.0615267551754116,0.0988464071100214,0.0604318413534791
"11423-13","heavy",2000,0.4905,0.9702159603945,0.530920573373072,0.298246297217155,0.964162639502604,0.50842421344614,0.379407108532632,0.0580082674076607,0.125406839663344,0.0713200627031123,0.932438121449061,0.533911800038945,0.401741903017088,0.0601731492933621,0.136485757167307,0.0573837132456859
"11423-14","heavy",2000,0.4825,1.00594895115804,0.447093745596642,0.220348691720625,0.977098275514752,0.525522642285462,0.261686249410442,0.0671032109010136,0.101769299633384,0.0762839186120249,0.980919142834089,0.470958210350409,0.313641493899669,0.063740497946782,0.0990901542204203,0.0642548390442256
"11423-15","heavy",2000,0.489,1.0245992929739,0.52153227579809,0.235256191720505,1.02801259965169,0.591213454653845,0.19528377590015,0.0530904849442522,0.114312002793503,0.0670284907230245,0.959887990802425,0.572337809552578,0.349665049432057,0.0664180314472675,0.104859895568393,0.0613718250725986
"11423-16","heavy",2000,0.485,0.893558287832054,0.493081710722333,0.368557811609347,0.899736765600164,0.438497668265863,0.376933176915702,0.0506837468029821,0.0844116236036685,0.0788458421959911,0.855315959683964,0.431078926402554,0.480811284297483,0.0610430589644565,0.117185034182984,0.0650494345597232
"11423-17","heavy",2000,0.4795,1.03344898748192,0.543768081198423,0.134956490328602,1.02120864491717,0.625905997053098,0.137578436576229,0.0466431325064955,0.109387018049723,0.069745257143768,0.999670323576205,0.534277868122081,0.255518545511162,0.0602722685840207,0.114187579477844,0.056809196623884
"11423-18","heavy",2000,0.482,1.01938475427174,0.519378191757573,0.207894710241192,1.05853176224988,0.410515353813446,0.217260999931123,0.0514087276498473,0.122012718923743,0.0781079993534116,1.01328356957425,0.357319402440327,0.354628318372712,0.065294221242802,0.0877818140943413,0.0703280476194241
"11423-19","heavy",2000,0.474,0.957223464839756,0.537117929086092,0.260151267928409,0.92814083926068,0.637207769266041,0.235353127099519,0.0581806209456283,0.116082308671423,0.0754303151450361,0.868615260802952,0.605295613314089,0.368789110041883,0.0530048767702633,0.0987214753285163,0.0718541817158917
"11423-20","heavy",2000,0.483,0.966626640197293,0.557479265895046,0.224009689463299,0.948111108814273,0.577369543870135,0.267123539815403,0.0537311112148143,0.105229465663282,0.0704538434365546,0.950451958544487,0.544512322580744,0.328820859669524,0.0644159586746401,0.131370198152217,0.077257990432317
"11423-21","heavy",2000,0.4875,0.961079052151138,0.517304936077336,0.287938892218408,0.939461573531437,0.600026393684534,0.271370033923875,0.0537234804990429,0.097367778436587,0.0659973176858612,0.894668405939876,0.558025232717356,0.413593059561528,0.0574537197707629,0.0988844629203082,0.0680430514368761
"11423-22","heavy",2000,0.478,1.02039985199636,0.520470994383201,0.204801065725724,1.02685638639325,0.537302528608707,0.225739086340156,0.0532730133201067,0.110352521599472,0.0774576138344198,1.00781104287827,0.412107691138973,0.355102582345555,0.0532063394528168,0.0933356039657149,0.0633971690555652
"11423-23","heavy",2000,0.5085,1.00962900838409,0.515262952933551,0.197474032537994,0.991984737268589,0.516620693300319,0.21224550914911,0.0598139086492183,0.114960980614798,0.0643600404389445,0.941972982799847,0.523634221868152,0.337014958585114,0.0479795959937755,0.0947328780585085,0.0631295950947296
"11423-24","heavy",2000,0.4895,1.01902880386666,0.526705481887832,0.192742918614778,1.03382545885238,0.507285788437538,0.196423156129954,0.0515749642976128,0.106360314911054,0.0670172315747318,1.00701239134619,0.376214680828947,0.347826721284582,0.0548251976144483,0.0978595402377389,0.0651052115294411
"11423-25","heavy",2000,0.4805,0.954549177694697,0.55052256522017,0.307544959556355,0.959596792547643,0.566756367035926,0.320490225472402,0.0632319423195618,0.129746291659882,0.0645755676764367,0.880299419979378,0.635795012669142,0.427570751079114,0.0629696951410296,0.106109188242318,0.0640482267365029
"11423-26","heavy",2000,0.4965,1.015039827478,0.556828676013949,0.211525615252348,1.00025571069613,0.587513703793691,0.219330911749984,0.0580873774142769,0.0929464791939124,0.0679949939941729,0.946437341756099,0.602624069487737,0.358568091733031,0.0699338560286467,0.0935689819438838,0.0721280405132231
"11423-27","heavy",2000,0.4995,1.01469270804731,0.413153496946523,0.274766918679379,0.964338997678722,0.544629223851261,0.293638069050714,0.0507014200518494,0.101785359411997,0.0676388639858499,0.9372238870267,0.487872748206555,0.391175254274542,0.0554291677553856,0.0893106167740725,0.0675282333691182
"11423-28","heavy",2000,0.4735,0.96231489583018,0.488606819217708,0.335270960300689,0.957973513147042,0.598031604107677,0.363056727478717,0.056321045537734,0.105881940823992,0.068131746063206,0.961601207680624,0.432319140940716,0.450811578750573,0.0501250506707802,0.10029252973781,0.0589359429226228
"11423-29","heavy",2000,0.4815,0.943466867180297,0.498637046120083,0.283729548393475,0.91933085172553,0.576777680199532,0.282550640897924,0.0460267619579534,0.105906164144032,0.0758691273350299,0.873717921448365,0.469967139625135,0.423011364452257,0.0537901830472041,0.104208008416779,0.0619903435635032
"11423-30","heavy",2000,0.5015,1.08537366901907,0.455558757977388,0.170945222804886,1.05424548084346,0.553686411157773,0.166161570526314,0.0565452049325199,0.104193286299712,0.0764392852230584,1.00140759433005,0.504798847931209,0.310622068671379,0.0556869664168204,0.109161077826744,0.0719381858423101
"11423-31","heavy",2000,0.492,1.00658012452647,0.53779791533735,0.208471168164152,1.00594890454183,0.507384784533241,0.170940722856879,0.0591656718978683,0.125474166804887,0.0821101845325285,0.966910301313592,0.450501937156306,0.332815226569494,0.0611771982051849,0.0997759197943787,0.0657004102326377
"11423-32","heavy",2000,0.4855,1.06571181080302,0.499317919870153,0.215384083220899,1.07795369981336,0.416833020328984,0.267260129244015,0.0556073715723307,0.0899943194049902,0.0723383229066549,1.06941072121548,0.348997781502003,0.333448020130125,0.0600486085015605,0.0939312263258652,0.0643431399903913
"11423-33","heavy",2000,0.4935,0.992391349806081,0.55213551160122,0.220725831556452,0.997604625240725,0.517612688268122,0.226916600895774,0.0601732213589296,0.132117650598835,0.0764760712610519,0.944922188491162,0.508159833068626,0.34449129575584,0.0587194416192724,0.105693972735517,0.0634730173803821
"11423-34","heavy",2000,0.478,1.00205982486412,0.422182607274497,0.293117481503982,1.02063150635712,0.354356639175486,0.307862730456394,0.0563603963014812,0.101753107000164,0.0773125465195874,0.996871622195775,0.36268094953736,0.386718809361912,0.0548503458953022,0.112864347517879,0.0640544749725122
"11423-35","heavy",2000,0.4735,0.943994577867624,0.47065544920692,0.316140054631256,0.929701095000543,0.556215738083805,0.299652884328042,0.059473736213242,0.121935727543089,0.0771848210992025,0.886321973123173,0.54003235723864,0.401100081402312,0.0545664655531159,0.122456093569657,0.060950150631717
"11423-36","heavy",2000,0.4915,1.04124831120934,0.517984594467029,0.206216599823599,1.03610741309276,0.53271683310795,0.236677122611072,0.0572338481863504,0.0975248294310287,0.071989490680237,0.986854895507141,0.572850214365116,0.331699715789881,0.0579290706352681,0.102070397692064,0.0736416972070788
"11423-37","heavy",2000,0.4935,1.02101113423602,0.559789948998668,0.223810212031609,1.05122389391999,0.414910443356549,0.210413316724844,0.0496022049738604,0.0766673787552466,0.0691480144289614,0.958196463390932,0.50644678287914,0.368083996154903,0.0492701429499412,0.0736097097241925,0.0730134207209851
"11423-38","heavy",2000,0.488,0.979434089079783,0.482476098920313,0.235804989170492,0.962780971709386,0.524410286342405,0.243301935731116,0.0442108092345859,0.0970975589127485,0.0637744098188504,0.926474262649579,0.501306115791595,0.363445455907025,0.0553495161839881,0.107493574707619,0.0684375956774955
"11423-39","heavy",2000,0.4665,1.03521858347148,0.497397734385167,0.188403495589116,1.05030799188486,0.517247471978872,0.19362945027864,0.0522199325672425,0.106096861315337,0.0752199108300119,0.99966424819066,0.499384356251179,0.302009647178132,0.0572848531390971,0.0927299505101347,0.0665767712804361
"11423-40","heavy",2000,0.4815,0.973031357544011,0.541935985596967,0.219323727023505,0.964050518675344,0.593069637793225,0.270352144433764,0.0541064092215482,0.137933705417346,0.074337095296162,0.93131610629815,0.51162087226633,0.38347205670445,0.0559975669585591,0.0954296696581957,0.0613079375837817
"11423-41","heavy",2000,0.4765,1.03245137233988,0.55892039695771,0.190109393069,1.02642707021398,0.596727349648424,0.202102847614847,0.0573578325485187,0.125648746904489,0.0705950520778572,0.9746666266222,0.563572237982122,0.355357703163262,0.065890543706392,0.108627103507048,0.0669959810536039
"11423-42","heavy",2000,0.474,1.0166614361019,0.502015300462501,0.217269240219165,0.991943273371451,0.594885984570406,0.211026390026617,0.0528376033009375,0.0923993177042756,0.0724649310892966,0.928733427297479,0.614685484350433,0.338537146681926,0.0532893001416178,0.100731867796696,0.069402895399365
"11423-43","heavy",2000,0.4845,1.01800127574831,0.409156552939299,0.284094615835164,1.01232859709701,0.436568288963765,0.273124703613381,0.049076811874706,0.0952189057773802,0.068184286391107,1.00770592222031,0.343251114317317,0.39264288223291,0.0568299471528528,0.0852796979519077,0.0611173495481172
"11423-44","heavy",2000,0.5035,1.02556327003757,0.477279703210841,0.243401011403843,1.03217727150685,0.49599758612284,0.272797019071095,0.0521031666482328,0.11025219960898,0.0664284636277475,0.998098990326808,0.446043972186709,0.346978007595708,0.0563092705361533,0.0942790690312379,0.0663570237748157
