"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_non_extrap","beta_non_extrap","gamma_non_extrap","se_alpha_non_extrap","se_beta_non_extrap","se_gamma_non_extrap"
"11440-1","light",500,0.158,0.932340278725729,0.564639654703658,0.32520274422608,0.928207907490025,0.571615827143249,0.302620360735159,0.106794300403971,0.124925426942209,0.133062450988197,0.864641036517917,0.63603022753259,0.398466538388822,0.0938632826798584,0.139512392199377,0.12611848389321
"11440-2","light",500,0.178,0.965555367154892,0.513693839521821,0.189979519982476,1.02585815058755,0.439888834781983,0.169222465239181,0.0919203348199361,0.102808792710439,0.140234175928187,0.988057268566079,0.455517217958039,0.210775518504787,0.103627372502206,0.117294039500918,0.135485038946066
"11440-3","light",500,0.196,1.08119686811294,0.43779302768166,0.202785831072141,1.04839700942509,0.498404812650344,0.212208531724502,0.108622009967126,0.14528479411444,0.124392816493311,1.03683297124174,0.449499694257647,0.249875757903362,0.101721457445952,0.131622434407102,0.12141016035955
"11440-4","light",500,0.19,1.05232855616486,0.428110247926148,0.161516896515572,1.05165304770557,0.374195463594476,0.1914073207261,0.098647180340591,0.138553793586293,0.123400484512814,1.03639572532857,0.340689662039674,0.266070174034484,0.109544632730733,0.139587680367401,0.148739107236491
"11440-5","light",500,0.176,1.08925862723804,0.462579736371816,0.0312822475445994,1.0732785573256,0.434664817657726,0.0302398236877942,0.0954967987499914,0.122802001796223,0.121774925764283,1.01360872124138,0.561412712207944,0.102669739194493,0.0861448600390839,0.101298095252166,0.122707475612501
"11440-6","light",500,0.182,1.09823705492617,0.606326985009227,0.0881388707417199,1.09977114908933,0.510723551120945,0.0857041629631245,0.0955535164552863,0.125122704841604,0.150490040746407,1.10521518222007,0.502430335936243,0.162934800131066,0.105232816751145,0.112247178122816,0.137277119160589
"11440-7","light",500,0.156,0.969425774771211,0.444276416832326,0.27257891338052,0.996080148337604,0.398482564860897,0.24793277117968,0.112436174006454,0.127372723559488,0.146018450107031,1.02189582579158,0.228387820858787,0.33725077087112,0.0973216377952842,0.113658392874762,0.131860051234038
"11440-8","light",500,0.14,0.931204735190929,0.516116483232225,0.357440876327897,0.957292390510357,0.441304645352145,0.342064886740763,0.107467102607498,0.138603098117637,0.130670532051724,0.889216425290017,0.456696058000328,0.418739263684352,0.0957922470274725,0.110595209506739,0.137907756646887
"11440-9","light",500,0.196,0.951245815808228,0.434315697047538,0.374192185867011,0.931979084403994,0.436243571900156,0.393512863848915,0.086537095248586,0.103518133409683,0.113048690963118,0.917927379988624,0.434755195809821,0.41326122671258,0.0890514373143897,0.103763444923164,0.113418013243503
"11440-10","light",500,0.166,0.955195526681833,0.417194012498379,0.381711093263524,0.949022991012854,0.450024409188269,0.369144751936711,0.0888004789155497,0.140180677575061,0.128498455868654,0.904454247776154,0.38558160231072,0.462180629709891,0.0864281464583565,0.101064003315669,0.110916326597895
"11440-11","light",500,0.18,0.982490969860448,0.464870648542541,0.302167394478433,0.973050692976941,0.450505482590973,0.321238770558679,0.0996822713831633,0.12390624136524,0.121967106500276,0.980805151648084,0.367554983038852,0.395082746904649,0.0985349787102149,0.108065868856491,0.119685985250632
"11440-12","light",500,0.192,1.0469049351105,0.435144605170842,0.239871144024198,1.01969815415137,0.415278846964734,0.289312328152438,0.0945226882274174,0.135486123372851,0.134335276703992,1.00221664674116,0.420756187575525,0.31595896489768,0.114971997818693,0.114360328048972,0.151547978308762
"11440-13","light",500,0.156,1.02401667707029,0.536135065003824,0.245305071530677,1.07736267962626,0.368902173952485,0.256901171482249,0.0909641361771527,0.167650966708339,0.166683381838098,1.02206762468236,0.414273768329848,0.299136107281161,0.0879429588026287,0.137370964045903,0.134744452384946
"11440-14","light",500,0.188,1.06456631573888,0.544206720970738,0.18893292165306,1.07338258705017,0.57376041651926,0.154071601310623,0.0945679794838364,0.109759994126402,0.142371275991816,1.0421386730707,0.536573164122122,0.260908457917679,0.0938757547406,0.127540922099262,0.112902446882697
"11440-15","light",500,0.17,0.948405171869557,0.575138469763329,0.245495491918554,0.936451750048835,0.513605536952355,0.258637140908168,0.107769624171787,0.138183613401583,0.121473682057576,0.917525207322036,0.588405990629841,0.268398126358087,0.0869538360824317,0.140575043452593,0.119556499201375
"11440-16","light",500,0.154,1.04146191663369,0.428049479986882,0.198775579000399,1.06250500166036,0.329051593715125,0.180238134504037,0.104889942241018,0.126480948963178,0.129634127551511,1.03840621127119,0.296119116390905,0.295949808348352,0.0917760768286813,0.108893637413803,0.12938867126839
"11440-17","light",500,0.182,0.995525592211468,0.558059468779768,0.191055766986376,1.01133698554209,0.536557576153335,0.206642837199137,0.102812236604057,0.150735727978071,0.140868536195307,0.975158125102051,0.472169636662058,0.291042982862836,0.0885407978680782,0.128272184200089,0.139518331226873
"11440-18","light",500,0.152,0.951728490595533,0.412771679480151,0.271238100901265,0.945269547605975,0.403269128523919,0.260322726894061,0.110581681430768,0.119632733818823,0.151313719201722,0.955441960957102,0.326194799256582,0.36114378190605,0.0998206812469309,0.132787965628142,0.135075953813551
"11440-19","light",500,0.172,1.01712937764139,0.464609744183798,0.300418199409647,1.0446947795308,0.396234239430501,0.299018922373652,0.0752757027315188,0.0929979968316738,0.112817054765327,0.993652625662364,0.411313096549566,0.355156121177303,0.122291320493982,0.117536767953757,0.128728226428647
"11440-20","light",500,0.166,0.882294717772039,0.54018467542387,0.410536859663993,0.876343628136752,0.533535140738245,0.409007253300959,0.0914472863938181,0.131844442513572,0.127452837363307,0.862305659299207,0.452581118770893,0.499646031775437,0.102280123498356,0.12065427170469,0.130520215800146
"11440-21","light",500,0.188,1.06344838297137,0.562293886634241,0.11082700618934,1.08067230151134,0.510803872392115,0.134225154502542,0.0999324772046788,0.127523042724828,0.114109941922718,1.0172334049951,0.595164089011887,0.205915405361591,0.0917612023814383,0.12314777880799,0.131846106557098
"11440-22","light",500,0.172,1.04883462534475,0.537020194185315,-0.0465893853677196,1.06622276769319,0.46635157018323,-0.0495037797384928,0.0945028156467153,0.112945367121647,0.126221509797947,1.02632127703326,0.510657825067035,0.0150388033970206,0.11232440326713,0.126158427044803,0.130622213344551
"11440-23","light",500,0.162,1.01420455134682,0.485616857937045,0.142371157974032,1.00341104806427,0.450507871373095,0.167498440299496,0.0938823378885965,0.104022966970205,0.13633060434153,1.05984811688351,0.292051265417079,0.229722529693695,0.0932406527776449,0.140740864696108,0.125026106790255
"11440-24","light",500,0.19,0.896147387391709,0.507824124982164,0.308912457418845,0.925458483766531,0.447846517113676,0.318549544468229,0.09120976271767,0.157486638923409,0.120455960007525,0.902011318099481,0.386922800106197,0.407355324706449,0.0996953632842247,0.129807864794359,0.116083771498262
"11440-25","light",500,0.17,1.01854199699055,0.454408229399137,0.272759214501932,1.003478042308,0.42052042178448,0.299064298790674,0.097517813675407,0.17800841472162,0.120458787623687,0.997915778985483,0.429293262840956,0.319270651386889,0.102256090169557,0.168305586708076,0.115392159147464
"11440-26","light",500,0.194,0.882964091339646,0.392310055953151,0.452285914562825,0.895497200976576,0.330774317380142,0.464188590854956,0.09311904062382,0.115363409360987,0.121918047230698,0.866156564747208,0.257971718742878,0.570060970584614,0.0944749675257496,0.0973306968949405,0.132488234048673
"11440-27","light",500,0.174,1.020507131128,0.528823892373747,0.278354590330571,0.969338688842037,0.623782990947091,0.253381742094706,0.087481299646784,0.132308208631254,0.131006738962263,0.976612835138926,0.546497767738739,0.360485103602916,0.115700315346963,0.148545390140905,0.153066066761125
"11440-28","light",500,0.178,0.931489565055675,0.574116358224672,0.237525204850089,0.907846939026,0.574212957447508,0.25689746286222,0.0891414824063715,0.141242742404634,0.128210355215027,0.882807207870236,0.467685907951582,0.346235421863805,0.093181201810475,0.128465624440301,0.141503528108354
"11440-29","light",500,0.178,0.920782182471946,0.533554549885606,0.280142768471682,0.943683811956545,0.484137288049887,0.285854840826536,0.0939450520421669,0.11869066787791,0.132070092575371,0.915009335379677,0.46010149004947,0.373374657192574,0.0940985301197363,0.128130038724406,0.118540825165031
"11440-30","light",500,0.146,1.02796456730481,0.562566756011382,0.139703971257046,0.984547063202694,0.617220386925776,0.17259078928828,0.102555794234734,0.139717177228129,0.136430723325918,1.00483640246851,0.530938818235841,0.22067811172675,0.12202262709667,0.161921949969714,0.126752886247233
"11440-31","light",500,0.178,1.1461373414707,0.357721750980075,0.15599638580052,1.16858625119191,0.334796477567698,0.179495071465663,0.0942911814273594,0.128150904345792,0.133999224260805,1.15555059867992,0.254542971626924,0.206006087528695,0.0887452258459738,0.0908455377525369,0.125737191307106
"11440-32","light",500,0.146,1.09623030638988,0.452156011120657,0.17226748246089,1.06882239627733,0.572090476784044,0.127994557382536,0.107009607114375,0.146460474598428,0.128091995930968,1.06773071117467,0.539855730953734,0.219582332025627,0.111082604258471,0.141896920412826,0.14011658715035
"11440-33","light",500,0.132,0.996257731066204,0.436015181875169,0.274120126306338,1.03490492572921,0.248046207515816,0.332222107552314,0.0993828505894682,0.140066180292323,0.160660872573239,1.01700617282985,0.301109134113454,0.347341886142905,0.10945640859582,0.108511421918197,0.136915269117407
"11440-34","light",500,0.184,1.01938009884276,0.503454430904227,0.1755473535666,1.01104716770643,0.438172298181488,0.211893527580711,0.0831621324524521,0.11596431190534,0.130097494772624,0.997657035441465,0.441460737469974,0.270649617453212,0.102492029367904,0.127675926501243,0.115369854790444
"11440-35","light",500,0.174,0.931954531323442,0.601886862325571,0.208320630130426,0.909043983335009,0.61359891782316,0.224618544953656,0.117868121090702,0.131300616022549,0.133945533285867,0.90147821565244,0.61845521348168,0.243639654794811,0.119524182943339,0.16197010711972,0.158297222957713
"11440-36","light",500,0.174,1.06779141085438,0.398702369092134,0.273221929486906,1.04485354172256,0.395787357999815,0.279628861532882,0.118556195355413,0.130494917401046,0.154860955013033,1.10665189116523,0.248940266980617,0.306655986320265,0.104462650963633,0.122231972962239,0.150903335626811
"11440-37","light",500,0.162,0.997173649832598,0.530688190754697,0.24517310587936,0.968239509165055,0.490422514675544,0.236953393228161,0.107819696960582,0.11851790097274,0.150416700427538,0.992339244253652,0.350101344127055,0.352520299270526,0.119925752808276,0.115948643719921,0.14174534142888
"11440-38","light",500,0.194,0.901941327224083,0.544626903013088,0.260361164330633,0.896859959853289,0.529762095745396,0.233782671315855,0.111086943456381,0.124192778427243,0.149610315696082,0.888538868305349,0.484694080566594,0.328893439798338,0.0915345001136213,0.108594390736615,0.108461548226587
"11440-39","light",500,0.166,0.98065438904483,0.471435406817502,0.179375588013493,0.977068415616135,0.508917979711312,0.147092044462834,0.0889905937183089,0.123611452203067,0.126265670436316,0.963337644950058,0.47337055492158,0.230895844634645,0.103896627572714,0.117988588320407,0.124661830577513
"11440-40","light",500,0.2,1.01490135126614,0.491356797259167,0.284088383311338,0.970024325350651,0.539280078812225,0.271346755051759,0.0946095757577253,0.0991565748784366,0.122441950087408,0.996917828109736,0.467711249429194,0.311298090383678,0.0910475740537919,0.0972644063424809,0.122213281500424
"11440-41","light",500,0.178,1.01528818757955,0.240648817917845,0.372835994568148,1.03848740651776,0.234905784281185,0.355470454423862,0.0862342144388537,0.120515223204105,0.125284797114878,1.01373055890766,0.228963555763262,0.394350233600241,0.0842690808929114,0.10470822510636,0.10668838694556
"11440-42","light",500,0.164,0.911844532664429,0.613946719880436,0.368692141172644,0.916025711498029,0.589366842185549,0.36844607979575,0.0946418567908589,0.123486462127397,0.123906532908367,0.874388437801773,0.572167811056756,0.451748485957361,0.0993962958912268,0.118415773103462,0.124036399587425
"11440-43","light",500,0.15,0.882482575282313,0.529832485735193,0.358648240590828,0.894634442524056,0.484793845081418,0.379182906320782,0.0908663052401852,0.116984871939755,0.140898251759736,0.944692000214415,0.2800103137025,0.498395230927269,0.113093493370758,0.13238448923426,0.130696550648774
"11440-44","light",500,0.192,0.979717129161138,0.468193096049087,0.30163468841747,0.977558185181678,0.461026727283918,0.275036967730332,0.0953537801713737,0.106313121578607,0.135276401191522,0.946261292544033,0.46710541065531,0.340381778183098,0.10447863138567,0.119604499279286,0.132221592894602
"11440-45","light",500,0.184,1.04001471220682,0.445599864122468,0.174658880228903,1.07409159202306,0.388674388889616,0.113716644161325,0.0919288213299014,0.104125330474125,0.137281646277683,1.03715579530112,0.365775909051417,0.226314051938827,0.0934584199132509,0.100222013482138,0.131679926391988
"11440-46","light",500,0.186,1.03733131526354,0.494845855517652,0.292839699659349,1.0318094245049,0.515627098194429,0.28601761170825,0.115636343436294,0.164101769530196,0.12410890408646,1.04466528686637,0.428223073294211,0.342034051006846,0.108952438458492,0.143790759134122,0.145502297545239
"11440-47","light",500,0.152,0.99644382665732,0.595414933975748,0.159162359811041,0.986771869812398,0.607107335025284,0.142089936463287,0.111818708140848,0.122429840585348,0.13576437305384,0.981897526206315,0.543633126672258,0.236271203446008,0.10030232885577,0.127350591631887,0.127262836186206
"11440-48","light",500,0.166,1.00597431116294,0.434468946219683,0.323132424829679,1.01197497719421,0.437141877550196,0.329341874846591,0.0850605992652588,0.122214626205462,0.128144258638913,0.985127389897709,0.434560574962566,0.374197323715259,0.0929726296752454,0.13033886392009,0.11639697107156
"11440-49","light",500,0.176,1.09007926021845,0.584928296090402,0.0232057839832121,1.0811215319206,0.587021798246765,0.0473848520949621,0.100134145590807,0.132325938976153,0.130372908827874,1.06321077151703,0.54445150646568,0.102882840968949,0.122822667327041,0.131687770986836,0.176529983867721
"11440-50","light",500,0.172,1.07462927457106,0.438381848662984,0.158698216105263,1.06208811614207,0.469194158003121,0.123466153569981,0.108257899039648,0.145721208016643,0.148738999559846,1.03533257651214,0.446572343170592,0.215758834892811,0.126000156645919,0.165660198686913,0.13894196764438
