"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"114-1","light",100,0.0700000000000001,1.38274063802176,0.311939734670454,-0.0587228808673399,1.4364165113631,0.15385668642268,-0.0428429939643623,1.41833975995648,0.207095279237039,-0.037291039692085
"114-2","light",100,0.14,0.984913399583036,0.299001192728415,0.0506407841495948,0.984166070702251,0.28152049102531,0.0286904371942006,0.977149222604725,0.280912216762673,0.0565852562431688
"114-3","light",100,0.16,1.00992078050648,0.460347104231255,0.526980026549402,0.994958171977925,0.553022027618552,0.416954219030101,0.932881059233509,0.662186603728089,0.510147447611064
"114-4","light",100,0.2,0.98024971364741,0.507447439175316,0.263128610547401,0.98424470907886,0.483768846035145,0.217025665873009,0.954962799723666,0.556719730567819,0.241319862948445
"114-5","light",100,0.13,0.780779312652514,0.550547020820201,0.685236127932491,0.764035904568958,0.678106582730618,0.648896819732812,0.747811318503456,0.64989707318765,0.714149363408224
"114-6","light",100,0.2,1.03746651482661,0.482904305702393,0.0605865448154251,1.08102949430509,0.355164729012378,0.0201250375497281,1.0079772172625,0.476450667165003,0.0542093851726408
"114-7","light",100,0.24,0.994018896809951,0.767081731717513,0.157093069821176,1.07100607526893,0.477592882963462,0.206892728104385,1.02845841373371,0.55976271162287,0.32943454561453
"114-8","light",100,0.19,1.00181667778263,0.248030711539437,0.54443692647019,0.95528049580256,0.415883732367001,0.495444808227472,0.924314545042453,0.482721151978533,0.539880724814298
"114-9","light",100,0.17,1.13417750387852,0.59065919741265,0.237217251738142,1.18772580115036,0.412756902495603,0.253992634236564,1.17690694504725,0.364412458073083,0.320240688567626
"114-10","light",100,0.15,0.980016294099508,0.722145241443119,0.219296951281055,1.04929433481007,0.41072588787179,0.247132642010484,0.98382762320341,0.598653344940605,0.257361230296476
"114-11","light",100,0.14,0.870065589372075,0.484905150991923,0.351198455307161,0.795762502263628,0.829915680495427,0.278385420201944,0.788726911114474,0.641859868873218,0.410311942990689
"114-12","light",100,0.16,1.04310603400762,0.469960318798056,0.418014931007738,1.04558862926867,0.413532165050508,0.396241971121822,1.00366206343947,0.583589565459538,0.407975327484527
"114-13","light",100,0.17,0.968359578389833,0.548653108700688,0.499202476875068,0.988990409250384,0.437483358597075,0.499732675931316,0.955290839021572,0.502247306013511,0.528648315826018
"114-14","light",100,0.18,1.25997153202143,0.385737646107561,0.211560408339534,1.31704231781902,0.221242984984198,0.248259001733835,1.27662226898875,0.327717859325757,0.260626032179903
"114-15","light",100,0.19,0.883678654131081,0.272200825927449,0.542750215543468,0.885926265645287,0.27436473692673,0.536381187228492,0.873006382171564,0.275238501072729,0.601075963887171
"114-16","light",100,0.18,1.11222934016646,0.475232838811544,0.129331298727368,1.13945095638123,0.430184261286625,0.0903040555071813,1.13107827043789,0.343730005123977,0.186793736440784
"114-17","light",100,0.18,1.11838933327694,0.575379736770221,0.0392873706626955,1.08620568749565,0.662345659113425,0.022821206536184,1.05160009456914,0.658528264645453,0.0925710145226068
"114-18","light",100,0.19,0.903830382347527,0.636196622393232,0.286727702070159,0.91750743523984,0.552518176158794,0.330388968298909,0.907732656889941,0.50185401645856,0.408999827192692
"114-19","light",100,0.17,1.22839039619552,0.498497020361584,0.0957853266496781,1.1941927941854,0.624685564420093,0.00673167971657027,1.18823818747977,0.55035921650516,0.0869759312588816
"114-20","light",100,0.12,1.27378019564157,0.238974598277977,-0.0458886209549921,1.26581466373066,0.269440318118131,-0.0708836824994879,1.21316525290366,0.356063622879508,-0.0315646415863444
"114-21","light",100,0.12,0.771981567077663,0.868403310504546,-0.0494988772399771,0.829457815552991,0.703043348855328,-0.15408838656994,0.798430672059388,0.768109348915169,-0.0741262550709126
"114-22","light",100,0.16,0.995069837511648,0.564115693918535,0.491636867102967,1.02972666077191,0.395373532195206,0.506249594734869,0.979707227841833,0.575417902347277,0.519354625080694
"114-23","light",100,0.11,0.866157775547986,0.646676163675951,0.265332012869986,0.93229269783745,0.476351040384594,0.296751041850495,0.904288484084888,0.557756373413312,0.3139778766405
"114-24","light",100,0.17,0.975224144200763,0.474289756957241,0.290038983828501,0.961185672131293,0.487354799173331,0.256862397520118,0.932944691373743,0.505019037803156,0.299922777316849
"114-25","light",100,0.2,0.887094550931191,0.454359354823528,0.318490041347221,0.917871689956105,0.365440836498128,0.342244019695458,0.936143528901807,0.248620660154806,0.428107595904275
"114-26","light",100,0.19,0.890871344405716,0.660046918545743,0.033499763143718,0.954741522355216,0.473001091803326,0.0848767825983162,0.902738734959274,0.576536125016254,0.111078201422763
"114-27","light",100,0.19,1.12259961421401,0.174296210340478,0.331887296291968,1.16903059780975,0.0247293508095887,0.350428772194346,1.15636935172971,0.0600713576867316,0.347473303008537
"114-28","light",100,0.15,0.872277107085763,0.503601709031077,0.147937348846368,0.905530539312973,0.375126823590574,0.149189131127943,0.85395255339637,0.457285480576795,0.192076502866816
"114-29","light",100,0.13,1.06093769976702,0.316649431470035,0.392203502796146,1.04162364280557,0.390419915619079,0.346413603912485,1.01890872518932,0.491992069619807,0.401468656192948
"114-30","light",100,0.15,1.0342848692718,0.872016704614786,0.0454942591044127,1.12951311625391,0.576424985815877,0.00118937161662787,1.02389337760684,0.851589923841888,0.0283668393539306
"114-31","light",100,0.16,0.976420134922585,0.415261751519807,0.362518624553851,0.962605103093199,0.423375656591276,0.355458621102541,0.97574091919444,0.334914438297941,0.433387032069994
"114-32","light",100,0.16,0.841461739803341,0.736208092329464,0.210582195173066,0.886415053681659,0.426100640162718,0.293607869248797,0.854471725168596,0.508520641962638,0.32641149979841
"114-33","light",100,0.23,0.958596547932417,0.769685836472534,0.265799818805928,0.958205492062878,0.706013913121179,0.188598552664299,0.897953138698377,0.847712256324294,0.293990310135628
"114-34","light",100,0.18,0.615788652984825,0.519164266060454,0.959796803227969,0.643155839037754,0.382588601712399,0.951181273373106,0.587841516506239,0.519189156589533,1.01650019666155
"114-35","light",100,0.2,0.920085206074504,0.329322820421152,0.320015230177893,0.998076236519624,0.100754039991558,0.339611991664414,0.965629246083275,0.19367953310196,0.345947058499049
"114-36","light",100,0.17,0.917581690518517,0.684386191209825,0.261183490474706,0.930032469626184,0.611740261361932,0.279249184471588,0.899803218976849,0.658433497655939,0.326334570143612
"114-37","light",100,0.13,1.11159911279454,0.425340579425691,0.36545067751152,1.07977217748103,0.516798588517348,0.347558175731011,1.0596026063859,0.490075735966049,0.39645915964618
"114-38","light",100,0.21,0.78029149522973,0.715969101375776,0.26695658231124,0.77852369245139,0.691813060511478,0.23368713961702,0.623955982065799,0.947622993432625,0.337312548780717
"114-39","light",100,0.14,1.01837642250931,0.479308060880164,0.382231297492921,1.03890656233062,0.433174543791503,0.37140769791307,1.03598981319452,0.379633956925434,0.423144242937561
"114-40","light",100,0.14,1.0309060589637,0.289557469542351,0.33698392182094,1.03722128434881,0.28112741939129,0.30173585748666,1.03199526023897,0.290414618781196,0.349627726020249
"114-41","light",100,0.19,0.603538695593248,0.537501338203489,0.696610324051283,0.585358050148727,0.538737074447221,0.651989839524977,0.615867742831637,0.330087381247666,0.842390615718841
"114-42","light",100,0.19,0.996421468574873,0.570125137596458,0.351006214681966,0.991517826590073,0.553146973040971,0.307307428249074,0.97229792079779,0.53485111597899,0.409355021464366
"114-43","light",100,0.17,1.05659221993776,0.245578910218229,0.487643692442466,1.08514825041197,0.131696150178676,0.525628079878937,1.06802453711405,0.192280391649867,0.513692681402373
"114-44","light",100,0.17,1.05087702741286,0.893068743342673,-0.276341896493553,1.13053003894651,0.710960327296195,-0.294406949363044,1.06419758967345,0.681636303651157,-0.148510576315469
"114-45","light",100,0.15,1.17778914241584,0.574005106080117,0.0882315139762565,1.19611503273615,0.43264223265902,0.120294300991268,1.18236302708551,0.432965576892523,0.172742497573804
"114-46","light",100,0.21,0.862640664515491,0.577254820195029,0.413660886072999,0.978412505204275,0.314483340852533,0.357402928746606,0.852820674984135,0.643233869302576,0.393253512902775
"114-47","light",100,0.2,1.13011798077642,0.429862960271778,0.0689719891855568,1.12462711161135,0.434423042178798,0.0676002549387796,1.12349427565815,0.364298936717918,0.142915162346366
"114-48","light",100,0.17,0.814376464738537,0.691010452737848,0.435916045053975,0.874599277685413,0.457048758506138,0.439637430779217,0.851584902690734,0.469590041188465,0.497378697431476
"114-49","light",100,0.18,1.0507030571887,0.395123019052611,0.149688518095065,1.0521151909947,0.385930993167113,0.130405777583533,1.00480667785199,0.475271914627755,0.164226415157084
"114-50","light",100,0.19,0.749904311756127,0.726806084412308,0.144183470130343,0.786911599333725,0.511137259410796,0.114087179494657,0.689716595870496,0.690655714110899,0.199897171587129
"114-51","light",100,0.18,0.895754309056881,0.501269921516448,0.364203951211258,0.907401049268561,0.468138014667024,0.337275894833926,0.864657810925225,0.4749274695668,0.43250661631792
"114-52","light",100,0.17,1.13727984539924,0.550127758025361,0.226771073302261,1.17257681247183,0.390770774020094,0.276311756200091,1.16312608698683,0.399273251883283,0.323673775065007
"114-53","light",100,0.12,1.00816912688766,0.403117357780931,0.328168928634704,1.02882081738441,0.270832589922309,0.340163158637938,0.995992361925655,0.40957950336309,0.340125115530537
"114-54","light",100,0.2,1.06436424852399,0.493519851366435,0.257129453635981,1.09055264443843,0.409849670605184,0.279465779017006,1.10626069122688,0.296007948427914,0.375556609388528
"114-55","light",100,0.14,1.06626557601204,0.60464725637633,0.131526552715791,1.09193430732081,0.500577375435465,0.122521492251966,1.02399608472828,0.698487532571789,0.157206515307573
"114-56","light",100,0.15,1.07064793757851,0.662348241902577,0.218233780533863,1.10794757606133,0.591373654413964,0.154007596931883,1.0609424240119,0.635520436876627,0.232810806204142
"114-57","light",100,0.19,1.03313674499549,0.495253361574334,0.0395609262931667,1.06220369745127,0.332625010790469,0.0559341688679735,1.02275620792117,0.437823760703665,0.0665100901295128
"114-58","light",100,0.16,1.02318682750733,0.484375135157426,0.452924037874107,1.02016602813768,0.444443694470457,0.44978401509029,0.998191594552761,0.452528807239499,0.494134065670913
"114-59","light",100,0.2,1.17766469625654,0.143733114661493,0.466410631954413,1.18365254702156,0.124262630169128,0.437970666767686,1.17323034073079,0.142727038133579,0.45231813838285
"114-60","light",100,0.12,0.913694748960093,0.326645670536658,0.284051352742094,0.902314560008361,0.34501830542661,0.288704640849476,0.88811661161789,0.323862294638562,0.333022095567471
"114-61","light",100,0.13,0.893243882453006,0.602472576509432,0.104592391732521,0.868717765927717,0.638455487399387,0.206831473961959,0.795632020266609,0.770610355414883,0.25172360061385
"114-62","light",100,0.2,0.94420191470127,0.509859975049735,0.0994995428026935,0.999778312836302,0.375396031351344,0.0592263352213128,1.02647450738188,0.264635713762666,0.134060619424893
"114-63","light",100,0.17,0.864745891458144,0.273419548987432,0.617988881377217,0.855167512365957,0.287282025537594,0.585268977454562,0.827160835273969,0.338554334655918,0.623228330373163
"114-64","light",100,0.17,0.974398777849461,0.5260228961505,0.242473321925572,1.00246015235691,0.367637213377916,0.267192588529467,1.00830260690151,0.310168613937335,0.331373141196656
"114-65","light",100,0.18,0.905339446301825,0.540337487171191,0.424771537318047,0.929693578799401,0.504377434768772,0.368881729745532,0.89187270611864,0.516296838956931,0.446548508061833
"114-66","light",100,0.18,0.947455471317834,0.396188394912054,0.435028085110238,0.980783702257152,0.228652770336831,0.452758957800311,0.97059123158153,0.232631899538365,0.485495016259615
"114-67","light",100,0.22,1.16609016655962,0.546249231479728,0.187137762666131,1.13216191755657,0.620384903656857,0.140529057250899,1.08747043545644,0.623271759106615,0.256813654848736
"114-68","light",100,0.22,1.08922742915488,0.651919470189727,-0.094843491834643,1.12420632519788,0.490064709988716,-0.0946759369143993,1.01851079388355,0.829538800545074,-0.0757774305932222
