"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"124-1","extra_heavy",100,0.82,0.818514295684683,0.804137521609904,0.186763579702924,1.04760647629002,-0.00153881439522622,0.389011565546276,0.950642197281164,0.590808088913344,0.344947348344405
"124-2","extra_heavy",100,0.85,0.723228149087278,0.383414568301669,0.635032057272545,1.01887837554267,-0.394933155490587,0.781659777537216,0.922616705947204,-0.525706264250714,0.815566765698595
"124-3","extra_heavy",100,0.8,0.99922571146118,0.58202986772752,0.248742902413844,1.16231904543744,0.295064205494447,0.256462514244033,1.17956583866412,0.295987151406606,0.35191584560812
"124-4","extra_heavy",100,0.82,0.989693575586241,0.35020347737033,0.592287399609061,1.04720343865371,0.0938055526524179,0.580826934595248,1.19146557967529,-0.618500126355598,0.74004144747803
"124-5","extra_heavy",100,0.81,1.0098698099486,0.743461916679135,0.144896547748241,1.10298859738301,0.596695308154454,-0.330900878123287,0.982625547382161,1.45148323066557,0.343828358190546
"124-6","extra_heavy",100,0.87,1.10458792522796,0.338513309956857,0.160060051327626,1.11182602073063,0.312301955544253,0.153729351375112,0.986164636835727,1.31985210810381,0.200953499605349
"124-7","extra_heavy",100,0.83,0.831056664120793,0.518171180668788,0.333863784427054,1.03503789898155,-0.0608219483492553,0.49304249891558,1.08416925101478,-0.61296938661965,0.522595029520007
"124-8","extra_heavy",100,0.82,1.05721591905192,0.29151067682387,0.538523230381176,1.12773477758518,0.00407165464855918,0.608802443783883,1.11872293299377,0.239690528544616,0.607412469386713
"124-9","extra_heavy",100,0.81,1.08948300429759,0.529055942985322,0.371502382278001,1.02609469683214,0.72854962485098,0.189149094004631,0.808908349228368,3.56449785020925,0.560121395958487
"124-10","extra_heavy",100,0.81,1.33422557623534,0.382195259407132,-0.121894904348729,1.31119173852144,0.0619367359518502,-0.00384583621563793,1.26440593645371,1.23678369239596,-0.0182886490913802
"124-11","extra_heavy",100,0.78,1.18743153313062,0.549176206966242,0.0719448817975823,1.08176323399713,0.339591147975454,0.29040297493728,1.09484521490625,1.71044898422952,0.221255256040995
"124-12","extra_heavy",100,0.87,0.895682884046645,0.235984995760868,0.687937180235512,0.770324156182764,1.66332403027976,-0.221566031749269,0.422453189141074,3.13781892230436,0.771988034192551
"124-13","extra_heavy",100,0.84,1.22034876899993,0.340499941246596,0.218304507445401,1.3354344473654,0.0270094423724686,0.274179919806476,1.34733042920409,-0.0259440949430601,0.282613588761933
"124-14","extra_heavy",100,0.8,1.01033058789461,0.366362773241662,0.407556505909141,1.12278174041011,-1.05836831947278e-05,0.52198027982302,1.1354265899606,-0.15943206486986,0.515568454637209
"124-15","extra_heavy",100,0.78,0.86394833178911,0.538026419821835,0.599355736287602,0.938017972759448,0.505124907940837,0.737372662571022,0.796997690037853,2.03573997330476,0.719199028675815
"124-16","extra_heavy",100,0.82,0.862610400525535,0.551734029702029,0.243044896925597,1.0003331188895,-5.85480866717969e-05,0.92097795245858,1.12967020125427,-1.20774713304633,0.44641692188071
"124-17","extra_heavy",100,0.83,0.95927106884837,0.410663672619425,0.585423613263451,0.966675739069516,0.478069549558615,0.348864821083306,0.727884079312934,2.21063556545174,0.691160075857342
"124-18","extra_heavy",100,0.79,1.06000896346966,0.626917999209649,0.0657836118590223,1.12076473052674,0.173666921089927,-0.263162856106222,0.845940390113159,2.97059517698633,0.335627715224874
"124-19","extra_heavy",100,0.74,1.00838873410821,0.315693820772479,0.347394057503171,1.08045705762921,0.0103424359993306,0.377695931808186,1.12687607605264,-0.311304599122465,0.384694259655923
"124-20","extra_heavy",100,0.74,1.26899826362057,0.110158350788042,0.124202776040095,1.26619600607941,0.0833242491942848,-0.248878461200673,1.14954527079394,1.54910372500733,0.115931336721913
"124-21","extra_heavy",100,0.82,1.38099718131202,0.574258607862876,-0.397871238952562,1.49088955065454,0.000126123818306392,-0.406729127085243,1.47607713049099,0.279213252621609,-0.133350544022124
"124-22","extra_heavy",100,0.79,1.08094867855381,0.64790505320858,-0.0487207324125915,0.934165482681844,0.296253551185173,0.121863411750308,0.840878927005219,3.28422662063156,0.114758431435048
"124-23","extra_heavy",100,0.78,0.945526705907189,0.433840024069162,0.37957147219425,1.26514183257641,-0.202350337989378,0.354949634137514,1.17368206998395,-0.576015159310343,0.446412209891057
