"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"132-1","heavy",500,0.386,0.995778850299071,0.675788104179428,0.146865938321259,0.958130939453393,0.678881208740509,0.139138117712207,0.942973172041011,0.785839753514418,0.152086950437884
"132-2","heavy",500,0.408,0.944585566418644,0.529688894091793,0.387519740631397,0.918150054600181,0.585870508537302,0.380406090488875,0.917156586956888,0.638999387028204,0.368628011066435
"132-3","heavy",500,0.41,0.961130976851468,0.450911811988342,0.264694946238081,0.972210284645304,0.471695801826037,0.251566535259643,0.964325419153018,0.46416560754556,0.277490813322096
"132-4","heavy",500,0.418,0.94109327992214,0.587841292649003,0.218873862962618,0.954486827318601,0.539392566170989,0.214754393497509,0.953848134353656,0.593909336031814,0.201835243304287
"132-5","heavy",500,0.404,0.989761243302104,0.505568520679952,0.196034218946661,0.971114743645274,0.487273227765936,0.206325151341031,0.967036081628371,0.551647426532269,0.198015350138169
"132-6","heavy",500,0.43,0.963354483826248,0.617649092687216,0.267934536778957,0.996867774984562,0.485839762441696,0.279058702848521,0.995738126292938,0.571588057402887,0.249669377336211
"132-7","heavy",500,0.396,0.939722473839585,0.565176651494005,0.319894161033393,0.959598857342545,0.461219067882706,0.304462750752056,0.94898266818507,0.507667952353818,0.318699841707197
"132-8","heavy",500,0.426,1.03621498311623,0.285301935475599,0.305121613207518,1.0156909171613,0.326613398839646,0.314528696941369,1.01172513646943,0.346326038903058,0.309619207512171
"132-9","heavy",500,0.396,0.928136949590185,0.541638484433695,0.238416337930689,0.913867832101955,0.642091227962902,0.214064520824686,0.896169825926671,0.7528137228329,0.222772873944244
"132-10","heavy",500,0.46,1.06216571588637,0.53199089333232,0.084994830889022,1.06381083503938,0.58502973291445,0.0451256575950364,1.03373381676393,0.671999026480883,0.0756830956346431
"132-11","heavy",500,0.434,1.06959059989956,0.451723213874085,0.162465766387188,1.07821260005534,0.462160569327538,0.15916151235339,1.06779166087688,0.547589438851491,0.157354891177209
