"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"123-1","light",2000,0.133,0.965340888427334,0.540510104090088,0.265844436104208,0.963612067774507,0.52872144622401,0.275226244205502,0.964141028024046,0.540931070886018,0.268087800728394
"123-2","light",2000,0.1115,1.02984200557441,0.4250918849457,0.21831921140165,1.03175638672762,0.424475593555359,0.218191854494389,1.03071557928635,0.423869697402684,0.220840040466166
"123-3","light",2000,0.1185,1.06640162473521,0.455543411016394,0.197605315222612,1.05905800779748,0.48405908988283,0.198302006203384,1.05829751546019,0.488175754578118,0.198709871254458
"123-4","light",2000,0.1235,1.060326132462,0.45358334745455,0.21044235696791,1.06137906996556,0.459430243684495,0.209076889445069,1.06295842750861,0.462302393455038,0.205436012051537
"123-5","light",2000,0.1175,1.01187293660914,0.398142470676314,0.308397937341237,1.02575700672509,0.357969724427359,0.303209049108812,1.02337675712731,0.366163876352319,0.304772595935713
"123-6","light",2000,0.116,0.93998980631713,0.446235750469002,0.370863680809985,0.943490644316854,0.443459835601583,0.365830277920961,0.942541857157826,0.443263823078812,0.369192680852735
"123-7","light",2000,0.128,0.988894591482194,0.480127104011315,0.282407886898091,0.991166956317866,0.467697352997819,0.278896225272266,0.988107774114562,0.472163457528584,0.283286196724999
"123-8","light",2000,0.1285,1.03900144550601,0.55902120546749,0.20028565584786,1.02157178764624,0.61343567439961,0.203282964122071,1.0194500400875,0.618581330831928,0.205688095036948
"123-9","light",2000,0.122,1.04106483373983,0.470549177378144,0.211833122967054,1.03542598383769,0.495282508867262,0.206847283923201,1.03359668052864,0.505694109832248,0.206754373567569
"123-10","light",2000,0.1255,0.980367228272441,0.474003639193452,0.304140097797924,0.975840259266871,0.498037809600584,0.299492025019532,0.973766322411846,0.502925284927966,0.302334983776943
"123-11","light",2000,0.1295,0.931745275628608,0.563839726054139,0.320339545725969,0.926463843469972,0.611624803876032,0.310491300025625,0.92351546881375,0.623392802295782,0.311344443823555
"123-12","light",2000,0.127,1.00299295704239,0.541981226878149,0.189104062617409,1.007264192675,0.507927092620369,0.185974530050788,1.00396316118272,0.521226879995928,0.188327633864993
