"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"116-1","heavy",500,0.46,1.02685333878142,0.56346978291233,0.129380531616007,0.978362531138379,0.482445175646303,0.260695809234317,0.981241381295751,0.625924791298881,0.233522815142113
"116-2","heavy",500,0.396,0.867514413173344,0.501080968415917,0.411966089086562,0.873515821011445,0.402299636397942,0.465485955023026,0.86815920472047,0.487928758548625,0.449704223010116
"116-3","heavy",500,0.42,1.11910067716957,0.478429654183216,0.0744379268362745,1.0271578899067,0.530127601628937,0.191672091791302,0.994815734664187,0.783108774250256,0.201897758100946
"116-4","heavy",500,0.408,1.08175092017176,0.460329566032721,0.229319439825639,1.04528000222878,0.538224631956209,0.306618202850891,1.03575150736605,0.593779443780393,0.320926606860934
"116-5","heavy",500,0.42,0.952801409368011,0.645793241737954,0.121518057366827,0.888386664646898,0.777756899566858,0.258032425929338,0.881285007674354,0.925020605803345,0.240618498355394
"116-6","heavy",500,0.356,0.90567640199308,0.558302024714303,0.206053039034129,0.87285641442652,0.582861354449245,0.354689308687449,0.87801581976769,0.654502316140122,0.330396856532679
"116-7","heavy",500,0.428,1.00243010144762,0.522044241194637,0.238803149805032,0.925116330964855,0.531082330911409,0.327942941081956,0.906219419782903,0.705416634477841,0.33930019661038
"116-8","heavy",500,0.378,0.897994544900881,0.586174050455026,0.307230291744809,0.899405411815212,0.465335551179019,0.385667426201641,0.894980945540812,0.594428977040245,0.356737484628476
"116-9","heavy",500,0.402,0.895467870539372,0.58549218842883,0.392214552064896,0.769964068957189,0.836446199948955,0.572611159932934,0.767004756777021,1.05827461862102,0.520736883039866
"116-10","heavy",500,0.386,1.06805796221714,0.451901153590597,0.224909860167423,0.983111211158195,0.627804718930153,0.362082994984029,0.973919445847371,0.741960128688924,0.341365622242944
"116-11","heavy",500,0.4,1.05384370271921,0.445758740335333,0.325011766721931,1.0159098400499,0.359894468404169,0.382240867653596,1.00655522242679,0.479017018273815,0.369523748038473
"116-12","heavy",500,0.406,0.990049807644236,0.573227002172903,0.17979527461835,0.893381703195775,0.668317609568205,0.347979911151656,0.900059001877971,0.836689214261428,0.293276242569905
"116-13","heavy",500,0.41,0.969602566627091,0.452804598419232,0.343954231355356,0.921201623340163,0.672667807690942,0.431414534451005,0.918533641708319,0.701340216585951,0.433648247915694
"116-14","heavy",500,0.44,0.920415451856391,0.498167908213722,0.290303567523875,0.877803177315941,0.601578447414691,0.405774579085997,0.877097089514587,0.647672624842104,0.39583980239583
"116-15","heavy",500,0.38,0.928165239818056,0.383443987490504,0.333811219041213,0.908144983746434,0.397120853448081,0.366661879503385,0.909895842090308,0.432158958046299,0.356961280369768
"116-16","heavy",500,0.388,1.04913349385196,0.401086510557887,0.203416068722715,1.05667595056383,0.285285348879213,0.259630739284651,1.05513187556494,0.362568483186731,0.242227611859093
"116-17","heavy",500,0.414,1.09218056045691,0.406459777623234,0.181462132911965,1.04729926346309,0.44191468460242,0.261456793063733,1.03524962953274,0.549678961755254,0.264091683086962
"116-18","heavy",500,0.394,1.02514232484351,0.514326575059538,0.225019855274178,0.982683179545652,0.602013812153642,0.341271115645909,0.986979227557707,0.70615650365657,0.306351577633784
"116-19","heavy",500,0.416,1.08202175190001,0.486991500186172,0.250891909443713,0.967277838642606,0.696937811869241,0.445446012433111,0.955610597637502,0.924655597134337,0.386223534514691
"116-20","heavy",500,0.404,1.06463217003874,0.570393605420124,0.235268662407728,1.07676458826363,0.48278881183084,0.392731871587685,1.06841673401613,0.627649144344471,0.364622454493128
"116-21","heavy",500,0.422,1.02655901135399,0.504132618983773,0.269894076150824,0.93259699338428,0.729991239521375,0.376303809418179,0.940209892395561,0.753065463555628,0.3601626982019
"116-22","heavy",500,0.45,0.98705498220666,0.472549824475164,0.347004962890818,0.968707613197665,0.360893432856443,0.483438595321974,0.948508546398286,0.586718732806086,0.47339579186535
"116-23","heavy",500,0.418,1.06065658716618,0.583367703900555,0.0759605115431307,1.02575587200717,0.644639246113141,0.259276080384202,1.0245182324325,0.695458114420385,0.250231942627824
"116-24","heavy",500,0.408,0.963509939954236,0.442854675181218,0.290401603260075,0.889194739557108,0.538728184448902,0.396798242498985,0.86863798936599,0.75866910743555,0.371737019377421
"116-25","heavy",500,0.406,0.955897226119928,0.534773336401713,0.258659846091479,0.889022042407406,0.579520761977446,0.423598400896244,0.878071348890418,0.830958808980906,0.36817155936954
"116-26","heavy",500,0.388,1.05100580748022,0.527102429233829,0.287212737992347,0.99844946073306,0.623038403558978,0.417629394874367,0.99181195995173,0.722493763276649,0.413722605455995
"116-27","heavy",500,0.384,1.04748177760166,0.414784711747469,0.298143401698996,0.970704024599638,0.682787399901211,0.402931427936114,0.974423245450776,0.750937369657771,0.380541797857113
"116-28","heavy",500,0.406,0.998488374970364,0.600100656175414,0.204133180565785,0.9653783626379,0.601431459332068,0.33187476643126,0.92904222884444,0.770066421249012,0.358465608126825
"116-29","heavy",500,0.388,0.915522251471981,0.524993053421076,0.330222110439134,0.823007917354657,0.645151904079294,0.429517946028167,0.804049187600592,0.814650648632186,0.445722235377318
"116-30","heavy",500,0.388,0.958651345562326,0.481701021942578,0.336343825593108,0.840796946087881,0.716252587777486,0.480518908222711,0.845752331082062,0.859537344437956,0.440481263506061
"116-31","heavy",500,0.406,1.05289766521789,0.471705311392057,0.0647204288360715,0.972695048508955,0.66708205147823,0.163046204653596,0.96381085718214,0.781779533723974,0.153734349268198
"116-32","heavy",500,0.35,1.06186020307479,0.532126215500437,0.224658942833518,0.97217081305157,0.800835321146451,0.304802538522792,0.981207370287048,0.885486812315835,0.278248454272903
"116-33","heavy",500,0.398,0.978317351542236,0.460834710287266,0.410081758464537,0.874180040238447,0.755663023763323,0.501411836330585,0.865200743710924,0.926715921012132,0.47422552174771
"116-34","heavy",500,0.418,1.02011764955303,0.492559812323849,0.282111236189338,0.96616039375154,0.593544599820995,0.383907127456886,0.941048107873005,0.641760354796049,0.435847979689167
"116-35","heavy",500,0.374,1.07512080279073,0.435636537974306,0.08097569988917,0.996108650985394,0.638810176253909,0.192010295922974,0.989794139710045,0.76139768001195,0.166765640150525
"116-36","heavy",500,0.396,1.0345064520036,0.508658771319287,0.139269301220324,0.993407922666577,0.614096466473061,0.251953303493984,0.986524469731329,0.699582302879918,0.241018076694509
"116-37","heavy",500,0.436,1.01998710205176,0.45768336982223,0.279463630286575,0.854487280784713,0.688290799004777,0.488632761950547,0.860736494235491,0.942769019320445,0.40696919579327
"116-38","heavy",500,0.408,0.941590251699235,0.419180281997875,0.319731918772888,0.907595563687581,0.409341076463662,0.341650698284435,0.883057827290746,0.491754227258381,0.401969850688406
"116-39","heavy",500,0.418,0.926717818075654,0.627418599024573,0.230073453215566,0.875506807732158,0.367825822554282,0.394601929766153,0.885842461185966,0.527071798843714,0.349527407866813
"116-40","heavy",500,0.434,1.00638726666955,0.496969635307933,0.145431088335847,0.919932862141957,0.696222165439597,0.252443203822887,0.921656459074832,0.793417721576571,0.239347108398881
"116-41","heavy",500,0.404,1.04630427103004,0.47524983257645,0.181974641245629,1.04836239146243,0.534707995529674,0.2170566063626,1.0564948855552,0.509319852313062,0.212306723657645
"116-42","heavy",500,0.442,1.0260190866937,0.375938504168903,0.259752613762541,0.98241150619681,0.365668207360979,0.322205863882207,0.962357482413815,0.529076174121326,0.328723911056827
"116-43","heavy",500,0.428,0.978861169744338,0.556115096738374,0.20832249197308,0.904728203316769,0.531019976588404,0.346571608819253,0.903719493053388,0.64104780024621,0.325659864537564
"116-44","heavy",500,0.396,0.981913504690435,0.519521674168108,0.255363972017561,0.919720226474173,0.50436700368784,0.395384274533157,0.925557991029226,0.733926849751868,0.353030964714618
"116-45","heavy",500,0.402,1.02778176237904,0.436127374602498,0.274108636122651,0.985165840256219,0.414208450069752,0.432908119419761,0.978488097671961,0.575195051252673,0.398978746881444
"116-46","heavy",500,0.38,1.05274767528607,0.441382879825504,0.238844729021681,0.942337200638701,0.819667882499846,0.329926165918298,0.935794522511434,0.949506568129386,0.318143514591766
"116-47","heavy",500,0.446,1.01870847463695,0.489758833110534,0.208006786855536,1.06119551156704,0.257854915505397,0.325740995309902,1.05678910687911,0.339991276675023,0.3202249167315
"116-48","heavy",500,0.406,1.08497980508225,0.48648261923699,0.0675034788024432,0.994178258232213,0.64528056436798,0.221478505599022,0.982865712433847,0.814555212393741,0.1827722681562
"116-49","heavy",500,0.398,0.903212800357087,0.62357577159052,0.322818843667272,0.847797184456573,0.669437950496164,0.431540516412727,0.835608435930099,0.823419591120731,0.415888322590871
"116-50","heavy",500,0.396,1.0694574726019,0.450636404447129,0.167667530593119,1.04725190120795,0.337449548339695,0.227156523633602,1.02652036576803,0.456059691269052,0.237199176072488
