"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"130-1","light",2000,0.1435,0.970302728693104,0.515907207674851,0.26294951848531,0.942469066851599,0.555639119389824,0.301826275631183,0.924684572740935,0.592853404715701,0.309839173597551
"130-2","light",2000,0.1485,0.953810314050064,0.52888195035733,0.284648632982831,0.904776005370241,0.611208732706803,0.339517913951476,0.894219839485515,0.654175425913314,0.343800714286239
"130-3","light",2000,0.1355,1.02094746276072,0.537679481062908,0.205809689962084,1.02308864178028,0.478837451058423,0.249373616806134,0.999852099350425,0.55397686240687,0.257625916801537
"130-4","light",2000,0.1375,1.01365207304772,0.501761601540859,0.291759607334925,1.0192699649567,0.420408687419663,0.346675795139774,0.990155708456758,0.505940817500537,0.362503959888982
"130-5","light",2000,0.13,0.9907637669082,0.48528962133967,0.252008638663207,0.968321953182894,0.502265726499335,0.290525320137378,0.955639360710714,0.524653395339603,0.305777900120526
"130-6","light",2000,0.125,0.967802201250801,0.518640464957132,0.310001744796233,0.92020096659354,0.655887948740297,0.341736436396456,0.916467565007147,0.669937147064153,0.344516530443092
"130-7","light",2000,0.1395,1.06281852457073,0.401862820736747,0.199782370149758,1.08829625291562,0.258101244844715,0.213878219403148,1.05934482771583,0.335649624186827,0.230922553438798
"130-8","light",2000,0.147,0.964020450521598,0.484537639472141,0.265113555385551,0.950858096763405,0.47452920694545,0.288341075558474,0.934373344850005,0.500204536730657,0.313860133633921
"130-9","light",2000,0.1585,1.03861856519794,0.465677437947047,0.229183997688623,1.03971145501978,0.39319278558183,0.255401981165939,1.02038160071903,0.440035466612318,0.277018503116481
"130-10","light",2000,0.1455,0.968395851571057,0.505864667967688,0.351935939104799,0.926315840667442,0.593790877208943,0.376843474887071,0.9036932293827,0.623556637525386,0.412111307061999
"130-11","light",2000,0.1505,0.979043244040724,0.530307244854393,0.280097129067697,0.970665333361678,0.509951713244815,0.32376859688706,0.96211959950112,0.524637243408083,0.336132795755905
"130-12","light",2000,0.1415,1.02485093964414,0.522337591874801,0.203154263818204,1.05321467917336,0.35021614870954,0.232698880404795,1.01858243637669,0.439811033036798,0.25259883821387
"130-13","light",2000,0.1405,1.02064702355937,0.507114291179739,0.265219186050973,1.03264425248922,0.36600739193229,0.302145360685223,0.974919589065574,0.568896473446436,0.317637929163754
"130-14","light",2000,0.1415,0.943286389896411,0.521981689245676,0.2963201677937,0.898902112364098,0.60349237986873,0.336297429220174,0.892691001325927,0.616006084628507,0.345666684620795
"130-15","light",2000,0.137,1.00410041775595,0.537615475818003,0.250004554995849,0.983765476406135,0.540832736826376,0.287240358485987,0.962430075530901,0.618505478511481,0.292344487663084
"130-16","light",2000,0.1375,0.9763920212934,0.550110264889725,0.213959709561377,0.998188550021349,0.414501958500782,0.236575270202524,0.953563340455091,0.52190186324564,0.250781431141563
"130-17","light",2000,0.145,1.01703755398091,0.522729845082689,0.163110630018999,0.982327804350478,0.600915882948806,0.206555619380472,0.974423071035885,0.61291727773818,0.219040209399134
"130-18","light",2000,0.148,1.09766135196563,0.453438381047763,0.161984487560688,1.11759178133415,0.323189781912187,0.191713093058357,1.07617453295485,0.464445342659006,0.201667501351008
"130-19","light",2000,0.1365,1.01298140620013,0.50187927610506,0.264642535082823,1.00088115717888,0.48108733368903,0.316492864555919,0.989387720520647,0.523473324114397,0.322576838045475
"130-20","light",2000,0.1425,0.985284491800338,0.509962159286803,0.302290992449594,0.965890207840733,0.485431770167213,0.334049044860896,0.953713215197074,0.528003125506276,0.343702053905094
"130-21","light",2000,0.142,0.99396106034994,0.464026221852375,0.286845896750123,0.975741477234403,0.465666325741955,0.31446422814212,0.95659275986696,0.519496197450408,0.330013940325365
"130-22","light",2000,0.1385,1.08616055442253,0.473581765380564,0.158177605311614,1.05891242273989,0.488853440502954,0.181811511692962,1.03417344179892,0.542200397036488,0.207718224072167
"130-23","light",2000,0.1475,1.02983513145598,0.472372137240219,0.197152140397155,1.02306094212049,0.422595032675291,0.223079365656344,1.00358026458261,0.457060299810059,0.244313533108119
"130-24","light",2000,0.1405,0.994532873118204,0.481961624679471,0.27771095428058,1.001268493706,0.404111430527876,0.301534423957821,0.968804187586677,0.49386878241575,0.318824949259639
"130-25","light",2000,0.134,0.958230200685734,0.523654353357103,0.280628354261825,0.939457145395187,0.546410652368988,0.313303907991758,0.934227339755597,0.549430174892631,0.323791754069088
"130-26","light",2000,0.1235,0.972743479888798,0.490035775729011,0.315362171261467,0.961775283561073,0.471531942689793,0.344779887930353,0.947498928185084,0.505115564897607,0.357513818222536
"130-27","light",2000,0.125,1.00572506657041,0.498146233405826,0.261653279170523,1.00797691797145,0.438157786714455,0.27645073502086,0.982254677058002,0.496307212899994,0.296757324151854
"130-28","light",2000,0.134,1.01118827964368,0.473908164440868,0.257532107354742,0.995681877404092,0.496178417480584,0.28631608618914,0.976003274315187,0.536074014858994,0.303212706270581
"130-29","light",2000,0.141,0.986264524367129,0.478952572862872,0.279918206054472,0.981685093022988,0.441050588369441,0.328002633587952,0.96059918724813,0.50284576009554,0.335768276554104
"130-30","light",2000,0.131,0.998743539518637,0.500336965012989,0.304313444927131,0.999839955554812,0.435876187093386,0.340913273052901,0.968132237617815,0.517804211972994,0.360013196021628
"130-31","light",2000,0.1335,1.00557224618213,0.510754163251706,0.234627588601674,1.0006927290967,0.467176326413258,0.269385951051432,0.973862204023632,0.518777319822615,0.291129879195646
"130-32","light",2000,0.141,1.00917121717126,0.502620598103158,0.237373674518825,0.9912006635905,0.486858379254745,0.28727996018661,0.961447664572001,0.59137290863399,0.299052049242065
"130-33","light",2000,0.135,1.01274150657942,0.479791238223255,0.248410591752651,1.01670001802916,0.413794010242168,0.275801632580939,0.996292051675177,0.47625524925072,0.281042813445083
"130-34","light",2000,0.1375,0.970246001100864,0.533073901763173,0.241108866105105,0.942005416755901,0.574393375303377,0.280923317792856,0.920112529777524,0.624585162648869,0.301879578588816
"130-35","light",2000,0.14,1.00394624552992,0.534398640351138,0.244397365969127,1.00536650250836,0.461370625065925,0.281654925217348,0.988525291339788,0.520216216023554,0.286011448864411
"130-36","light",2000,0.15,1.01231197750105,0.468624105390337,0.26686374622,0.986523541237659,0.508547741895568,0.313513509743281,0.977425177342303,0.503323310462784,0.338725288086941
"130-37","light",2000,0.1355,1.01932697284801,0.509888476971567,0.279688490588633,1.03399167327694,0.40108895918404,0.306958197899915,0.99425646206963,0.481814132777044,0.337082719362928
"130-38","light",2000,0.1485,0.994147628690259,0.547662278025775,0.182070506068228,0.992403273345848,0.464928201698821,0.24164554055973,0.958108762442601,0.549342914400321,0.265596539505943
"130-39","light",2000,0.1375,0.979583293996024,0.459460237983514,0.322569987083163,0.984244879970759,0.402614233604812,0.339906549737886,0.963330145667352,0.443695926744831,0.358489089167315
"130-40","light",2000,0.1265,1.04190078764602,0.457685530102557,0.232202449892297,1.02554441201176,0.459465208876428,0.261550094855031,0.998303614427021,0.554047135175211,0.272746423582345
"130-41","light",2000,0.136,0.99761323621385,0.492351779994684,0.194345284791886,0.99351250899182,0.44406343475273,0.213936590122804,0.973603843149255,0.457756908228816,0.252148257634032
"130-42","light",2000,0.1345,1.00010095741333,0.558936169860477,0.240571585606637,0.977456982224652,0.597360875553411,0.281316304763236,0.971830425914983,0.602392011201031,0.291539940485293
"130-43","light",2000,0.141,1.02927397824418,0.509141793984541,0.239107184705455,1.06148664514081,0.346736790271209,0.286027025515434,1.01792083122402,0.465425159021587,0.306788142967583
"130-44","light",2000,0.1385,1.00882381073806,0.479464099660125,0.238563217461695,1.01188080017929,0.427124411594366,0.257905023126304,0.984741252158242,0.482754651220366,0.289364359732107
"130-45","light",2000,0.1345,1.06456952982248,0.487553288589281,0.216565947565647,1.03670580497575,0.52978801064161,0.258127856845239,1.02529791290671,0.570065648651342,0.262325593508432
"130-46","light",2000,0.135,0.953791042947005,0.511493802547528,0.24181300264047,0.925169544911869,0.560452645877848,0.281770595968716,0.896871841937817,0.631382813104626,0.304871935177402
"130-47","light",2000,0.147,0.954643873977356,0.520246108901741,0.272968844910991,0.947067615542833,0.477774549769712,0.312402541859825,0.92149827624439,0.533158033989562,0.327719620666521
"130-48","light",2000,0.147,0.980586663079932,0.482030369993049,0.202857940380293,0.944255418026685,0.548982278627476,0.242587964370834,0.917946688863506,0.622118340445198,0.260835406541226
"130-49","light",2000,0.15,1.03408233641309,0.530528538402427,0.125310082702867,1.00576564267699,0.565741611701994,0.155052485674549,0.985461514291822,0.613954343394511,0.174208934812812
"130-50","light",2000,0.1505,0.958041336805118,0.499911917672272,0.266883609360633,0.933582040801898,0.488313345344989,0.294062791513352,0.908237777415318,0.536647127644196,0.321826366399644
