"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"122-1","extra_heavy",100,0.82,0.941894334151906,0.271489797185902,0.518553367477173,1.05559037328691,-0.348112507567597,0.647915008433536,1.1995364949931,-1.73191060336316,0.579802859964493
"122-2","extra_heavy",100,0.82,0.935662225462109,0.331319783323762,0.267628602770563,0.967306039771881,6.16873932830467e-05,0.149393556081909,0.743463504118438,1.93981901969257,0.387888048778846
"122-3","extra_heavy",100,0.81,0.77666077067578,0.555687489803268,0.496353986158783,0.946043739031507,-0.000247152637727626,0.570790774981579,1.01477695123501,-0.476425526941502,0.567211553429401
"122-4","extra_heavy",100,0.83,0.816332214732243,0.592822179655977,0.354762540738705,1.03377437514101,-0.0547135569754091,0.460072739401178,1.13606962583981,-0.918342472073669,0.450515901028577
"122-5","extra_heavy",100,0.76,1.09534813518289,0.586300039848124,-0.320104382053443,1.33245894257983,-0.125010119049345,-0.101584674979084,1.29645636775317,0.049023396080987,-0.157287372924228
"122-6","extra_heavy",100,0.83,0.911420259656193,0.55164198824969,0.060741895264408,1.00523964261265,0.348415512911099,0.1380631271533,0.968514559964444,0.744040243917259,0.249824359150892
"122-7","extra_heavy",100,0.77,1.30497441746485,0.228791222687974,-0.0255248167535063,0.986248893528437,1.84566008821038,-0.168626869459494,0.765716108769589,4.87509392971263,0.0161338000772173
"122-8","extra_heavy",100,0.82,1.0160229301426,0.42280455389777,0.281724226045117,0.984272244619683,0.142912842170072,-0.110743170691174,0.574761203287344,5.33671274797652,0.316301015286095
"122-9","extra_heavy",100,0.8,1.00764428211946,0.937933218044267,0.0169358237668905,1.19773235400267,0.0280466777845322,0.150866512974587,1.16716981436827,0.515523066111043,0.17028387420975
"122-10","extra_heavy",100,0.79,1.00225082568819,0.357894858282978,0.593317672110979,1.12344411088436,-0.00115765216169421,0.647837190362737,1.19930292832093,-0.794307680051282,0.646847555243133
"122-11","extra_heavy",100,0.87,1.26820852318624,0.53955604347351,0.131707341192738,1.39671980835438,0.04695017831205,0.101600096565078,1.39332462762432,0.281322777268207,0.244787154118165
"122-12","extra_heavy",100,0.84,0.946803776358883,0.536501153239015,0.475678684793512,0.352519910226376,4.23958935901449,0.544755982024658,0.336809998442543,5.24311658017668,0.551239099663839
"122-13","extra_heavy",100,0.82,0.986625759728494,0.694744495498339,0.297916564117091,1.07445895342599,0.136041518134472,0.291681197627348,0.869116767314251,2.123022944079,0.540235227248277
"122-14","extra_heavy",100,0.83,1.20347667699132,0.251554223669187,0.0904284545510282,1.24151270819314,0.197322026045132,0.118517234824382,1.24339267605072,0.260288369394688,0.132249557515217
"122-15","extra_heavy",100,0.71,0.874757109034459,0.395103508375153,0.391691012443394,0.46638157314395,1.56844562905646,0.477109794138957,0.334135104501516,6.62340262909325,0.434150945488977
"122-16","extra_heavy",100,0.79,0.99563793391364,0.628610834743908,0.294574916115658,0.996341985660402,0.874571398510264,0.438133987127683,0.963407559175617,1.798529187141,0.405527080850013
"122-17","extra_heavy",100,0.82,0.910127468493895,0.313336650264547,0.233939405827534,0.824803115194511,0.0943664689176297,0.133808177745658,0.629258417387782,2.66890652870627,0.298783189467413
"122-18","extra_heavy",100,0.85,1.00095856555702,0.404026423051375,0.468514056825594,0.995478838583969,0.000618655076238148,0.18768899570136,0.911411960471888,1.99288403810894,0.512481172372903
"122-19","extra_heavy",100,0.8,0.82310740879665,0.508945570966367,0.565733072599846,0.941606862416443,0.0584515514508296,0.582061391135776,1.02962631749306,-0.154985883279599,0.674044854677915
"122-20","extra_heavy",100,0.84,1.1462961693143,0.262942752881957,0.288825466456457,1.36879757038182,-1.30311186693561,0.511629570838491,1.44288086620427,-1.35518644817873,0.358312844262491
"122-21","extra_heavy",100,0.84,0.961757017053742,0.695454092685079,0.279519072116717,1.00334840679683,0.778833769854503,0.469126218942599,1.00513260787884,0.831120331300902,0.529445400449124
"122-22","extra_heavy",100,0.76,0.922625948054363,0.442289438466902,0.304700737956623,1.02924476774979,-0.0243420209476711,0.490237996259177,1.05270146880077,-0.219730067566057,0.487059659394734
"122-23","extra_heavy",100,0.87,1.15990282736241,0.230164914467258,0.203531025631072,1.2161045710009,3.66640599236138e-05,0.156045089434949,1.40460887379352,-1.18279551970522,0.283589649516804
"122-24","extra_heavy",100,0.88,0.838509102010423,0.534326064278499,0.696894067555161,0.966393678041971,0.123449791597012,0.813726427045363,0.967621637135798,0.440497065905553,0.905979690307614
"122-25","extra_heavy",100,0.75,0.975898414683174,0.814693314870994,0.127455033314484,1.10393963295694,0.321287056768566,0.15485458673327,1.05461966954679,1.38346274541459,0.260103507687172
"122-26","extra_heavy",100,0.82,1.19623781232857,0.205529403487158,0.450406622258446,1.24718594714764,0.00547594925568197,0.495639895114009,1.1094672831595,1.08378945924361,0.496666011421617
"122-27","extra_heavy",100,0.79,0.913958447843724,0.555689196404016,0.0614424533375784,1.10980042968179,-0.019417276221228,0.173794013610298,1.07130630998516,0.227162866892764,0.166206026459636
"122-28","extra_heavy",100,0.77,1.02511415309713,0.409175789262152,0.289617813255875,1.11778551561856,-3.52568133616793e-05,0.439473557353813,1.03529957194388,0.467871136277115,0.410878866248422
"122-29","extra_heavy",100,0.84,1.03897898774326,0.468211776702893,0.18001573647073,0.968344083260396,0.190475060106527,0.0694386340680917,0.840305438672,1.89127999596823,0.195737158579855
"122-30","extra_heavy",100,0.84,1.3987735494824,0.129476025533389,0.1995402231396,1.42925964270635,0.00555914543818296,-0.577520073116068,1.29295603669993,0.630217491178949,0.23378953488123
"122-31","extra_heavy",100,0.85,0.978587983124963,0.281499559151098,0.531271963723233,1.053986541934,0.000702779152089541,0.611565878361395,0.873823079026377,1.26040050375311,0.635014533912567
"122-32","extra_heavy",100,0.83,1.0385622390162,0.655259635517582,-0.111735642314458,1.23442001588023,0.0571410731537028,0.197263542362075,1.13949731261181,0.978167407409662,0.196598804282264
"122-33","extra_heavy",100,0.83,1.55847816270104,0.278932095098835,-0.0576606691906797,1.35660426226262,0.237798872707992,0.185854569688355,1.21812756745865,3.25929549489788,0.0755651217394346
"122-34","extra_heavy",100,0.81,0.78650148074031,0.533459704630589,0.76868145915977,0.847129093877385,0.220351070328436,0.805383618706672,0.734968994871358,2.05632726501746,0.940111230235325
"122-35","extra_heavy",100,0.77,0.782352075754162,0.660756242664647,0.335452013812717,0.869684871527766,0.320084727022145,0.292490901600446,0.849875638761525,0.528631576060871,0.570469440180087
"122-36","extra_heavy",100,0.84,1.1162734257319,0.569435031400257,0.1167233564357,1.22233962534,0.0289831076911593,0.0759839399389453,1.08402787927168,1.09667210681547,0.448151977660363
"122-37","extra_heavy",100,0.92,0.994943296475837,0.800250836781036,-0.0474922194920773,2.31596571996264,-0.00231678745611735,-0.639002835047279,1.72667844221515,-2.3377109407595,0.0710858736497832
"122-38","extra_heavy",100,0.84,1.16447759469205,0.467991351408316,-0.0811165649333299,1.35091982038773,-0.00169209847082634,0.134178987680105,1.19237526695125,1.18239065892154,0.0778506899882646
"122-39","extra_heavy",100,0.8,1.14480483117453,0.447566028356685,0.182583078057119,1.27588788138487,0.120726511220358,0.1383365453007,1.02876156885587,1.20645734030835,0.322588482762489
"122-40","extra_heavy",100,0.86,0.884418119405764,0.552345310349315,0.255296327756999,1.05310760764702,0.00223847860735514,-0.160475200113814,1.04815119606386,0.0907866212502943,0.523365884584779
"122-41","extra_heavy",100,0.81,0.994732500110685,0.265704378567117,0.687027635673418,1.0628000170315,-0.0011413080473876,0.826705150276218,1.15024892265329,-0.61073878911565,0.820306794900469
"122-42","extra_heavy",100,0.77,0.843109081543639,0.573803530688219,0.376747967053183,0.879316958835178,0.550043116177886,-0.000433740429497713,0.577240951352864,3.2489186206914,0.537253925489677
"122-43","extra_heavy",100,0.79,0.711690375737935,0.604890319657095,0.601636886990409,0.846507252515843,0.036537019065127,0.20630486361793,0.669844511004432,1.50900998290741,0.834037326897281
"122-44","extra_heavy",100,0.77,1.25183216129708,0.430347422967679,-0.0819261753273871,1.25129443905378,0.712475286552377,-0.0744622157481691,1.19628831294585,1.84522443000774,-0.00590325364709578
