"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"127-1","heavy",500,0.472,0.99610247078477,0.503314837626457,0.260959633703541,0.963925634509131,0.681899827416931,0.27246341054917,0.93491482416542,0.678295189799917,0.402215159233532
"127-2","heavy",500,0.47,1.07647146604571,0.608802013963376,0.112011617028169,1.07030536155157,0.687422220316147,0.145112532690832,1.02426358318702,0.72220327111024,0.251773375478827
"127-3","heavy",500,0.482,0.998488660015363,0.531987385283429,0.215025713217021,0.95115710483813,0.769656636545187,0.126468391737236,0.891613417396482,0.733422399536745,0.319871448427145
"127-4","heavy",500,0.528,1.11023564048448,0.373540031412856,0.0981491357109206,1.02221860903343,0.685928709370019,0.0733259465464531,1.00483540952378,0.620964729093073,0.167640200958996
"127-5","heavy",500,0.494,0.851608715061666,0.587782087824871,0.34744840364911,0.792441527851734,0.84519171154466,0.345761401377072,0.747573931837877,0.780810533474194,0.490689620566226
"127-6","heavy",500,0.524,1.01083315021245,0.421759169358082,0.223537334924362,0.988129672318293,0.367049573310856,0.209848557359818,0.942790068411016,0.457256188166957,0.361135066439503
"127-7","heavy",500,0.52,0.949024292501606,0.528917644169482,0.332834847596973,0.901945978369508,0.587803778158138,0.397437317270324,0.876558984098744,0.639064537663921,0.47767006750077
"127-8","heavy",500,0.47,1.03612255627769,0.462310635358701,0.270081716426161,1.02773686637496,0.477168551123487,0.283140050378211,0.976847924365336,0.523190513627534,0.37738748127176
"127-9","heavy",500,0.49,0.975624864723638,0.539111376153972,0.286822689308902,0.968449464760896,0.669531445759524,0.238851981778817,0.883900935815689,0.574912069100955,0.43561367550426
"127-10","heavy",500,0.476,1.07253228696687,0.392792316058215,0.282736462179757,1.03550933217924,0.477222341465473,0.309967380229803,1.00434041775007,0.549335189743438,0.383535126061803
"127-11","heavy",500,0.478,1.08652752026532,0.370069331008434,0.273810612726687,1.07004847207215,0.459839176915621,0.256860498006318,1.02695104816259,0.483344569383052,0.347024241747975
"127-12","heavy",500,0.478,1.03610680664318,0.422176821483178,0.242953864692455,1.06622687403064,0.353878565770055,0.290796410502951,1.05999480875348,0.341447170277924,0.325846376892585
"127-13","heavy",500,0.47,1.00306415914611,0.425789015250701,0.266192631313997,1.00228712228747,0.436701194807814,0.295813614607583,0.98802094032322,0.359840006504585,0.37482944963241
"127-14","heavy",500,0.47,0.944831340204438,0.567553946243564,0.275911923785478,0.940978859441914,0.561926878294874,0.305017389476908,0.883742466334951,0.618987632799685,0.442754272049987
"127-15","heavy",500,0.458,0.926423939813577,0.592366423008772,0.286113071312407,0.92997178777447,0.534776370513054,0.262672692346958,0.837827795462114,0.610527276892277,0.423715012392307
"127-16","heavy",500,0.452,0.948262901722794,0.489701531728276,0.374371944850176,0.903989792345818,0.634528125014696,0.389154058423767,0.867489267075696,0.57080834514687,0.487038470068275
