"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"117-1","extra_heavy",1000,0.701,0.923293273101811,0.485341470934066,0.32414229384401,0.816453119537309,0.868429921440449,0.553154949090907,0.820809878755927,1.45526352133754,0.493208590359474
"117-2","extra_heavy",1000,0.69,1.02398864166763,0.517826195749661,0.267100742161006,0.897440475358769,1.08853738440838,0.459330464425123,0.901825927355212,1.96601612655269,0.373604329358888
"117-3","extra_heavy",1000,0.737,1.02055232649628,0.489201209500386,0.190439662697136,0.862850874145088,0.32590711305088,0.489662700487535,0.886178930706208,1.61074055245362,0.284631125707382
"117-4","extra_heavy",1000,0.717,1.07084561979259,0.487773159874635,0.261108719803917,0.901711587014854,0.689629497128458,0.531295437457384,0.932585296227878,1.70019619901244,0.385378197774756
"117-5","extra_heavy",1000,0.729,1.07176746802759,0.522710523271425,0.173895100677191,1.01353162590286,0.40437086534983,0.399530462733054,0.993057845560106,1.33301240371444,0.290293016510622
"117-6","extra_heavy",1000,0.729,1.05025473823565,0.400814281028451,0.167413241715463,0.973628888488719,0.554898578716692,0.336525298874259,0.957633580125683,1.08991782685109,0.251868792363708
"117-7","extra_heavy",1000,0.725,1.02233302280175,0.466648071833032,0.312013632790854,0.956481996144835,0.704101912447219,0.491304655143368,0.961846477404533,1.22937461566405,0.420623097000406
"117-8","extra_heavy",1000,0.738,0.97077957129683,0.484342165047456,0.263550836106357,0.829063071832082,0.477286358192708,0.508984990628132,0.87920742689117,1.0664567082404,0.383730894844391
"117-9","extra_heavy",1000,0.737,0.993535526031246,0.525492322512615,0.195555631856948,0.96597272614396,0.394019369832505,0.42680745560395,0.982471862737735,1.08100535474344,0.322645667401037
"117-10","extra_heavy",1000,0.716,0.972604473763636,0.508386501781328,0.312066697369414,0.831209876080443,0.527393952687648,0.584775014477185,0.915897310870954,1.34874510967142,0.403048598938097
"117-11","extra_heavy",1000,0.729,1.02441128586436,0.537248842503624,0.271855634231759,0.8857644136672,0.834389525607014,0.471265749899849,0.887509258865406,1.99270624319161,0.36853815819084
"117-12","extra_heavy",1000,0.726,1.02985040443519,0.449584392511174,0.218436585880883,0.925261157639368,1.07962526669445,0.389565990626389,0.950823659104007,1.53364741753009,0.307661719700557
"117-13","extra_heavy",1000,0.715,1.01861728150197,0.449070029266717,0.23352186739851,0.914572970165184,0.622970382678555,0.435699397288495,0.921500682657434,1.67065708509626,0.326021691962438
"117-14","extra_heavy",1000,0.717,1.02599996997062,0.488254042731215,0.177211477678315,1.04623763210644,0.251005155012199,0.337831030945349,1.045696938792,0.932751223516618,0.263474189486277
"117-15","extra_heavy",1000,0.739,0.998568073507538,0.565034448471724,0.300067061451925,0.745781512549158,0.843386397562325,0.660433780772627,0.772629612547084,2.73676999808645,0.450183260646917
