"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"132-1","heavy",1000,0.402,0.982245878964932,0.501291272445327,0.256907820078469,0.91792461048659,0.554272317967696,0.376420951194743,0.927573933158829,0.665418969526845,0.334842097109284
"132-2","heavy",1000,0.427,1.01763294118394,0.486562427910356,0.278980034366707,0.93190839913815,0.587254206678558,0.448224388372394,0.92429296945127,0.734563173708099,0.432661321629854
"132-3","heavy",1000,0.407,0.911312385330514,0.533910372760252,0.365401137907511,0.814136149521591,0.71365859544393,0.499680145309019,0.806057702783296,0.866267826696635,0.468065653690216
"132-4","heavy",1000,0.388,1.01748367807685,0.480154870716232,0.343649501772834,0.939345873535118,0.644869772400325,0.458170160141381,0.951696410531653,0.747979961536007,0.410439259651955
"132-5","heavy",1000,0.435,0.961002787954432,0.50790529046164,0.31715778861233,0.944362669461051,0.382804308135308,0.436766068002562,0.947120551575995,0.492655621285468,0.398663634940565
"132-6","heavy",1000,0.409,0.931440724752668,0.465912319283373,0.335193885063206,0.872261356492725,0.417357942921584,0.451233145070291,0.859719623440511,0.612342424829411,0.434390919341596
"132-7","heavy",1000,0.386,1.08345169361878,0.432808838457733,0.286840224484151,1.04759520765659,0.398655606346529,0.390356582955408,1.0452145700249,0.478666261502919,0.378196450232715
"132-8","heavy",1000,0.394,0.953250741643852,0.517691371995614,0.368394574090389,0.91594396141044,0.486788353408939,0.538942210270133,0.908002045689948,0.649807009931271,0.509617106846365
"132-9","heavy",1000,0.407,1.013604256227,0.555443660896072,0.19543395761374,0.903454267917103,0.841273238301197,0.34730960170238,0.902328080744994,0.974650145001714,0.307942455981056
"132-10","heavy",1000,0.432,0.989899227916564,0.462877016942242,0.301089329790887,0.936858857064974,0.545408700376343,0.398801470214255,0.932264104939101,0.649619781748256,0.383418074657802
"132-11","heavy",1000,0.395,1.0620855785131,0.506946039632966,0.155890760835126,0.935137615339826,0.694934640563136,0.331080601524232,0.928667157894022,0.950489264024608,0.290611150961816
"132-12","heavy",1000,0.391,0.968822041961711,0.522507815150455,0.291592652384289,0.871538752539602,0.830899926499737,0.411346202013786,0.877442330294345,0.863233564352669,0.376093461348433
"132-13","heavy",1000,0.415,0.945613446547946,0.474245582959207,0.327857076399899,0.806326137857716,0.679647952228128,0.530840067333784,0.817725002047145,0.87696179185334,0.457898946229315
"132-14","heavy",1000,0.407,0.98898975517038,0.498952803733628,0.159745417005977,0.94687334613041,0.540775603902718,0.272256462133832,0.93813436976617,0.603647614954165,0.278351769558989
"132-15","heavy",1000,0.414,0.976330167750917,0.493690656585945,0.211097290078467,0.88734497426397,0.659001412613007,0.32675408089103,0.877840262635198,0.792036059104485,0.322910216992495
"132-16","heavy",1000,0.419,1.02284415550009,0.527627047097588,0.22329808576916,0.964409848562377,0.678954608116252,0.301484295611734,0.947674463305669,0.818511915272484,0.313600154855095
"132-17","heavy",1000,0.418,1.05747092148226,0.458732861909626,0.18899826095368,0.982013835671687,0.604660781470383,0.301022272184434,0.982118374627622,0.699925256108132,0.2779335011158
"132-18","heavy",1000,0.41,1.0701532339551,0.486494708876812,0.145135899576169,0.975535371774789,0.679665347462754,0.254136742812198,0.971143388753496,0.799854073044819,0.237329390886719
"132-19","heavy",1000,0.41,0.981173655719419,0.519111199322482,0.222096061700898,0.90058911030727,0.552661212984521,0.371817616016485,0.905277662306042,0.706613873152766,0.325618171976056
"132-20","heavy",1000,0.438,0.977595742495806,0.504756279702821,0.25351574355097,0.843955745765403,0.669329112475087,0.399122750680951,0.843317956161494,0.810236847702937,0.371941011231254
