"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"128-1","light",2000,0.1575,0.967696326936055,0.506824604666599,0.308769067556061,1.01613268747365,0.26095908406688,0.334795124044883,0.953949427528425,0.419473327366953,0.365494046240349
"128-2","light",2000,0.1435,0.991302371072203,0.475021725076812,0.254161430596664,0.988826388287876,0.393827948305086,0.291096675557784,0.966512861105373,0.481408351360213,0.296349505368618
"128-3","light",2000,0.1415,0.964433490593667,0.53223407065555,0.289648608277593,0.945175054534252,0.541536325713804,0.325033379280267,0.93412101008947,0.573733920719718,0.335220751632567
"128-4","light",2000,0.1475,0.997349755947625,0.508405481039856,0.237288075025311,0.987303752675633,0.47659330819036,0.265421847573301,0.966486329771094,0.541884807581733,0.276030105278348
"128-5","light",2000,0.136,0.966834399540667,0.500979508035661,0.275895013622707,0.952130202389323,0.502201706464347,0.31918791686537,0.9426482074994,0.513096409120604,0.335418997652331
"128-6","light",2000,0.127,1.03411932999752,0.470131858698805,0.255028829179429,1.03565586217887,0.39302788937376,0.289937972292686,1.02245175327838,0.443137444453639,0.292366942619931
"128-7","light",2000,0.1245,0.954307892629998,0.53372421201073,0.309818117053855,0.927803560136175,0.535039024407935,0.358134284368709,0.906191840178582,0.597983059984814,0.372740013797979
"128-8","light",2000,0.146,0.948147025316717,0.485893322830806,0.335885997067397,0.899844908638684,0.563190265622363,0.397292411014088,0.894110061525158,0.586068709804114,0.400895952970022
"128-9","light",2000,0.144,0.997678866488838,0.514697123103319,0.259714275861951,1.03407519861921,0.315094840592798,0.281047368680515,0.990864031940885,0.426964523118075,0.301395270139389
"128-10","light",2000,0.1445,1.024852999959,0.488448230703219,0.244514959314302,1.03941144649627,0.362027154228695,0.267882174298845,1.00981669474357,0.441918058681173,0.291773549038821
"128-11","light",2000,0.139,1.02402227095612,0.474540952735126,0.245639655505567,1.01975539088041,0.458554758315891,0.274038018026221,0.998795216899401,0.518369453997378,0.284335252381484
"128-12","light",2000,0.137,1.0431528314977,0.464453012468879,0.241717176271279,1.02735103580681,0.485051000317898,0.27001968627662,1.00780211591254,0.516612027023459,0.295435379288458
"128-13","light",2000,0.1365,1.02420298747968,0.502326853603321,0.168147126475847,1.00553162030929,0.513782049059467,0.207122314643873,0.98753047476992,0.572266371194577,0.217276455354112
"128-14","light",2000,0.1385,0.98634742888163,0.539574130189033,0.21510044674405,0.990770791007721,0.464652152766172,0.261972616436966,0.975508413769291,0.50801049784204,0.270024103356074
"128-15","light",2000,0.1375,0.984711479167737,0.468695220062611,0.260471938843945,0.984602530447739,0.413172317380327,0.273778435750208,0.956312052399797,0.476521612056825,0.298458805325884
"128-16","light",2000,0.136,1.01410656370929,0.484545275098858,0.236017526584163,0.995470629681315,0.510772021416608,0.264933023836462,0.986575558862831,0.522182525476889,0.278712577403297
"128-17","light",2000,0.15,1.03539614625568,0.49019602555756,0.178213926758972,1.00623180791884,0.489579893489944,0.223730291478866,0.988693599155172,0.53080069500145,0.238302031105935
"128-18","light",2000,0.1425,1.00881192026232,0.421780252264784,0.308469421101127,0.990873884544391,0.445477004010303,0.342789453269414,0.985280134904599,0.460258967512199,0.347937024116382
"128-19","light",2000,0.1335,1.00316101625342,0.440537065608707,0.229469753502015,1.00354706352572,0.388967076714792,0.257452104440231,0.987286466751825,0.455524199817477,0.260306761538003
"128-20","light",2000,0.1325,0.985236555215613,0.479791100431142,0.244340961015586,0.96121069010844,0.505439728255911,0.291679158306679,0.957685354734861,0.506624093295103,0.301580057084172
"128-21","light",2000,0.141,1.01673292542825,0.492980845031574,0.181255720321809,1.00570368263996,0.468766852713449,0.216944023449034,0.991991802331923,0.525037565961294,0.21623517733344
"128-22","light",2000,0.1445,1.03320587814062,0.475987791342071,0.192574958566715,1.03065866245977,0.422228654811973,0.227062295281011,0.996622209618889,0.522709101483151,0.241632045394666
"128-23","light",2000,0.1415,1.01528110697401,0.502512769215577,0.270458235416796,0.996754624478359,0.533097200308582,0.290098456562589,0.97943776429474,0.584700945786287,0.303874434275751
"128-24","light",2000,0.135,1.02936172977252,0.527785274910012,0.196418023487378,1.02286408228796,0.486188257492612,0.22677560139588,1.00309002714228,0.544625493481756,0.236655238033866
"128-25","light",2000,0.143,1.08709415896096,0.444110075080984,0.231934760100776,1.10896117458881,0.304501567306563,0.253856478171874,1.07656427912121,0.408442257741577,0.264672940786245
"128-26","light",2000,0.1365,0.98872905245097,0.533354891962076,0.274108645009688,0.997303104436707,0.447307186422518,0.288112619020812,0.968022225865311,0.520403402292946,0.305326276197416
