"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"117-1","heavy",2000,0.353,1.05966826240211,0.468226586422481,0.263694112631362,1.05555342675171,0.456319966424937,0.281757393824325,1.05252133069697,0.46152396918722,0.278901018174096
"117-2","heavy",2000,0.354,0.996335509060642,0.512349263785952,0.191394292344526,1.00633295719288,0.500725453817223,0.185973565478174,0.98738589087137,0.514528404540286,0.193086142867037
"117-3","heavy",2000,0.357,1.05011009672892,0.425915361195048,0.278741491075178,1.0273632151324,0.458501047231019,0.260675867060415,1.01564649998132,0.467421949242062,0.26903294125168
"117-4","heavy",2000,0.3195,0.93967186365327,0.529076184066509,0.265489206773703,0.958958100317554,0.51471011038649,0.269562514111248,0.959288536178723,0.516109279134217,0.266895307622818
"117-5","heavy",2000,0.3615,0.962757883243905,0.504709470614987,0.244533439414754,0.971304095775832,0.507661276959875,0.224888475823428,0.958260752418355,0.517091523211739,0.231355325515771
"117-6","heavy",2000,0.334,0.956619150914814,0.517389828508624,0.306358457933033,1.00360029542141,0.481099342993175,0.293324707533356,0.99430174068202,0.489568840554829,0.295895566039892
"117-7","heavy",2000,0.364,0.977532411614479,0.537614238852903,0.21395768125971,1.05546473479499,0.46905005242714,0.214365713736627,1.04563111737767,0.474317464649693,0.224841218725582
"117-8","heavy",2000,0.3445,1.08649925748997,0.412285396080466,0.250092035092387,1.12382202096593,0.373527168661218,0.265058982929558,1.12061702622493,0.377371592621624,0.265106386827593
"117-9","heavy",2000,0.35,1.04230732660271,0.509775790340567,0.190729323560886,1.04038696290344,0.49841139626359,0.212134381036333,1.04002288087121,0.50119041379884,0.209074170718972
"117-10","heavy",2000,0.3475,0.952230528537432,0.555734355926556,0.258277559260621,1.01842756352889,0.485287329310609,0.270437208066393,1.00783302530622,0.503502081900459,0.2512212547074
"117-11","heavy",2000,0.352,1.01168591834166,0.503208524610659,0.210023941116066,1.0175339358108,0.508154799457454,0.199354357064639,1.00389568100561,0.51834404496641,0.20703702802573
"117-12","heavy",2000,0.348,0.937892880107353,0.549674305630877,0.169838908852119,0.948061592707602,0.536186026898669,0.173299563843686,0.939372770227693,0.545909468967809,0.170490758073869
"117-13","heavy",2000,0.3515,1.02793594171294,0.510517886254743,0.158874919351708,1.07462121395142,0.475005729935284,0.149710319586177,1.06747782109246,0.477737950066858,0.158710625769258
