"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"132-1","light",500,0.172,1.06043041929945,0.487962599303934,0.240894137004883,1.13579158727192,0.420344220336102,0.235405659713161,1.11533818992406,0.438531268102861,0.239626575177269
"132-2","light",500,0.184,0.869392193910193,0.557968601336264,0.325075480424436,0.857573069140277,0.561445083619837,0.318760998781774,0.854770529061003,0.562817251733438,0.322428524634613
"132-3","light",500,0.214,1.09195731580573,0.475593553433323,0.178758747461359,1.07707369463864,0.47311781870945,0.200930788140189,1.06810825805725,0.493473603100764,0.18059720992833
"132-4","light",500,0.202,0.965190648321901,0.569547615684682,0.140900418958365,0.96152982539979,0.578653053927178,0.156374075697926,0.954821705538461,0.582704784917405,0.163822636386367
"132-5","light",500,0.164,1.02114961122278,0.500446982522678,0.116936243830764,1.05217800728196,0.478860888068645,0.118108328116786,1.04671569270621,0.486111230584245,0.117076767138098
"132-6","light",500,0.198,0.830715975568559,0.664213745486683,0.211774106126188,0.889437001050601,0.609940359206681,0.212143470614382,0.88272693628612,0.615183989167102,0.216084676351669
"132-7","light",500,0.216,1.00976990042859,0.49656076303893,0.135472622570536,1.04519848843737,0.451760392693608,0.150350760743314,1.0419121317924,0.456464691208081,0.15029838270116
"132-8","light",500,0.194,1.07376855580919,0.39355650938023,0.230447868792308,1.08900076877697,0.388901457496653,0.222040842761482,1.09033954714426,0.389542099110906,0.220626071178035
"132-9","light",500,0.188,0.937794001409152,0.467676744822208,0.281522514011108,0.942180396747649,0.46700447095568,0.298848708793149,0.937709204058528,0.474317741185138,0.293594417168723
"132-10","light",500,0.212,0.950265851133545,0.544553218615359,0.310604352999838,0.957228254559731,0.535594109416475,0.303512572110159,0.945886777737746,0.545414761853749,0.309667080439736
"132-11","light",500,0.184,1.02319751901797,0.456126430082746,0.332499078701178,1.05095918554236,0.432926491239797,0.331143864616802,1.04612794958756,0.435976240557027,0.335941578325502
"132-12","light",500,0.2,1.00116113641733,0.497525105153666,0.212761353998335,0.931136876204834,0.560995230537409,0.200245479094339,0.921325744373312,0.566583452986741,0.209517153368961
"132-13","light",500,0.22,0.998626692075991,0.461982557326391,0.338088032507789,0.972703154268659,0.474338796710147,0.327791981730914,0.938266859700637,0.497642679618241,0.346755990364155
"132-14","light",500,0.184,0.888651822082795,0.57612427469264,0.331767554197919,0.847325705574071,0.618661525820824,0.322023119199863,0.854848590254672,0.616388100828401,0.312551197276483
"132-15","light",500,0.184,0.997472713388152,0.474655232258064,0.269310645098889,0.984392069150813,0.482459898929877,0.251678869845816,0.979327249613423,0.486487352254787,0.254851596434586
"132-16","light",500,0.204,1.02171627411493,0.466244764028113,0.251227821961447,1.03718391184203,0.45730665818143,0.255382927144407,1.03639274799248,0.458857061373565,0.256472857982867
"132-17","light",500,0.23,0.851773334974739,0.538086216834454,0.418741344803719,0.864026795583664,0.536327490692019,0.421395711774416,0.872231716919459,0.536575789079813,0.405472672013024
"132-18","light",500,0.186,1.03984233562212,0.569003103844937,0.118208133351806,1.05771070114308,0.549606276133348,0.122465685014375,1.04470709695806,0.556853306806985,0.135649586088608
"132-19","light",500,0.174,0.995700598868107,0.50211541670192,0.1704269396987,0.990496015513102,0.508339401560133,0.168869513530261,0.983452340431117,0.509131342406311,0.182317727979464
"132-20","light",500,0.208,1.02709363410919,0.445178604683595,0.33326005238415,1.0411326147465,0.433909867480719,0.327122947438093,1.03777982530652,0.436626804735593,0.329876958492325
"132-21","light",500,0.164,0.724458478826764,0.706434793108991,0.327593469591736,0.703663396406708,0.740340459354209,0.324179768298333,0.681365830464861,0.763599442292421,0.325615720940903
"132-22","light",500,0.188,0.948303571951264,0.510921183879417,0.286493301507301,0.945252641708692,0.526567799708423,0.258652884680184,0.944390894519956,0.528182603235301,0.259550059085087
"132-23","light",500,0.196,0.961524895935593,0.482880329167288,0.320880876700161,1.06542093346978,0.380185210135048,0.332873387040879,1.06583378753287,0.382472434850802,0.328315578399171
"132-24","light",500,0.224,0.997743758221455,0.502349853679015,0.238564604816184,0.929841890900274,0.557218276135723,0.266167968755774,0.934521778679433,0.55873447625245,0.255741914212238
"132-25","light",500,0.194,0.907575520894573,0.556275941244511,0.265958603214649,0.926725040235328,0.560020292289928,0.240545268540772,0.907905038439844,0.566352104800737,0.265815965777259
"132-26","light",500,0.188,1.01460776017768,0.492619709558679,0.278065044582146,1.00186078473103,0.504719638256412,0.292430017047031,1.00295254258381,0.507273644591036,0.287924932261059
"132-27","light",500,0.194,0.875957112781963,0.573573522054612,0.327347828317716,0.894658057354034,0.566542118144405,0.324938455113762,0.891137848567446,0.571945859043454,0.326480455492393
"132-28","light",500,0.212,1.01559162053618,0.432190236606416,0.319089829669356,1.00919890896982,0.440102526450773,0.301373122184124,1.01008257335817,0.44069636819522,0.301732262189958
"132-29","light",500,0.23,0.958619772064903,0.647503211021297,0.0518889733512571,0.99986338199345,0.621601918044657,0.060282291756091,1.00042792551813,0.624066665012303,0.0573294199691872
"132-30","light",500,0.204,1.07423547133698,0.415690812225209,0.390449270399442,1.06919463731402,0.410477757360019,0.392836415321805,1.07056700407384,0.413124286077229,0.388723951708355
"132-31","light",500,0.192,0.930704899145872,0.533755816977383,0.227215721933402,0.919020839043548,0.536113139839225,0.23107800852621,0.916186321353987,0.537694132055979,0.235325382645718
"132-32","light",500,0.192,0.806652120938927,0.550806895196281,0.318486388646792,0.845796950354472,0.518584971372611,0.307563365620506,0.837124900563918,0.52303743269962,0.317347147536658
"132-33","light",500,0.176,1.06687623030908,0.480016326018989,0.195728766340951,1.1239858315645,0.426273768740195,0.190623650919577,1.1218758965011,0.431698644457821,0.184576168324196
"132-34","light",500,0.232,1.06661348569767,0.489343434671515,0.130038188286737,1.05848204176924,0.485112723557556,0.132854947519687,1.06905618829307,0.484294978029552,0.117224651087789
"132-35","light",500,0.204,1.03203610221547,0.473864199914428,0.359170014359545,1.02875874327287,0.467629109811737,0.346095764363072,1.02579985722926,0.471132143333081,0.345988844751583
