"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"129-1","extra_heavy",1000,0.822,0.948642777954609,0.513909391426747,0.233404456048139,1.0428383161178,0.466593010291166,0.189515864523045,1.04070002241407,0.391812893897983,0.356849811782022
"129-2","extra_heavy",1000,0.834,0.968080668152048,0.500257204519919,0.33939929076813,0.968381365749542,0.463681319937343,0.393487073316761,0.891635536510575,0.481767385219849,0.509661323070742
"129-3","extra_heavy",1000,0.821,1.03114018652102,0.463490554528235,0.244573434169624,0.945405401639491,0.528543854750611,0.214721317013705,0.875631913759318,0.520890745497298,0.405072717487266
"129-4","extra_heavy",1000,0.82,1.02377858669465,0.46666195635385,0.26287073913607,1.00007717936403,0.529047853344376,0.23720086101821,0.973533013809033,0.464001693370755,0.415470459408765
"129-5","extra_heavy",1000,0.818,1.01596118683337,0.496547093253514,0.242629655561396,1.1390703937777,0.373900165787123,0.189549358145549,1.03725390424414,0.396480221980873,0.378774614512469
"129-6","extra_heavy",1000,0.813,1.05512596162536,0.516574988066697,0.0646517984960447,1.27430217158786,0.330952151789027,-0.0510646301002964,1.19318101426168,0.343864920367663,0.207228981351949
"129-7","extra_heavy",1000,0.821,0.948003186665724,0.52020305779723,0.248695867438022,0.973975038146525,0.517485119832797,0.262282988633088,0.981602081479862,0.479600613494528,0.36696688679584
"129-8","extra_heavy",1000,0.824,0.938898993255013,0.464442732123726,0.355328828338512,0.998267700745708,0.453180533366819,0.277642623049829,0.946501118550779,0.394803609784511,0.473615901295189
"129-9","extra_heavy",1000,0.821,0.962900613144472,0.552440339674794,0.181283604675622,0.940215120142528,0.538191044590071,0.184007330916172,0.80453451606039,0.604324844914905,0.322413000567329
"129-10","extra_heavy",1000,0.807,0.885161276940165,0.576783650318791,0.197556500633811,0.97447167804578,0.543103163901975,0.154709576847863,0.857525798696352,0.571024044729563,0.360055862140372
"129-11","extra_heavy",1000,0.802,1.10762265193242,0.373614149453767,0.369890909790284,1.01551562919567,0.458828050414278,0.340061371007475,1.01524896268424,0.417477233017803,0.480793807105243
"129-12","extra_heavy",1000,0.832,0.970359190372457,0.553269832751935,0.252018904305362,1.00601812035053,0.484659466469946,0.215502497766412,0.905332123485847,0.522182281704589,0.40932924707289
"129-13","extra_heavy",1000,0.824,1.01773166485226,0.436201205577407,0.301591580062597,0.806587220364266,0.653007712010456,0.211855949287451,0.81820057566647,0.541242614871757,0.448441568812066
"129-14","extra_heavy",1000,0.838,1.00093262614099,0.49685748138941,0.322986659297311,0.765540003010545,0.702852185137188,0.266317079840022,0.746883140882605,0.637620717924793,0.468301971002613
