"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"125-1","heavy",1000,0.366,1.03946801652074,0.543227347701008,0.143439902490014,1.02921406854518,0.56335189910578,0.127800710157062,0.98929744064346,0.552608248301534,0.223410583900686
"125-2","heavy",1000,0.385,0.969072907523407,0.491803461293079,0.325997623839351,0.86597876590745,0.583255672741363,0.32075402586573,0.877960358331738,0.540570086060575,0.393729761327683
"125-3","heavy",1000,0.356,1.00364737387484,0.524706001343094,0.214566324069399,1.02892596157406,0.497207565435441,0.234318547508921,1.0191163290088,0.48115263886667,0.299760682780546
"125-4","heavy",1000,0.398,1.01730855893694,0.496500978287538,0.142540013231142,1.05405402668034,0.457059371995964,0.165267305775351,1.04794856225598,0.435459669665719,0.225818737150918
"125-5","heavy",1000,0.367,1.10661166987203,0.459872975659653,0.223437328536837,1.11955818993369,0.447452280236915,0.225624355194357,1.09989951509225,0.42398144805052,0.306422398382386
"125-6","heavy",1000,0.388,0.983956427933509,0.506290309652723,0.304306966495075,0.980853352911869,0.504365338861541,0.303631655019637,0.966999664528026,0.483042714458117,0.375977464548621
"125-7","heavy",1000,0.366,0.908995883741815,0.619362543112663,0.0963401220676147,0.929606116871461,0.602911500335063,0.111765521812582,0.91450117809449,0.579988839314041,0.192622781775811
"125-8","heavy",1000,0.39,0.885033123892791,0.520667706720198,0.372196301671867,0.850891926166005,0.548205989709885,0.364566791283829,0.846048796778196,0.509913911037003,0.458809818860924
"125-9","heavy",1000,0.366,0.919559160719598,0.487860641808183,0.428819052217335,0.975844570941221,0.441033557352491,0.429713864827899,0.946958477595533,0.442682683340654,0.484944947602344
"125-10","heavy",1000,0.371,0.969369192987141,0.486430292607817,0.289063834671445,0.949852783539521,0.516465185703245,0.269179811996621,0.950432617736249,0.474898373050287,0.359797828373621
"125-11","heavy",1000,0.391,1.03688073498265,0.459106861320531,0.307914427931614,1.02896229682817,0.469797536802399,0.271270306198591,1.05480040811896,0.401401849823871,0.379368625226576
