"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"114-1","light",1000,0.24,1.00199537810685,0.463922623462914,0.34138663384507,1.06731748454978,0.410705189206032,0.346467158327906,1.03025079519497,0.418013403731843,0.393530561941498
"114-2","light",1000,0.219,0.930567612547229,0.524262904170696,0.239322821766231,0.949148732802265,0.515747341044983,0.230665067728072,0.950428643838852,0.493377020276,0.282602898665463
"114-3","light",1000,0.23,0.977494947289643,0.492767024117368,0.284153990942595,1.06287797777174,0.421542476014407,0.293438073528113,1.05031827626354,0.415150089068852,0.328616230375723
"114-4","light",1000,0.223,0.948903381425649,0.55643566569571,0.127601084953044,0.961228128567172,0.544899070346448,0.129399670475506,0.967234727348587,0.507731740981372,0.195717906936256
"114-5","light",1000,0.225,1.01133302792041,0.49037593930624,0.286359753719064,0.952949937247554,0.5559956887167,0.260112973389922,0.947244921964036,0.542607668725426,0.30178089494914
"114-6","light",1000,0.248,1.05523364991322,0.497929548978298,0.177810454699765,1.05592217712962,0.506057035561341,0.160666908776638,1.0685254785726,0.458356143221357,0.23823404057277
"114-7","light",1000,0.238,1.04189551144829,0.476066676500782,0.164603355383003,1.04018818092816,0.475644963254062,0.161654391066655,1.02843895498326,0.465410480800205,0.203135844236007
"114-8","light",1000,0.212,0.947579272076855,0.533479684142294,0.245932668001493,0.962696881622362,0.519888438655766,0.257323022987274,0.952418043195883,0.507877319266261,0.302190734187831
"114-9","light",1000,0.215,1.05352055216729,0.45764030449237,0.296835773248406,1.07775796003677,0.437415832772024,0.2984547564634,1.06047537252632,0.434440672814577,0.33777532123064
"114-10","light",1000,0.187,0.994469288231772,0.516863776253533,0.174049758617112,0.94578957584083,0.576551755549454,0.150144828000532,0.95349565095493,0.540803415206843,0.207362658495293
"114-11","light",1000,0.211,0.946133820822811,0.502462124893272,0.231149581479477,0.924535800343295,0.528869356975126,0.213649710739319,0.909562407333947,0.517843760572236,0.265393060896001
"114-12","light",1000,0.213,0.996800994176552,0.486182905341273,0.318658609105596,1.00612087772547,0.480307682044925,0.30025901556726,1.02511431856504,0.434937356425327,0.372107529208692
"114-13","light",1000,0.225,0.892188602600758,0.591592941455002,0.227961244862581,0.87701162918199,0.600781171798359,0.230745327587339,0.895053740215895,0.560881880988863,0.288634234686834
"114-14","light",1000,0.216,1.04585739248784,0.499527059800933,0.117226782186253,1.07540138951028,0.469531980817473,0.121279455237613,1.11045727717265,0.416254891380228,0.178057316880595
"114-15","light",1000,0.207,0.883108656558304,0.52731581652167,0.302406819959092,0.893207362682257,0.523483049489706,0.31426112141418,0.905702435517931,0.493103747505846,0.35995466034231
"114-16","light",1000,0.203,1.00330532670696,0.550662253685501,0.164120173042887,1.06864955765646,0.488885697458374,0.179433520501557,1.07285059255942,0.464123211388788,0.224614579852606
"114-17","light",1000,0.207,0.932235630702533,0.511626418784242,0.314471525346421,0.920622423488482,0.521303308144998,0.311015136625148,0.919002336735103,0.502941749179141,0.35830627869368
"114-18","light",1000,0.237,1.12102556895959,0.45275342972402,0.189260742097606,1.08094382107082,0.481141877564611,0.188350661300766,1.09966068103701,0.446511467636065,0.240234256303702
"114-19","light",1000,0.229,0.896380883592942,0.58431880716209,0.202882946693719,0.9001523325218,0.577713888696221,0.19869276460513,0.925063175255019,0.523952641368147,0.272810381726984
"114-20","light",1000,0.222,0.9927613242307,0.470083500415215,0.333545968365909,1.03014229567332,0.436009722786323,0.348256550136771,1.01638106873484,0.426318711690301,0.390159935820555
"114-21","light",1000,0.21,1.03197814966317,0.441540404120527,0.259079779114524,1.05641361262896,0.421024902068894,0.24893705102436,1.03531639060473,0.418934812465431,0.295535249984929
"114-22","light",1000,0.212,1.01198269093274,0.541447513744718,0.169094700583147,0.993554155724653,0.567625813818754,0.1450116962155,0.987658812301228,0.544777103669159,0.199487397409273
"114-23","light",1000,0.201,1.02806346736439,0.486231196205307,0.186020375653879,1.01684391647312,0.498188693354551,0.173266128977325,1.03400034425155,0.460948137394205,0.227168726199408
"114-24","light",1000,0.233,0.861520555343786,0.597037900426757,0.317560141775485,0.797955302514027,0.64962000840709,0.323643317004264,0.8057473933545,0.617617727245429,0.38624832786353
"114-25","light",1000,0.221,1.04734178349732,0.460261221941267,0.31106551072251,1.00936099631837,0.494908164279796,0.309207548670854,1.00982203811927,0.473152076047815,0.355214027280403
"114-26","light",1000,0.206,0.96999834495762,0.503095932075382,0.240431239542334,0.991265230994324,0.486860103141926,0.24811683549699,1.01742946155191,0.437752912876506,0.308829556667693
"114-27","light",1000,0.223,1.08000807385077,0.438064488069489,0.295903028444719,1.05947803473219,0.4435917830975,0.314285485618308,1.07928438777148,0.409110826321194,0.364011941738525
"114-28","light",1000,0.187,1.03211760845738,0.469022149434587,0.366613074213563,1.0532017475524,0.44941130089685,0.36061473210926,1.03097219975057,0.45079148310814,0.398291187912365
"114-29","light",1000,0.225,1.04450851705345,0.42360786640726,0.289925392793145,1.01970899527088,0.451003409908036,0.255405698905953,1.1296994269551,0.308222766876256,0.374624577337091
"114-30","light",1000,0.217,0.937903767067302,0.520939735742792,0.228095384304168,0.965861609403108,0.497633869024485,0.238066738343198,0.981133703663483,0.461375599872893,0.292914781874037
"114-31","light",1000,0.218,0.938311795189349,0.495714784899457,0.390198090049863,0.903358304359,0.53150489898166,0.371892754019362,0.898985919007317,0.507176303520784,0.434302608318214
"114-32","light",1000,0.217,1.06968787478203,0.477740219329902,0.227134755651382,1.11352647647081,0.449776329163678,0.225987126824866,1.13323758755741,0.406997511905197,0.284902858053107
"114-33","light",1000,0.225,0.975979719185294,0.518935918069935,0.257776243237909,0.963366200539368,0.531646456070045,0.233941337505951,0.953241924698026,0.521281610698388,0.285893600155005
"114-34","light",1000,0.209,0.98869115615267,0.491024040394241,0.24720097106679,1.03312141517312,0.451840737999177,0.247925858557969,1.05887327062235,0.401693726255126,0.31033246602448
"114-35","light",1000,0.217,0.982357965348327,0.517124720483622,0.263522300957238,0.994373576909626,0.506179343808678,0.27406576585575,1.02111100598134,0.456782904239829,0.341777256626264
"114-36","light",1000,0.252,0.970507135163428,0.509387177325244,0.208584267811583,1.01821368259977,0.462357768603258,0.207566477762613,0.985297026906773,0.470833052128359,0.259773361607435
"114-37","light",1000,0.211,0.988137658218481,0.479572375867553,0.26141038627253,1.04511986133533,0.430650546293344,0.258898115176629,1.02520907575276,0.426148536409735,0.304433984937642
"114-38","light",1000,0.222,1.02553360684097,0.520971005347575,0.141621301494011,0.991001080044525,0.552163856305205,0.12595721034787,1.00510478350123,0.508794040415341,0.200390608182101
"114-39","light",1000,0.208,0.900638934334504,0.547214206247735,0.285477045146986,0.902945265660982,0.545163208555493,0.270690300546012,0.919991228094229,0.505742004214435,0.334334417053361
"114-40","light",1000,0.219,1.11473312814152,0.446890736785621,0.179464019404833,1.16475389444125,0.39924007537101,0.18578515316244,1.15456286978734,0.390102033171891,0.225483579709364
"114-41","light",1000,0.22,0.927381536230017,0.560831295859405,0.235531668940413,0.913801569628641,0.581800540244262,0.219154112570576,0.950009383810417,0.513626345007349,0.303528442778771
"114-42","light",1000,0.21,0.948630938190331,0.551717907964305,0.250539111995895,0.92901919848699,0.576993729894646,0.244636630967786,0.913123779330932,0.576240101005454,0.2801930994984
