"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"127-1","heavy",500,0.362,0.994236847424996,0.552810188541861,0.164264115073732,0.942093937672837,0.573436095590557,0.213603331798207,0.989509794602334,0.550528445430868,0.164281653849206
"127-2","heavy",500,0.35,1.11301869736294,0.394289985744498,0.299208977079569,1.22189662418355,0.305139390869477,0.294687520503918,1.22873679999072,0.294344270312216,0.30717699453972
"127-3","heavy",500,0.354,1.04018736307515,0.480787346212157,0.307738743630427,1.04377812532758,0.474096296211554,0.320922414869028,1.03912459506032,0.482145549881925,0.318068177513616
"127-4","heavy",500,0.352,1.06775620848249,0.514001053951501,0.165741846677521,1.05820090809934,0.522174323147343,0.14001374219619,1.05153482612675,0.528945789089588,0.141266772317142
"127-5","heavy",500,0.36,0.945337602892849,0.52117785521274,0.229166920646746,0.938170851639727,0.535225722136444,0.234907897325583,0.936473556150441,0.53307365829416,0.245478508503769
"127-6","heavy",500,0.374,1.12189645997454,0.376349128727745,0.237538376742581,1.13737652672878,0.355007602885837,0.238597378714015,1.12425893421034,0.359073868540162,0.259520881141211
"127-7","heavy",500,0.392,0.984081436055803,0.549602376147656,0.157040188072042,0.868409700522797,0.627940100249945,0.184158120535942,0.857741586682986,0.633934488055361,0.198771329388853
"127-8","heavy",500,0.37,1.24909478670842,0.337011819549265,0.160746507631008,1.24543951796459,0.338658937677672,0.153746761211034,1.24184759330323,0.337645819750844,0.164246959801214
"127-9","heavy",500,0.37,0.930682326595723,0.520856297499717,0.246347410524059,0.960589270556268,0.488701527336136,0.233943476364072,0.951494916282386,0.498073767372723,0.236036931337923
"127-10","heavy",500,0.348,1.12527972965842,0.407363634152346,0.22252574356744,1.20473192562085,0.341543026488999,0.218491243414511,1.19889066866815,0.345561099247662,0.22479803372028
"127-11","heavy",500,0.32,0.896915271628663,0.516116872626022,0.226417964749036,0.983336192539636,0.451117044797123,0.196864105849247,0.91438765851351,0.508233828247674,0.220524544835159
"127-12","heavy",500,0.308,0.940336681459702,0.563823740758872,0.163268896324471,0.877323154909492,0.654150461622207,0.140781052131949,0.878736713609148,0.641982365765594,0.169426319325758
"127-13","heavy",500,0.368,1.1816564923007,0.386760474975805,0.10055022251276,1.03931341544113,0.505520909150109,0.133046711646347,1.0445084361506,0.508685716450363,0.120828117528889
"127-14","heavy",500,0.366,1.09349712191181,0.386022481829512,0.314152138185531,1.17258098802775,0.314169920203392,0.317004974378618,1.16455276617513,0.316168624075436,0.331474708424834
"127-15","heavy",500,0.36,0.853325961891006,0.534375036071295,0.32774797777277,0.883515153182001,0.50101360051992,0.346513489831202,0.876213854371557,0.51153875515601,0.344759001300498
"127-16","heavy",500,0.32,1.08144833022151,0.494386683287202,0.0995220029424206,1.03889222367454,0.546303280637999,0.0593880175785646,0.998961124618437,0.567842407691747,0.0919169401817033
"127-17","heavy",500,0.362,1.04873979639222,0.493338991563505,0.250064568856186,1.01157922378698,0.540400028395713,0.225914093613251,0.989634900038825,0.553168708011785,0.245620491146415
"127-18","heavy",500,0.346,0.990574074982224,0.593433402880893,0.0929339724663187,1.13992981023597,0.432702781277874,0.122110418732003,1.09210761978897,0.469794269395839,0.139463556576556
"127-19","heavy",500,0.326,1.17527655302785,0.364685004047359,0.161384722044907,1.25112161034207,0.301775416997863,0.146767761867883,1.23881817621929,0.306619320456434,0.15884593371216
"127-20","heavy",500,0.366,0.929326914778611,0.565137726467451,0.26940073007253,0.97259242965679,0.513734121846543,0.27709174229574,0.953357374823364,0.524935803413471,0.297543587203145
