"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"115-1","extra_heavy",100,0.85,1.23263524596153,0.371605915991006,0.427253172621527,1.7342957058718,-0.00960042541456133,0.408963056193567,1.68778264341047,0.0280987996088927,0.411889233039621
"115-2","extra_heavy",100,0.78,0.732948788629515,0.790713580439255,0.225313576820139,0.940231503153443,0.642818168362418,0.188812049953874,0.935580659629574,0.673536429568595,0.192439046590998
"115-3","extra_heavy",100,0.81,0.886545895575198,0.573498715132561,0.27737319135607,1.18735052424811,0.314108495226293,0.217781619546569,0.957831201017544,0.505770834705755,0.276824309732262
"115-4","extra_heavy",100,0.77,0.419312536839591,0.668078318571173,0.751910147541931,0.336168425235856,0.539293684903523,0.974089364901975,0.609722971234924,0.510864035022776,0.67148382814858
"115-5","extra_heavy",100,0.77,1.22903603731816,0.323240853493313,0.347553517685288,1.52739673517659,0.0670614403027941,0.334635990437436,1.55157198656121,0.0433826019150846,0.335869579796041
"115-6","extra_heavy",100,0.77,0.887403134412276,0.508967990610939,0.303982256619745,0.520077229534847,0.703050884004093,0.524770785405666,0.553476186139883,0.802912773443897,0.38306755624272
"115-7","extra_heavy",100,0.67,0.938838794435998,0.56874348927232,-0.0180975000715569,1.08226202590534,0.379152679819733,-0.00328557028423133,0.940736658169169,0.568792795783945,-0.0615383702608344
"115-8","extra_heavy",100,0.88,1.01178896518566,0.536289100956531,0.00914535465345092,0.678365202122413,0.85370660959648,-0.223056786051177,0.273825361374944,1.20632474814291,0.0254688448556594
"115-9","extra_heavy",100,0.8,1.04044641379233,0.419009742892263,0.615964607493114,1.20630280462018,0.278986701637605,0.688380118201235,1.35462484584146,0.109379874785004,0.748667784442783
"115-10","extra_heavy",100,0.74,0.475573118515518,0.587835971663383,0.685997539261708,0.380484070695513,0.597824006221794,0.589324635019565,0.235627088707331,0.70832988077338,0.698568949782288
"115-11","extra_heavy",100,0.78,1.19440311220775,0.028785714351254,0.549820428083124,1.14620284981686,0.090836362725488,0.535118223142654,0.977932662718752,0.276009729908853,0.543958916741415
"115-12","extra_heavy",100,0.77,1.08520105103975,0.337988811068436,0.392314477494353,1.27247172314966,0.171555695425641,0.334862195570217,1.20279919997757,0.236476790560861,0.369896953838107
"115-13","extra_heavy",100,0.83,0.651364603544678,0.873175963603256,0.270098007876593,1.0140759838671,0.430196741684135,0.380937602786993,0.95832780705769,0.565759211102053,0.29957715670195
"115-14","extra_heavy",100,0.77,1.34617957029623,0.198972241227461,0.472755822060113,1.52105597852695,0.0307240698968575,0.526657415469668,1.35696086926546,0.166958049552174,0.528560149690675
"115-15","extra_heavy",100,0.71,0.61304835027919,0.755579567585457,0.453253122481238,0.806175192545618,0.519836474189034,0.569108804255484,0.642827371612708,0.741563548936594,0.479395336174308
"115-16","extra_heavy",100,0.81,0.996319675971385,0.535562929177272,0.168666193725739,1.05639728178997,0.458362236205963,0.201289027693839,1.08960721825017,0.506376988901115,0.100550313653351
"115-17","extra_heavy",100,0.85,1.18585582076187,0.298652554943911,0.45811434063249,1.42613903078608,0.0619634382091399,0.514198888073396,1.61661310909947,-0.105636378459111,0.511444667039157
"115-18","extra_heavy",100,0.81,1.09648470682757,0.572444805080387,-0.181984617173754,1.36382474836162,0.280823047033285,-0.0826325823988848,1.24527809622445,0.534367532568115,-0.269096119838782
"115-19","extra_heavy",100,0.79,1.15466048644026,0.358956822437116,0.339823514715063,0.796145064078215,0.837793791021204,0.0927809377608897,0.688485409590078,0.930606147542927,0.238028749662232
"115-20","extra_heavy",100,0.83,1.22058376561355,0.472544823581312,0.0595565311879898,0.814486855695191,0.891530137943026,-0.00775000214268568,0.617241623387953,1.07186022945994,0.0901109034625635
"115-21","extra_heavy",100,0.79,1.52987725932786,0.244282431605686,-0.275625634286522,1.62468039579989,0.145049274463397,-0.364442626885492,1.40606979257874,0.299331871123729,-0.269487608810573
"115-22","extra_heavy",100,0.76,0.830137209347624,0.65446498053967,0.240375874961901,1.54748331611464,-0.00952881105929092,0.249668008579401,1.44335184749179,0.0834509710153502,0.233360496896187
"115-23","extra_heavy",100,0.8,0.68433138484044,0.798553672133559,0.296145544748002,0.600050496169913,0.876778857799812,0.0869677305500517,0.206522081709516,1.23587114879993,0.297714642205762
"115-24","extra_heavy",100,0.79,1.09754996500057,0.548718830038235,0.155294204232325,0.770126957066127,0.81226728570397,0.343762239430767,0.640397064278115,1.04141148089309,0.146362135665656
"115-25","extra_heavy",100,0.78,1.00428769949285,0.387981013224807,0.554805773572435,0.796710407267777,0.496261930726189,0.518168271422904,0.842775063033675,0.544029427909218,0.491637396838125
"115-26","extra_heavy",100,0.76,1.30916346170089,0.387653891703374,0.420969813910044,1.33473658867809,0.349702425965904,0.383622279220066,1.20900421040474,0.491330007825996,0.42095164760042
"115-27","extra_heavy",100,0.82,0.914009424432117,0.631828040022186,0.0908706266269179,1.08026769245002,0.38357606192447,0.230701492704514,1.35282670366141,0.268625231747649,0.0176347536662455
"115-28","extra_heavy",100,0.8,0.87490079053634,0.602962587991401,0.0911779649418963,0.953498557294849,0.451713484612642,0.0937411347726816,0.985536434468699,0.523756416074723,0.058055718087749
"115-29","extra_heavy",100,0.79,0.769495209712427,0.58269680140168,0.34054711706557,0.626576216655437,0.827433708484342,0.00197050544526756,0.235083446058481,1.08651771317793,0.270714885575259
"115-30","extra_heavy",100,0.72,0.871553268473759,0.447224367921574,0.631584577110329,0.658981395836148,0.719322032756195,0.59026257452934,0.630965900068481,0.767971008189114,0.621997268384704
"115-31","extra_heavy",100,0.74,1.38109661657268,0.0772649001749513,0.392485906371701,1.08365216854872,0.329175473009279,0.381912089196808,1.08337435190225,0.343321705710561,0.388280094410655
"115-32","extra_heavy",100,0.78,0.707614445133938,0.543160594561184,0.630551849578529,0.370672752156809,0.88906718297713,0.745804764864652,0.322959689152279,1.02094108812077,0.690531774455391
"115-33","extra_heavy",100,0.85,0.597845990901451,0.859044154416023,0.194538702369559,-0.31106707228293,1.49989135734005,0.229204634196081,-0.52074932365427,2.01207970276705,0.048111573810353
"115-34","extra_heavy",100,0.74,1.10312132996814,0.428542207158162,0.0131648598062455,1.0697053008879,0.455347005608421,-0.0672150550734965,0.944485454391684,0.54605360228703,0.0103368757124388
"115-35","extra_heavy",100,0.81,0.723570609807846,0.682641635037123,0.449426655794391,0.48068611105341,0.955231775578992,0.513865285093826,0.484540791728735,0.997177584957319,0.476330083666741
