"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"115-1","heavy",2000,0.3475,0.991477780881817,0.518676834348077,0.262275630163985,1.06160946770491,0.464820438834957,0.251533033004082,1.05275236506295,0.471023862987244,0.257180473055046
"115-2","heavy",2000,0.3345,0.941389354255679,0.533714041470431,0.234478691284517,0.926908805001002,0.557121850335241,0.225402687712597,0.918858686698448,0.559879192260557,0.237295050133655
"115-3","heavy",2000,0.3415,0.951389380403756,0.526543995865616,0.263910692782553,0.933214470248464,0.552136159921093,0.24383793790747,0.928616162083528,0.550308534891422,0.257142735528239
"115-4","heavy",2000,0.3435,1.05475135551612,0.465744787603976,0.190954286484024,1.02414102597738,0.493573230638884,0.185323608693463,1.01902495171837,0.495597516223764,0.193213392624105
"115-5","heavy",2000,0.3545,1.02354912096906,0.51315474938646,0.196596253012334,0.99951654261517,0.529266489072775,0.204439035330965,0.996818020616665,0.531578139003866,0.206158862666651
"115-6","heavy",2000,0.3685,1.01997470556859,0.490762950754599,0.160958180228921,1.05332873419488,0.459585317729794,0.16770543660674,1.0411185749733,0.470358986427436,0.172061978295649
"115-7","heavy",2000,0.3365,0.990148593731781,0.526649423685795,0.175516368332959,0.989849327731364,0.527527483092033,0.171062719423337,0.98967138556308,0.530028878132904,0.167361708444853
"115-8","heavy",2000,0.3385,0.968606374582657,0.513052023363205,0.282918624869065,0.954305299095919,0.52958066351307,0.28615093500983,0.956759517610871,0.530801597526677,0.279609570379902
"115-9","heavy",2000,0.364,1.03795201794532,0.507414257619519,0.204170650268671,1.06270430261262,0.478469464469507,0.199266437130568,1.04843284880045,0.487148580118491,0.21261830655705
"115-10","heavy",2000,0.3605,0.984543643293407,0.51455680285284,0.255521553268977,0.96043575995033,0.53619574906265,0.271385033335521,0.959907707132689,0.541903339339332,0.261317730278957
"115-11","heavy",2000,0.3545,1.0710999443458,0.467605023847339,0.189872613799658,1.06367213333673,0.468477008906026,0.186769646605747,1.06257602859176,0.471205110833485,0.184719172630682
"115-12","heavy",2000,0.375,0.944796717465096,0.525994413461229,0.252865121404657,0.983926838386509,0.497490043444028,0.237615752826738,0.970457917586383,0.507183665235115,0.244756669845908
"115-13","heavy",2000,0.349,0.899991205855008,0.563875991807277,0.258131824908741,0.947022714236235,0.531759404829313,0.23739904809968,0.94499020990714,0.534806853878835,0.236696938147762
"115-14","heavy",2000,0.339,1.06248934419953,0.474952035851564,0.303926529093084,1.05273808446899,0.481108928729994,0.310096257541695,1.04725516558619,0.486888293007777,0.309030705354631
"115-15","heavy",2000,0.342,0.904915503542503,0.558293379091226,0.306309643556932,0.87128457162324,0.575380932877039,0.325720007170199,0.874837862646763,0.579154597065589,0.310531678732868
"115-16","heavy",2000,0.349,0.992998324257054,0.522759942527318,0.279462776606468,0.975515541967172,0.536997931197404,0.280065277825946,0.969620040545447,0.538514181897424,0.289618111316117
"115-17","heavy",2000,0.3425,0.942047165085326,0.564940162852852,0.245566473550874,0.95308654766916,0.571947486805949,0.23387800714105,0.95080092715083,0.57418500424674,0.235308888590621
"115-18","heavy",2000,0.3735,1.0187089533975,0.513158619964785,0.230774402913117,0.994955067781313,0.534341901454306,0.236199678550576,0.994587088330954,0.535539169982374,0.236150509296193
"115-19","heavy",2000,0.346,1.10283910589952,0.448959186252484,0.235089296750416,1.06985193410888,0.481170093726683,0.216079174331434,1.05413192682675,0.48765831376947,0.233174380790641
"115-20","heavy",2000,0.354,0.944393675942203,0.525182319731284,0.23158803991263,0.977975862978825,0.490190826365166,0.22915282553501,0.966258054343567,0.49759497346787,0.240092098260778
"115-21","heavy",2000,0.3455,0.965936968751112,0.527942509355161,0.227002630459743,0.960074388468602,0.530706456193542,0.22585961534927,0.955531097592136,0.532897117706165,0.230471212733464
"115-22","heavy",2000,0.353,0.999881674625055,0.476392896549093,0.314327514581059,1.02037092041421,0.453123353922468,0.315599754019835,1.00331371755068,0.468655394443992,0.318480959946985
"115-23","heavy",2000,0.344,1.04259262089975,0.485431150037105,0.261595919767853,1.07203703984772,0.460540823665343,0.260500609849555,1.05440566258811,0.474032403090925,0.266267784239525
"115-24","heavy",2000,0.3585,1.06972062270306,0.445971803707315,0.2553777093958,1.18571143983942,0.342612540069825,0.247325854468333,1.17434959174061,0.350116777753864,0.254580194337019
"115-25","heavy",2000,0.3385,0.968566601066923,0.514256499152369,0.271476056007464,0.976048570224924,0.510818114729896,0.271433088185483,0.974381184954727,0.51356213749121,0.270402088682472
