"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"117-1","light",2000,0.1955,1.05966826240211,0.468226586422481,0.263694112631362,1.05790745373521,0.461512432839236,0.27279974513996,1.05774235704074,0.461234824654327,0.273942813169854
"117-2","light",2000,0.199,0.996335509060642,0.512349263785952,0.191394292344526,0.966609741600112,0.540091817583213,0.18595636886909,0.964500255195284,0.5404680913397,0.190217681693206
"117-3","light",2000,0.204,1.05011009672892,0.425915361195048,0.278741491075178,1.02976390797849,0.452287654470327,0.267990874091847,1.02734133748367,0.453700186858829,0.270619429776615
"117-4","light",2000,0.192,0.93967186365327,0.529076184066509,0.265489206773703,0.933952812303906,0.529122596148595,0.275145542507542,0.934981740770046,0.529945428823868,0.271810268770943
"117-5","light",2000,0.216,0.962757883243905,0.504709470614987,0.244533439414754,0.962366534864668,0.507266001272723,0.238472202166546,0.954112160231594,0.515826930285582,0.236858318445429
"117-6","light",2000,0.1895,0.956619150914814,0.517389828508624,0.306358457933033,0.978278136436872,0.498548012147407,0.30255889277949,0.977094325538064,0.500537737381992,0.301360350603631
"117-7","light",2000,0.205,0.977532411614479,0.537614238852903,0.21395768125971,1.00102142696532,0.524308702478682,0.210806877764057,0.996835522595498,0.525114717383571,0.217678980723872
"117-8","light",2000,0.1905,1.08649925748997,0.412285396080466,0.250092035092387,1.0887136096088,0.40679818548976,0.258287315496887,1.08527631259122,0.409234016863154,0.260086742632885
"117-9","light",2000,0.203,1.04230732660271,0.509775790340567,0.190729323560886,1.08111901259813,0.469316414901277,0.198137981961801,1.07682222638779,0.472581864692241,0.200390007034908
"117-10","light",2000,0.2,0.952230528537432,0.555734355926556,0.258277559260621,0.964224688605659,0.536166730506557,0.274449030203419,0.97061449063299,0.536760577528908,0.260771944332471
"117-11","light",2000,0.211,1.01168591834166,0.503208524610659,0.210023941116066,0.983915886081828,0.531822644228046,0.205306004826825,0.979799988604024,0.534732466280861,0.20796642667053
"117-12","light",2000,0.2065,0.937892880107353,0.549674305630877,0.169838908852119,0.938101503428721,0.543282022066582,0.175787760301291,0.934762492371628,0.548273005195953,0.173065242138364
"117-13","light",2000,0.2105,1.02793594171294,0.510517886254743,0.158874919351708,1.02016337468829,0.514854540568011,0.16084332445422,1.01971952831045,0.514483738549118,0.163085352109564
"117-14","light",2000,0.197,1.00868670814297,0.481702181839983,0.247021392747088,1.02076334517496,0.468956343982792,0.252931707997573,1.02009961662461,0.470791134777431,0.25141465691994
"117-15","light",2000,0.193,1.02669610501268,0.486209130786561,0.233882948627387,1.06230950856041,0.450559756011157,0.233251123296211,1.04096269730516,0.4690253818215,0.237402850684923
"117-16","light",2000,0.2,0.969813912859834,0.518998126179627,0.214998644036469,0.987617112776274,0.510545752902603,0.203762108285543,0.980545783714921,0.513238027155242,0.212317304930549
"117-17","light",2000,0.1865,0.947806998287505,0.533249001776119,0.28881469507888,0.964900469269476,0.519295457384692,0.285499328363225,0.960771771305494,0.52008613176551,0.291526945277038
