"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11436-1","extra_heavy",500,0.748,1.00352805455256,0.658484516565705,0.10942965508261,0.918372941507563,1.42532267567102,0.130439996344195,0.148421303417144,0.694815438123459,0.126413304493022,0.911265373885966,1.77796107197405,0.123032791558233,0.152404437538259,0.884892364625662,0.12868290372856,7.214,0.697000000000003
"11436-2","extra_heavy",500,0.732,0.936783240187509,0.423713328311409,0.399538132833284,0.911492055851529,0.345123940721119,0.406199944899641,0.142266102967493,0.269141226062199,0.128354812085358,0.878474105939552,1.35526817291284,0.397753428208772,0.155360747451938,0.993143990188944,0.128622769264012,3.51899999999999,0.706000000000003
"11436-3","extra_heavy",500,0.762,1.06971844141425,0.439925228437044,0.25643942543121,1.03531602880545,0.574117876474511,0.262121110934117,0.156998001199702,0.465711371337143,0.132154419734842,1.02022255287837,1.1005088584807,0.229854996375057,0.165185882320936,0.8429888504617,0.131365995120681,5.422,0.692000000000007
"11436-4","extra_heavy",500,0.776,1.09230893502561,0.432249566643027,0.0958282276111961,1.04698998492595,0.475507212620077,0.036493669125832,0.134433110642081,0.260219603711432,0.125239516126224,1.01777263009621,1.06984369938287,0.0865076957147797,0.153216646152337,0.620095933738576,0.12481127037647,4.27900000000001,0.691000000000003
"11436-5","extra_heavy",500,0.754,0.998027028892187,0.466457817130801,0.321430488196081,0.993247939419745,0.20489530586517,0.371948066286697,0.148141064843307,0.197001852557165,0.129445038472747,0.984618513401211,0.949247982862357,0.326257880002757,0.14552796105518,0.810555650601084,0.120398802168174,3.464,0.707999999999998
"11436-6","extra_heavy",500,0.778,0.96622150721274,0.403614253178509,0.372576789411161,0.905180907526937,0.59924534309364,0.375986422222542,0.158174476474044,0.406415177413763,0.134922153170874,0.891013359033552,1.097643397262,0.389805507053221,0.164095625852842,0.779775608405946,0.128009317572785,5.309,0.686000000000007
"11436-7","extra_heavy",500,0.782,0.93792855425141,0.507242162402,0.330615821391026,0.906692383713493,0.706433784384029,0.270764152858638,0.141465829212646,0.43140368323744,0.130558238661423,0.840240608159147,1.84393361923268,0.317430152121694,0.170908911725014,1.0479689793764,0.129507333699148,4.96199999999999,0.681999999999988
"11436-8","extra_heavy",500,0.77,0.958330696094686,0.600739711676955,0.287702213402868,0.865190759806509,0.652623447598787,0.285243702223689,0.153107933109609,0.296691338619566,0.12716965199096,0.864917539830168,1.22747029715093,0.279264438187024,0.157947018888222,0.583795780276654,0.127378384268,4.30000000000001,0.687999999999988
"11436-9","extra_heavy",500,0.796,0.931380334870191,0.686440191211038,0.375030608533487,0.963093340905013,0.668343126165129,0.321387521169179,0.147182061951253,0.396700901719413,0.132268732138997,0.821419779483264,2.10022270394559,0.384718737821927,0.177773079608006,0.948992313676821,0.127914372579955,5.27900000000002,0.687000000000012
"11436-10","extra_heavy",500,0.748,1.03261136624348,0.0899235709791948,0.299964911134175,1.01101507588659,0.162962631686025,0.310711239100945,0.152607025205302,0.476442760036118,0.130409350730006,1.04391726006359,0.0782629898480457,0.312425012426175,0.158032995293345,0.827399697842184,0.132482797822386,5.441,0.691999999999979
