"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11423-1","heavy",100,0.39,1.06186872881528,0.195888058239461,0.408396685647294,1.06388099897649,0.185119731637743,0.430570039629954,0.229931536652344,0.727292373495232,0.25548295292904,1.08279485063148,0.157740482574453,0.413407006204575,0.239712316222146,0.787192311564176,0.256693344424131,1.528,0.576
"11423-2","heavy",100,0.34,0.884722934928228,0.584422085903981,0.48147130022526,0.703771079162577,1.47430488709921,0.570088834379665,0.348979105857485,1.1107115876375,0.322095536176003,0.70161121126022,1.68725594933673,0.504618384328403,0.327478204146753,1.1524919539576,0.309293443075686,1.392,0.545999999999999
"11423-3","heavy",100,0.41,1.00204077674965,1.08351939924449,0.12366915259247,0.879482574823438,1.96049891542502,0.142511347613069,0.250507956920099,0.938833872322886,0.252896939540465,0.91188130831995,2.06302173836802,0.0877886224977735,0.253093996897216,0.973143194599263,0.258938414190032,1.349,0.552999999999999
"11423-4","heavy",100,0.37,1.05774560608506,0.685824151235549,0.193581452247239,1.02937549020712,0.878196004736707,0.168566687571124,0.245718138267353,0.502796459226059,0.28533948320377,1.01630266403296,1.00268401250051,0.142854583385958,0.242250837998959,0.522548596992886,0.279609973475291,1.052,0.579000000000001
"11423-5","heavy",100,0.46,0.961619407881019,0.337639084055673,0.416555696552756,0.947160052942004,0.310022967649412,0.37660590581544,0.20194515819927,0.296880344441072,0.257698784949806,0.920589520657599,0.577961613997063,0.394891304359464,0.216393606071466,0.510212977437612,0.261911744754562,1.257,0.558
"11423-6","heavy",100,0.49,0.909258823157197,0.61049596595813,0.407193512924579,1.06031897741371,-0.000337428332674712,0.40132525976657,0.28217147390859,0.704769115040336,0.29129856851654,1.07032927962927,-0.0630543599708668,0.402434059870951,0.267609599587545,0.906397783902263,0.279781981627413,1.249,0.548000000000002
"11423-7","heavy",100,0.38,0.829937467902356,0.867881046184447,0.351377565298561,0.93217055021091,0.613126080263974,0.358306580813519,0.263499383526963,0.580873175834485,0.29359106336572,0.913764178723287,0.791909396021606,0.325128153819772,0.275857720963813,0.783694534030076,0.298162459809445,1.3,0.585000000000001
"11423-8","heavy",100,0.46,1.24856358415316,0.107759287975988,0.00745187377234749,1.4095545837538,-0.627264966201412,0.0594364852977962,0.245761859270792,0.73611637773291,0.275964946477165,1.43212836003201,-0.712898867988558,0.0282504395378921,0.248338290132894,0.768278133544061,0.273486285182456,1.695,0.553000000000001
"11423-9","heavy",100,0.46,0.901216296573558,0.620742753632636,0.387743103203965,0.988542414162058,0.262612578101422,0.462610898632197,0.266567147376878,0.756745508414144,0.305281430020912,0.958144589556268,0.359225875881692,0.475343150253829,0.280302479176261,0.813598870690724,0.2984945652631,1.465,0.551000000000002
"11423-10","heavy",100,0.4,0.867093607121153,0.681730536609659,0.620881598686312,1.04646364886056,0.149906359447895,0.556304131095184,0.220992318182118,0.445584192957475,0.256194396817806,1.03894870834174,0.179845398834172,0.557530224707329,0.224088607908402,0.486048482905555,0.249599959957014,1.217,0.542999999999999
"11423-11","heavy",100,0.55,1.21689505517944,0.625259405577418,0.0738517230146873,1.16464296553924,0.538458118640144,0.096144647721184,0.278626646199513,0.349257083893624,0.275290604980737,1.16709752999118,0.715597473371325,0.0995519203675336,0.288788849315495,0.537906744668842,0.275131575094372,1.327,0.544
"11423-12","heavy",100,0.44,1.01207943120427,0.0988839912629483,0.374087434920666,1.05506233415818,-0.00303778569279647,0.354877663890971,0.251564628012048,0.720519395814611,0.290777515292335,1.04683410334485,-0.0442974680822439,0.37439345905418,0.273149708885596,0.825760774867144,0.29685697729114,1.254,0.544999999999998
"11423-13","heavy",100,0.37,1.06818167678171,0.329171230858343,-0.0128559893857759,1.15501519239682,0.0444502506858756,-0.019121357804956,0.232479564486007,0.603916841042065,0.275034526305611,1.14820060255254,0.014958763147697,0.00577090464870776,0.227521743894465,0.654036429971597,0.269828430408599,1.227,0.544999999999998
"11423-14","heavy",100,0.4,0.781962581133381,0.448990310924762,0.396802514166312,0.993740604381526,-0.136449809341116,0.363984614317732,0.310267813051361,0.796231242883384,0.29896061898673,0.971795491564718,-0.115827877385972,0.3846409493241,0.305249631590539,0.87372976758039,0.303982082741594,1.187,0.545000000000002
"11423-15","heavy",100,0.38,0.899143562134951,0.343780873116498,0.572525738657335,0.961916536884054,0.107720677641093,0.636949818845041,0.249972046875678,0.728605872453389,0.321983319637342,0.966580357196952,0.104992576692153,0.636120061549466,0.263212427818942,0.895393318507753,0.311900732375477,1.413,0.538000000000004
"11423-16","heavy",100,0.47,0.747559709252205,0.555659145944775,0.501991814413409,0.737946896413043,0.570606986068709,0.393542190701355,0.230112729630376,0.366688038006195,0.297276010870484,0.722879256607284,0.596870110355837,0.48434895736847,0.266968334811796,0.45323004095152,0.292964999381374,1.794,0.536999999999999
"11423-17","heavy",100,0.48,0.681438516381826,0.650320318466424,0.54660900929602,0.820890340328173,0.249381293820258,0.530008065752768,0.266400775024779,0.61832350494833,0.259265057472544,0.833039321248609,0.228072193111254,0.519615857227094,0.267413894278491,0.697408948266987,0.263144010400031,1.547,0.545000000000002
