"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11439-1","light",100,0.08,1.06664786261268,0.477085460338027,0.0872411941016617,1.0514290960528,0.531904845076662,0.0859583391272825,0.258741528466058,0.581142871622473,0.318793670059512,1.05547244264604,0.513662151980934,0.0770247981472783,0.254963278552934,0.586900484064783,0.318843691606949,1.051,0.752000000000001
"11439-2","light",100,0.07,1.1217054155861,0.180519796615898,0.126847304799935,1.14374025710554,0.0421127292378505,0.153254977999125,0.22816169833661,0.367347955945741,0.309679541837052,1.15107231695974,0.0780147248371232,0.132423308900482,0.230775946086434,0.384192990863534,0.316329817473133,0.827000000000001,0.55
"11439-3","light",100,0.07,1.12633314265087,0.549054765771971,-0.0139244580837823,1.12561591259181,0.563965295492126,-0.0181363201645885,0.233453749971456,0.503860476265831,0.272729840600333,1.15011011944545,0.530442479001529,-0.0333100609885479,0.241341571580594,0.489183798608337,0.274733272660375,0.796,0.666
"11439-4","light",100,0.13,1.15827933465567,0.413679790238238,0.06091074243166,1.16171090370783,0.321515598013035,0.0836965275968322,0.237683820501627,0.377654566163715,0.272014756508727,1.1951603025723,0.319201040082934,0.0499968061582927,0.234572662170253,0.392108370704248,0.26316545348125,0.926,0.554
"11439-5","light",100,0.08,1.09170237425162,0.615865375399278,0.18016051325778,1.10926750641486,0.59098494455104,0.149931308289284,0.242996583737497,0.562702378165136,0.287502613691559,1.10418800414259,0.551339378209795,0.166685923171485,0.243445568619248,0.581054247300436,0.276719062423985,0.835000000000001,0.734999999999999
"11439-6","light",100,0.17,1.07625428407766,0.187529674793298,0.398023444598598,1.12043651679948,0.0246458643452354,0.410836372594338,0.241130227151124,0.40620968650165,0.264111504043916,1.11018415857311,0.0674937364068788,0.397003470660858,0.23483580274201,0.392201750602651,0.265356238630206,1.137,0.563000000000001
"11439-7","light",100,0.1,1.03593675262621,0.42009626549185,0.263518429395274,1.00741847777603,0.455707464821172,0.292740977057052,0.271811501565037,0.369181788477631,0.325655463737784,0.987620895114464,0.546718238085633,0.268922846860473,0.264014209339953,0.383843655446104,0.314677240440464,0.848000000000001,0.621
"11439-8","light",100,0.08,0.804971502299566,1.12869851085208,0.271560550776191,0.746093686245958,1.35110537571504,0.251259335010706,0.301292638357817,0.581232687144271,0.305285928852078,0.769161192575183,1.34994258756987,0.246219368341963,0.297900047197336,0.579975442302814,0.30027106219108,0.837,0.728999999999999
"11439-9","light",100,0.14,0.881050466666957,0.549947497197244,0.0876895474499516,0.815622411932512,0.752161661040455,0.101323170368556,0.203357073905178,0.457670929868221,0.254708306234159,0.811928634576779,0.818535503654249,0.103240600564003,0.206807465221753,0.504833915854942,0.251047219383381,0.930000000000003,0.566000000000003
"11439-10","light",100,0.07,0.959213210509566,0.903791733299773,0.104459731210009,0.944212435172783,0.978893870078911,0.100885565575565,0.260987945502154,0.49083697947334,0.316453077097471,0.936645196638212,0.960282846689298,0.124348670742671,0.260019476059974,0.528374428581338,0.322934601603207,0.823,0.705000000000002
"11439-11","light",100,0.15,1.51084141750988,0.0225645392072345,-0.2054971617613,1.50725399013996,0.000679392586381413,-0.193718142699198,0.217563459174278,0.437502313632845,0.265165483359446,1.51290519313612,-0.00450077289992967,-0.191374395199448,0.218234540230515,0.51822518339347,0.259188530157506,0.925000000000001,0.548999999999999
"11439-12","light",100,0.12,0.72952109911685,0.754116107183879,0.502850079633932,0.707805964872743,0.840391015551374,0.499862446968942,0.237372121795384,0.412109493814751,0.288666481044968,0.703585820416985,0.848352516235661,0.510101396089897,0.240127741080938,0.411818305871103,0.285618315322336,1.036,0.709
"11439-13","light",100,0.13,1.02447064122571,0.500248356645924,0.258301613004197,1.02244782269905,0.50543227915195,0.249470531064038,0.209210884319422,0.259839500999564,0.246910719784631,1.03010655364524,0.525598494990086,0.244339551898146,0.205385906428212,0.274773746425889,0.244906393420481,1.3,0.565999999999999
"11439-14","light",100,0.19,1.23537540220597,0.131825005869247,0.0678255563931063,1.2249920332058,0.160775983253659,0.0487298818564161,0.225608073064973,0.281970570602393,0.292701479086607,1.22963813555452,0.15387893064381,0.0427001719504831,0.234222398731128,0.3124292155118,0.288098801106504,1.28,0.692
"11439-15","light",100,0.16,1.18654757863899,0.60453645747747,-0.0606669932300029,1.18026558276092,0.639424760699736,-0.0669252347038526,0.250322426123078,0.347907374240848,0.271483660353531,1.15808315737937,0.702245459627756,-0.0684427821245642,0.261060031258263,0.367751099812693,0.283118133952158,0.974,0.557000000000002
"11439-16","light",100,0.18,0.854998582015628,0.253773767572515,0.440479121027899,0.881503914737078,0.0975142505581655,0.438889531450284,0.192468039146756,0.177925613978176,0.238544754541894,0.878982288378237,0.160797512713595,0.43300258158848,0.203777760408658,0.246963244481726,0.242223235342141,1.073,0.712000000000003
"11439-17","light",100,0.16,0.93267930176173,0.444870977138309,0.322326919353874,0.924478553751754,0.477759843335143,0.310989920875933,0.239481906932121,0.383586871039964,0.287870157822721,0.922684419938766,0.488987067464122,0.307583504600208,0.234850575536573,0.401147888518949,0.29198382413848,1.204,0.556999999999995
"11439-18","light",100,0.13,0.989705206023835,0.716733298915325,0.147613615942041,0.972840649448773,0.866653450061913,0.146114521716663,0.239460286934718,0.554506750596461,0.286389380405862,0.962322622138226,0.888925149410312,0.167456706503407,0.237083296516516,0.569988955524297,0.28963670958603,1.133,0.677
"11439-19","light",100,0.17,1.01194953814442,0.681059464236302,0.165171752284417,1.06636168438936,0.459037616455516,0.159819031684174,0.262281451740359,0.308225852565231,0.327051521023882,1.05291936869566,0.521977532556095,0.167649229496601,0.266098325751105,0.304468166892385,0.328834948723757,1.112,0.571999999999996
"11439-20","light",100,0.1,1.26843927167777,0.0728790646010747,0.255907074737629,1.26291357713962,0.102139950439548,0.258250194389561,0.22409347098901,0.364359478301305,0.267049074507531,1.28426172068233,0.0289904990575979,0.231287044634934,0.222619160440235,0.385905822100227,0.263773742154456,0.927999999999997,0.728000000000002
"11439-21","light",100,0.12,1.07770581383659,0.626565867105446,0.0130253385490428,1.09444617254763,0.575623867323981,-0.000435668938050197,0.232815771560643,0.429328784155732,0.292041530093055,1.0941293531081,0.601159163937242,-0.016978207769982,0.220501041572713,0.450412686579724,0.286844779604473,0.963999999999999,0.561
"11439-22","light",100,0.08,1.08774454762577,0.74772127563139,0.171505092467063,1.11993549449386,0.676558992756806,0.136650377671737,0.228027361756849,0.334301520579065,0.292342802913857,1.09522042659654,0.744253528555459,0.165820120299392,0.222410850138336,0.362259828720963,0.286901826380054,0.835000000000001,0.717000000000006
"11439-23","light",100,0.11,1.08768421071603,0.39898980710773,0.232032777494112,1.11543829862721,0.23415536486045,0.253946066226021,0.197115025381937,0.216714270764452,0.257074731956062,1.09125189684295,0.373822283892833,0.236305799433885,0.198329077525704,0.255138048124273,0.255627573945465,1.066,0.604999999999997
"11439-24","light",100,0.14,1.12775543382671,0.219825219948195,0.0455355627702646,1.15613128033303,0.108789490312331,0.0361944974391535,0.205762518438876,0.439488785240265,0.251980662223916,1.14440795233356,0.136941346132522,0.0476893411427172,0.208978981606537,0.441621630719561,0.259383886304315,0.939999999999998,0.667999999999999
"11439-25","light",100,0.2,0.888676516739028,-0.0107214902037886,0.472938070664028,0.881704816716937,0.0137466335794838,0.46603470061129,0.237666718922638,0.444288129965136,0.277027528102075,0.896453385822485,-0.00435660264349176,0.450794613319891,0.241966211542112,0.478716342567493,0.27403182549034,1.285,0.552
"11439-26","light",100,0.12,0.87812117918677,0.690474265612555,0.385108398616569,0.893906708082232,0.574004854832605,0.385520972910245,0.223422388840809,0.269488003466289,0.255864674732966,0.882323408144174,0.62519700500485,0.397601134406771,0.224366203988229,0.28314130582655,0.257011883596382,0.858999999999995,0.672000000000004
"11439-27","light",100,0.11,0.726381351927212,0.893935130651336,0.453977896881164,0.662491935800523,1.1219411557895,0.434454990562315,0.240021372612472,0.558227698954345,0.313317028257377,0.667430162981807,1.11707682517961,0.436279129949373,0.232888202916048,0.551259117409211,0.320289765761952,0.945,0.556999999999995
"11439-28","light",100,0.16,0.654120836089283,1.11393343443466,0.29438902437348,0.621092929816947,1.43790369290655,0.275560579222523,0.247708532725377,0.433249033094944,0.284535035153293,0.60744808303245,1.38595765149681,0.328576527231528,0.250214295680809,0.467861252671702,0.290610870193321,1.064,0.560000000000002
"11439-29","light",100,0.15,1.24034134211965,0.0922385994688585,0.228216583807211,1.23963028875144,0.0880342021404223,0.230379094578629,0.22287526205152,0.35308423074656,0.247647040942822,1.24209118112224,0.0909083540675711,0.219062093728119,0.221025100356252,0.355007773997608,0.246127128874128,1.045,0.616
"11439-30","light",100,0.11,0.962599261831108,0.372769901148549,0.159981610639115,0.868408993600556,0.574893558837154,0.217053212169238,0.221033935083556,0.282072721584995,0.281310156461752,0.87564760786672,0.607042272689312,0.185817846379798,0.221510591326976,0.352667780132849,0.279995306338157,1.047,0.629999999999995
"11439-31","light",100,0.14,1.0049895759359,0.805098881853825,0.0579352618875541,1.06323012692617,0.576624597864543,0.0693592353450716,0.262896510673047,0.699530623089966,0.297115642707752,1.05219345837042,0.580889546590441,0.0782498337674366,0.274574562429001,0.795111119278692,0.302233222188814,0.889999999999993,0.569000000000003
"11439-32","light",100,0.13,1.06223345320036,0.893470393341467,-0.0429501292361706,1.06218707342178,0.749413140544653,-0.0423558267415552,0.250623599091845,0.291388495634195,0.312794383201088,1.05780818456988,0.775803774446873,0.00823529857652149,0.255225838745239,0.358539476579056,0.304437819160408,0.951000000000008,0.561999999999998
"11439-33","light",100,0.1,1.05552429366251,0.744944992186578,0.0491835221807658,1.08729136656513,0.609872569096369,0.0570016448784584,0.183232228677475,0.263373105751189,0.253410440064663,1.06529524670813,0.744207401695683,0.0445285969752107,0.195973981836681,0.313175429572786,0.247717461644909,0.991,0.74499999999999
"11439-34","light",100,0.11,1.0627096152711,0.361205747845777,0.491561082527877,1.0589850050604,0.314718292446722,0.510967205740064,0.250295223607225,0.226012596900158,0.303390733548005,1.04855425691147,0.35389206723607,0.515582337160191,0.245282933656215,0.248006637259813,0.309153347499086,1.04100000000001,0.557999999999993
"11439-35","light",100,0.09,0.98073532348537,0.0672260457470883,0.470597927437507,0.982323349867178,0.0605146063331426,0.469326670259616,0.235696595752267,0.431893621226064,0.304803054849928,0.982223608255593,0.0473663808312146,0.471325815112231,0.230132567643429,0.425856257965657,0.301202125145019,0.905000000000001,0.611000000000004
"11439-36","light",100,0.09,0.879593854899771,0.813706701441616,0.299407313816957,0.824672147173333,1.24445301221302,0.247714673817794,0.255023554296289,0.58137597675177,0.315254548868144,0.837128397434805,1.20992351559084,0.237395299256582,0.256003974048246,0.554784102576238,0.309051779015913,0.733000000000004,0.567000000000007
"11439-37","light",100,0.11,1.03189244121701,0.323256939496006,0.42951727436901,0.930284680683729,0.976601972435531,0.384916757949347,0.249261026617972,0.743841986780185,0.296571320288747,0.942326272648704,0.93392619893118,0.370473930096201,0.258411530471466,0.756436204859941,0.293799246138052,0.965999999999994,0.560000000000002
"11439-38","light",100,0.14,0.989067512999272,0.446587143593987,0.544497138300078,0.990905489844926,0.256402575244485,0.585542150545439,0.195191624614307,0.129375690945857,0.255934613127899,0.94184418978852,0.460567939996378,0.583728050069701,0.194699212556901,0.211805498392692,0.25264239503955,0.902000000000001,0.551000000000002
"11439-39","light",100,0.11,1.04107969426583,-0.557420813926584,0.215460254983044,1.03188055220665,-0.529234550101628,0.211843140470443,0.240429355993151,0.639685837985906,0.31140779620582,1.04168406194969,-0.49804646199455,0.203480220213425,0.240988521178674,0.712781851319978,0.300471990929648,0.805000000000007,0.546999999999997
"11439-40","light",100,0.05,1.2349093258091,0.431836000386219,0.26324415436351,1.23902685687529,0.382952050048111,0.253004739054334,0.201269713763151,0.384811763045344,0.270107249156323,1.22460937333281,0.412346296603794,0.274080053275101,0.207671018182542,0.432137714958238,0.266850206142543,0.628,0.542999999999992
"11439-41","light",100,0.05,1.08033051324716,0.850759510198326,-0.0447815332693776,1.09028296317217,0.720581340135468,-0.0246340387954986,0.19152801392412,0.469291357376556,0.239277651923242,1.07871101355211,0.805764068056936,-0.0382682524373283,0.191472623569782,0.474794189926759,0.238489776118037,0.629000000000005,0.576999999999998
"11439-42","light",100,0.13,1.28153195950263,0.568263835187074,0.0660842081569043,1.28735037176734,0.532714766419564,0.0689660828328638,0.259697222704533,0.647764124322995,0.339160429622441,1.26928128753807,0.581637150631888,0.08205909500695,0.265931564357714,0.638479015600323,0.338684814468867,0.903999999999996,0.591999999999999
"11439-43","light",100,0.1,1.14315288434699,0.216328174740513,0.179845655059566,1.23777812476087,-0.11748260615465,0.153210018501705,0.251795511937652,0.64109059058631,0.295798190581391,1.2067045190304,-0.0852320615946108,0.191838412581639,0.247458955772213,0.650545184312651,0.29948638801053,0.838000000000008,0.593999999999994
