"sim","censoring","n","B","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","alpha_extrap_no","beta_extrap_no","gamma_extrap_no","se_alpha_extrap_no","se_beta_extrap_no","se_gamma_extrap_no","time_extrap","time_extrap_no"
"11424-1","heavy",2000,50,0.3975,1.02902123760303,0.419487217560072,0.270038320757461,1.07030639427499,0.361482337507699,0.25877963001971,0.0549838542109084,0.127432175388764,0.0721739429991652,1.01176688481384,0.516111151357558,0.263845795895267,0.0542383288458581,0.138813536156173,0.0651708039733023,2970.115,23.9710000000014
"11424-2","heavy",2000,50,0.4145,0.986969231216604,0.438260167640387,0.282530821672577,1.01529696955641,0.445465151256438,0.282686491580008,0.057921680777496,0.135112776666179,0.0634646838982146,0.968215157410023,0.532741318639189,0.278584155331114,0.0574714596857871,0.127043772975152,0.0640629577153103,3109.732,23.0169999999998
"11424-3","heavy",2000,50,0.409,1.04113607136109,0.494300207399828,0.208886264323728,1.06185572658993,0.570568584668906,0.217506440891498,0.0540290098664333,0.142335671989821,0.0615249469559145,0.992037144481975,0.728949258298273,0.217590105793365,0.0556342671947987,0.151995269489257,0.0669880506381701,3055.28,18.5610000000015
"11424-4","heavy",2000,50,0.387,0.951119757624131,0.512114405895583,0.226597121971732,1.01351033036408,0.413078490537286,0.207095481286423,0.0535248002604134,0.14017125572182,0.0626392722051772,0.9550211077169,0.533029388099165,0.218092678408037,0.0582661842431683,0.135946241867141,0.0628832356559299,3049.25,23.8819999999978
"11424-5","heavy",2000,50,0.406,0.948506281775084,0.563914553088819,0.269475870571326,0.990001404866747,0.57538927344276,0.2693056558693,0.0554455814225323,0.13181406915065,0.0685057875043243,0.952946618530941,0.630688396308176,0.263689527899371,0.0585057197851953,0.146456290206049,0.065955213645619,2988,18.1579999999958
"11424-6","heavy",2000,50,0.4025,1.03383672534815,0.506718899382497,0.238178732978944,1.07119230335962,0.474104668710935,0.225274860519161,0.0598002582112879,0.126712271891502,0.0642084268342851,1.01407457014929,0.600415650185098,0.246005527768443,0.0579460756007461,0.127899974195593,0.0689603539620188,2855.336,21.6319999999978
"11424-7","heavy",2000,50,0.419,1.01344600232085,0.530501475420987,0.220794959487078,1.05084107219858,0.480073419310114,0.222793829668317,0.0533793151511665,0.127507503155,0.0621094502209363,0.999185337646727,0.595489455825979,0.217073782989876,0.0528132704299953,0.117346523213104,0.0628321242890111,2977.873,19.0559999999969
"11424-8","heavy",2000,50,0.4135,1.06096924515296,0.461079314175658,0.222689184903061,1.08894860888097,0.463686392332867,0.211761889752816,0.0555170488392158,0.122649901791533,0.0598161560182557,1.02253159808071,0.637936804077061,0.223003647762718,0.0585430952197915,0.136229366437663,0.0599186314884125,2835.601,23.974000000002
"11424-9","heavy",2000,50,0.415,1.01142537284344,0.457424031628438,0.273314828089222,1.05178764340277,0.419476441625479,0.276213070064503,0.0562047792643788,0.130538475347336,0.0658488559903097,1.00669012722587,0.504486952880655,0.273734357920086,0.056501038106342,0.131691379438484,0.064650606059707,3047.991,18.7099999999991
"11424-10","heavy",2000,50,0.4085,1.04200845532259,0.450493242510575,0.195233690826836,1.07708931261473,0.378858535676042,0.190265442276252,0.0543662447805022,0.112646174288922,0.0642129268700831,1.02864990414319,0.506695587383798,0.204535258852465,0.0623542740805436,0.133766199193,0.0640318303734002,2798.85999999999,20.6069999999963
"11424-11","heavy",2000,50,0.4245,0.969155097362037,0.42062259507262,0.267180858059591,0.980464446746082,0.414061625813685,0.277108763579971,0.0520873344895593,0.115613157778851,0.0612655508686354,0.946790177711731,0.505772209835936,0.267168192817164,0.0585610066741179,0.115849595758583,0.0637234581281211,2976.114,24.4199999999983
"11424-12","heavy",2000,50,0.426,1.0376844948714,0.457343889469381,0.241006011574065,1.03958736231641,0.547459574198345,0.259379844088864,0.0524278489316761,0.136740129698017,0.0617364141686843,0.988151319234121,0.668493230151978,0.2367767562943,0.0591044642431777,0.132508867916664,0.0601432619145604,3174.112,25.6430000000037
"11424-13","heavy",2000,50,0.4235,0.967108395864838,0.606419066419414,0.229894119872537,1.03416504491024,0.514753803711208,0.24460306515157,0.0528016562388718,0.130864139585504,0.0678712676257541,0.967703723990181,0.637507397616732,0.228220451128089,0.059703229568341,0.13026123732962,0.0670282776724183,3193.58899999999,24.0460000000021
"11424-14","heavy",2000,50,0.3995,0.950026608112468,0.529516914548728,0.298427739724783,0.974463091730003,0.542589705466562,0.303050278338825,0.0486169232200054,0.124966290328025,0.0586691014101465,0.928238216908894,0.635407792317782,0.282031792109748,0.0541094444573074,0.120290698793753,0.0656494458483775,3099.61900000001,18.1809999999969
"11424-15","heavy",2000,50,0.4125,0.985953276096778,0.499156054210753,0.247159147185927,0.989371220066471,0.585963409383167,0.26138291225333,0.049491886661227,0.112968326286598,0.0598894833481435,0.920901190679238,0.690248202724326,0.257978920546254,0.0550325616285506,0.130850572431412,0.06997873683582,3120.806,23.8040000000037
