"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"127-1","extra_heavy",500,0.802,0.994236847424996,0.552810188541861,0.164264115073732,1.02836138189781,0.509735066918073,0.194486538966199,1.05459270171369,0.524249691010549,0.132008053573749
"127-2","extra_heavy",500,0.8,1.11301869736294,0.394289985744498,0.299208977079569,1.22563169788117,0.286460098778726,0.279899843950041,1.18618770000291,0.313401227602097,0.316167122189601
"127-3","extra_heavy",500,0.818,1.04018736307515,0.480787346212157,0.307738743630427,0.952465812744537,0.461689954331634,0.377141552660506,0.948910664450681,0.527505168252909,0.321392854322602
"127-4","extra_heavy",500,0.81,1.06775620848249,0.514001053951501,0.165741846677521,1.07581286373253,0.452506690478737,0.211958840212315,1.06116273416375,0.51338156885359,0.143598766592205
"127-5","extra_heavy",500,0.81,0.945337602892849,0.52117785521274,0.229166920646746,1.13762106579404,0.351654567532453,0.205514003451403,1.09841625873163,0.369017074429557,0.250866542029472
"127-6","extra_heavy",500,0.82,1.12189645997454,0.376349128727745,0.237538376742581,1.00190405056555,0.515220542406079,0.193016937455003,0.929165271303715,0.556930014379554,0.270103923051003
"127-7","extra_heavy",500,0.824,0.984081436055803,0.549602376147656,0.157040188072042,1.02514833008906,0.51557564035327,0.178596771158705,0.975823864710642,0.55992083866913,0.209995878844538
"127-8","extra_heavy",500,0.806,1.24909478670842,0.337011819549265,0.160746507631008,1.5008799924508,0.117024992499783,0.165188622814496,1.49285826919301,0.122479375250473,0.175182689896482
"127-9","extra_heavy",500,0.782,0.930682326595723,0.520856297499717,0.246347410524059,0.80949450610086,0.66288107770462,0.266577199931111,0.785798842661005,0.713810883057852,0.242155025424012
"127-10","extra_heavy",500,0.812,1.12527972965842,0.407363634152346,0.22252574356744,1.31796504113511,0.221459966227966,0.187175518027018,1.29095711859323,0.242774009026967,0.231774343352196
"127-11","extra_heavy",500,0.774,0.896915271628663,0.516116872626022,0.226417964749036,0.857722174372061,0.605198981462912,0.132236327232001,0.810764182395351,0.62277457698408,0.228373882372672
"127-12","extra_heavy",500,0.772,0.940336681459702,0.563823740758872,0.163268896324471,0.798891161896423,0.711118519050382,0.0923636289546446,0.652696020224174,0.835348617773545,0.190366600562078
"127-13","extra_heavy",500,0.768,1.1816564923007,0.386760474975805,0.10055022251276,1.13017624991949,0.485918920775793,0.0981623906089177,1.12717606377302,0.489111799026125,0.106721417869339
"127-14","extra_heavy",500,0.812,1.09349712191181,0.386022481829512,0.314152138185531,1.24903832801733,0.238356450121594,0.321089063981647,1.23566177873813,0.242823111696038,0.343374030911253
"127-15","extra_heavy",500,0.79,0.853325961891006,0.534375036071295,0.32774797777277,0.891666270709365,0.450374215941525,0.391039753491014,0.935943042340185,0.441748552615658,0.348701267953997
"127-16","extra_heavy",500,0.794,1.08144833022151,0.494386683287202,0.0995220029424206,0.986912638804509,0.589930492719851,-0.00563133232899239,0.829247960220753,0.687891672033281,0.127680064053995
"127-17","extra_heavy",500,0.804,1.04873979639222,0.493338991563505,0.250064568856186,1.11697427326508,0.477342749500396,0.153228934428135,0.949290058933882,0.57806908147594,0.260975233671796
"127-18","extra_heavy",500,0.778,0.990574074982224,0.593433402880893,0.0929339724663187,1.03068497585394,0.511980219371439,0.147096540171955,0.983307817301701,0.573416595478884,0.15977685495878
"127-19","extra_heavy",500,0.792,1.17527655302785,0.364685004047359,0.161384722044907,1.31077885185811,0.250419188615362,0.15213142079293,1.2882303587098,0.263375922522399,0.17459865111112
"127-20","extra_heavy",500,0.81,0.929326914778611,0.565137726467451,0.26940073007253,0.930935456743869,0.568261371521456,0.271224192785226,0.90344941017598,0.581999629102619,0.310753156222164
"127-21","extra_heavy",500,0.794,0.969391387344913,0.49906242026014,0.329220417602663,1.11820821922073,0.36595117325487,0.315267677999983,1.08565353633124,0.384381191395839,0.347400024832034
"127-22","extra_heavy",500,0.782,1.07117337906941,0.516571092495457,0.15589438589359,1.07672045647777,0.54897015259649,0.0198007981030932,1.01686862388807,0.574536541139034,0.132352378102538
"127-23","extra_heavy",500,0.806,0.98422016247873,0.419055327916886,0.408751203595824,1.23401244974835,0.1683490394132,0.46388300755863,1.19465323094686,0.234151124163051,0.41354347912836
"127-24","extra_heavy",500,0.806,0.979215107411111,0.540541927973465,0.205853866977584,0.689939374466515,0.879470960436474,0.164685048077205,0.649143988991018,0.887594560641007,0.2561056224718
"127-25","extra_heavy",500,0.806,1.02023419404445,0.489121490632015,0.298558968848677,0.914585064419605,0.565377296665762,0.340729069853626,0.880938063782526,0.618369447955038,0.337626632584493
"127-26","extra_heavy",500,0.782,1.05514981156446,0.457652959570034,0.2345284342194,1.1170347778277,0.39964383762779,0.2650940843348,1.11097635049654,0.416489666777865,0.264579152365188
"127-27","extra_heavy",500,0.806,1.11107343996288,0.450179776375732,0.193272504815693,0.985420523226834,0.562913904575427,0.111880037343066,0.882592284632095,0.641385513666147,0.217561450447602
"127-28","extra_heavy",500,0.804,1.01908707233159,0.466508000820309,0.38095539569643,1.25709597201442,0.317899941579567,0.315689556275401,1.20713333252723,0.358480009899288,0.345791012259804
"127-29","extra_heavy",500,0.77,1.05325124815597,0.493763267498048,0.221108186894761,0.996966015880349,0.571118218451073,0.232213592323671,0.968153233326425,0.607374790812501,0.25135205440218
"127-30","extra_heavy",500,0.792,1.0126431231903,0.386458871978316,0.482267902748889,0.974360263461327,0.445947876980273,0.419009583597239,0.936459168523699,0.450957177305713,0.495032972695903
"127-31","extra_heavy",500,0.816,1.05517309221855,0.394911663616054,0.299818035463372,1.11715816556848,0.340503221675427,0.249958913034776,1.08614288404898,0.34622452445982,0.305807922845797
"127-32","extra_heavy",500,0.788,1.10146026460355,0.470421171927525,0.0919994626692199,1.02731732645054,0.596749169436122,-0.0664616853659562,0.896919927231604,0.677203111541077,0.123269144612249
"127-33","extra_heavy",500,0.804,0.924541607841795,0.508972432860192,0.331653940308872,0.986934262337839,0.488585813297237,0.327472093480137,0.950100144073884,0.523998429048658,0.346183901368762
"127-34","extra_heavy",500,0.778,1.14943546308487,0.385394575487245,0.20469160709779,1.20511500089025,0.381060422339684,0.175642808742488,1.16800871308968,0.39838911274486,0.223566292547697
"127-35","extra_heavy",500,0.774,0.921541760476616,0.50930401102984,0.315519939208913,0.944885505284301,0.500450379916228,0.281091380810063,0.896607321524282,0.517867071435783,0.379685228387668
"127-36","extra_heavy",500,0.786,0.825475502530234,0.589905579370696,0.33500340196863,0.83107333354016,0.605279223317187,0.362941637943098,0.800030069089947,0.65544452756678,0.356625645071971
"127-37","extra_heavy",500,0.79,1.12363396060174,0.462810436545418,0.218281856114009,1.16236477605138,0.378476470791701,0.310394316906003,1.14377312473409,0.426890733261921,0.231907292092053
"127-38","extra_heavy",500,0.776,1.03972304914844,0.488773045654149,0.109235559138769,1.06506322220256,0.462356451046708,0.071792503289044,1.05495407243255,0.4679567537367,0.106597242225147
"127-39","extra_heavy",500,0.79,0.978266232521769,0.558902087772573,0.191499601322729,0.947567158106792,0.654683049220443,0.119083576247735,0.911045521318601,0.677538035332414,0.185548353804341
"127-40","extra_heavy",500,0.828,0.969847438561524,0.483629642683256,0.383207902691669,0.624403088687195,0.799743868258386,0.33073402711945,0.591772451782613,0.810976932447983,0.400729138504455
"127-41","extra_heavy",500,0.816,0.959305419877806,0.51699084112413,0.299567685926203,1.02991729836913,0.473951500433076,0.199695168172601,0.955216886217308,0.535184288844452,0.302011859167281
"127-42","extra_heavy",500,0.826,1.10113505475824,0.448172417997162,0.207844379919412,0.962362562797806,0.557744618228471,0.123984982421729,0.912480554114776,0.597938319371885,0.237883418390131
"127-43","extra_heavy",500,0.796,1.03477361028163,0.587847216454579,-0.03420234791189,0.917348840483936,0.661592091557098,0.0371151102083296,0.900712193527385,0.68008381606393,0.0485109334446421
"127-44","extra_heavy",500,0.816,0.960539808965555,0.438917309022078,0.310558404814003,0.677666472776173,0.721315654775976,0.296429046456169,0.633451358610267,0.774598478667833,0.31778532791711
"127-45","extra_heavy",500,0.786,0.769643103758107,0.584849600853613,0.395175359004407,0.640703832464558,0.729375768780144,0.345671039308218,0.557682063165863,0.800873129002063,0.393566511149716
"127-46","extra_heavy",500,0.83,1.01431375802519,0.499854866511936,0.285287191645385,1.03935095711875,0.439755189602169,0.262712524000413,0.992626049524101,0.486518103589309,0.285873355112971
"127-47","extra_heavy",500,0.76,0.873599934614722,0.597270221148932,0.320083035120384,0.864230736957499,0.613547883333517,0.348730292079489,0.867237129342699,0.637232145507235,0.318494166147612
"127-48","extra_heavy",500,0.798,1.07797401212807,0.486211746311619,0.26752524230484,1.1165891013243,0.402854973535749,0.275010118007992,1.1366130555196,0.417816263001078,0.239824247667804
"127-49","extra_heavy",500,0.804,0.9015509026885,0.610525712825519,0.185191001061648,0.991733477361495,0.529854662367813,0.205058343853755,0.96244683519358,0.585235147978302,0.177200961916184
"127-50","extra_heavy",500,0.806,1.02840228504068,0.517956913582701,0.250903985101365,1.14163512933953,0.409213595918077,0.256547864930129,1.10151166018858,0.440081633487502,0.303263670147721
