"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"123-1","heavy",2000,0.3685,1.00545364817045,0.485170764763739,0.232198520162494,0.974026854769082,0.510017619541394,0.230632968885232,0.962652680889403,0.517377164143064,0.240616048892542
"123-2","heavy",2000,0.3655,0.935161848242679,0.522036787988776,0.35762624408233,0.943084997853614,0.516764457027888,0.351658090931954,0.924742641975785,0.53043030021939,0.357658739114577
"123-3","heavy",2000,0.365,1.07304306254507,0.465424520177713,0.132997697535684,1.06647714772224,0.467617968332013,0.139106844412002,1.0585557555207,0.472191884894376,0.147733003845378
"123-4","heavy",2000,0.3495,1.00593838742969,0.520751285561674,0.203148987371956,1.06032757601127,0.468784550431642,0.202734186104386,1.05093766860255,0.476983434128212,0.206029951639343
"123-5","heavy",2000,0.3535,0.959390429105109,0.495662212255803,0.295910754183595,1.00109596965133,0.455782203851971,0.294364792592114,0.982466977220458,0.467914245956609,0.310793999555845
"123-6","heavy",2000,0.3725,1.04113521909521,0.469629032745192,0.242068918954993,1.05250958369641,0.455046930397899,0.233777141136886,1.03621288033229,0.460608437619615,0.258208164879535
"123-7","heavy",2000,0.347,1.01977935134038,0.483776147031395,0.285789342543676,1.03284602154768,0.48348855283159,0.268961657245866,1.02056142835838,0.485192455203275,0.290429740122807
"123-8","heavy",2000,0.3495,1.04446176619413,0.462796743398987,0.303151798475177,1.04584813130173,0.464640988576237,0.30224029712872,1.03513577085782,0.464691074110418,0.324560951322313
"123-9","heavy",2000,0.3615,1.0564631190527,0.496737034017698,0.209825123106227,1.03361407710035,0.519660214662413,0.207216923699349,1.02819274993666,0.525728909603972,0.20842261437272
"123-10","heavy",2000,0.3625,0.99109871855634,0.497371529263493,0.223976220054707,0.963339584272023,0.510467932702442,0.220006091869109,0.933064218068583,0.5308258482983,0.237839275717579
"123-11","heavy",2000,0.36,1.04932368137167,0.476473434071102,0.21640424179835,1.09725661637742,0.435764957596423,0.222176773962581,1.085431085213,0.444426303432242,0.227507168944286
"123-12","heavy",2000,0.3625,1.01830249513111,0.474293938880497,0.242786785299333,1.02611697977206,0.465535889990967,0.241927628266394,1.01746434085621,0.46431504958768,0.262545331616596
"123-13","heavy",2000,0.3875,0.97635542550683,0.509223356487346,0.245994622155781,1.00630938739251,0.484733024049117,0.243983050064794,0.98708272896444,0.486798114249632,0.279900207804086
"123-14","heavy",2000,0.388,0.930456183434887,0.509706092133968,0.287432485307103,0.942672300226983,0.495224336393099,0.282424460824478,0.93324110997119,0.488390739411677,0.316256340356416
"123-15","heavy",2000,0.367,0.964555007077834,0.522759234634419,0.239096504796724,0.929039906388058,0.548652777630083,0.242429946544771,0.911742238840207,0.555176952539003,0.265700021717379
"123-16","heavy",2000,0.3565,1.03792585671895,0.507065515169514,0.228892734187914,1.02250719560916,0.530655345359575,0.201789978104828,0.986433727116147,0.552172877459651,0.228469188617077
"123-17","heavy",2000,0.3635,0.959095782346542,0.501581814607995,0.314665730180957,0.962187061651503,0.490033066034007,0.312957234655245,0.941895931596085,0.501243455424632,0.330035930135453
"123-18","heavy",2000,0.365,1.06265928825153,0.47181558391506,0.186585425364368,1.0238366313354,0.514954811139382,0.159080581216331,1.00581974433061,0.519823278581234,0.183155994818945
"123-19","heavy",2000,0.362,1.07235502580046,0.454605353613688,0.246582171555794,1.07505110050655,0.439096587609055,0.267739157577383,1.0710625896695,0.445550043845184,0.263435219413392
"123-20","heavy",2000,0.3515,1.08992308534084,0.446639794806326,0.169990783232149,1.14776273864854,0.403206247788339,0.166588918280006,1.14292956977878,0.403654418329184,0.176298220551201
"123-21","heavy",2000,0.3505,0.968119815767325,0.500488275067238,0.270609009749731,0.974302659443405,0.497440673519554,0.28046691175879,0.972163101683387,0.498963625605255,0.282793363781246
"123-22","heavy",2000,0.3345,0.999796619373843,0.535189231116247,0.19923977119889,1.00413268470381,0.536952814453045,0.186137626782697,0.988222767079413,0.537346626195428,0.215086781135882
"123-23","heavy",2000,0.341,1.03306581847051,0.457417605532572,0.247685943711623,1.00443932394712,0.48202604906837,0.243546081397665,0.995393935701737,0.484341821007327,0.258234311579843
"123-24","heavy",2000,0.3565,1.08516179669876,0.449867394450516,0.265519620146019,1.06117065984755,0.4742204293691,0.261928894113197,1.0564001136719,0.470988453156112,0.280079852239995
"123-25","heavy",2000,0.3585,0.910079709587058,0.5520608495464,0.312604196604455,0.941194399031862,0.51551774743669,0.323520047640716,0.940523825034244,0.517060792090135,0.322104831824418
"123-26","heavy",2000,0.3525,1.03645626075253,0.472246929306676,0.247301189392508,1.05555866450821,0.455344448923642,0.252647166120624,1.03734145554312,0.467999975905974,0.264062744363349
"123-27","heavy",2000,0.3655,1.06724171657345,0.442772506789773,0.260193300409953,1.02372480090735,0.48254242216189,0.255777223663264,1.01643161352651,0.479546006422715,0.276953255652091
"123-28","heavy",2000,0.3695,0.944796753316865,0.528809320048351,0.304710903388137,0.990393842042525,0.487462141835425,0.299210638023675,0.985933898198396,0.492371038717682,0.298217568538707
"123-29","heavy",2000,0.3585,1.0269056234849,0.509295608257382,0.194009619195004,1.02472902434249,0.51819601732053,0.177929364100225,1.01545486097965,0.522071834498939,0.190269822444176
"123-30","heavy",2000,0.356,1.00796145097176,0.522402578228292,0.21958778234011,1.00297133625826,0.525600556630262,0.235591675314635,0.993879210432769,0.530417696834609,0.244787573261148
"123-31","heavy",2000,0.3565,0.964120355973985,0.516624440767143,0.267128785223986,1.00391649988874,0.48517479335423,0.260460605661869,0.989746021164316,0.495642500326909,0.268817784763422
"123-32","heavy",2000,0.3565,0.988864642349628,0.485257314517001,0.301006280763248,0.973547065602593,0.497361681550169,0.311591423399859,0.966183927608709,0.502574754489965,0.315207358912123
"123-33","heavy",2000,0.353,1.08305776527804,0.457841367634771,0.210996330484645,1.09952686301376,0.447342480479272,0.205958844438292,1.09452700127384,0.450432353662256,0.212252217033797
"123-34","heavy",2000,0.348,0.979613081313954,0.487185839588888,0.270233294721608,0.984175008386789,0.495600620716743,0.251487772440604,0.973512261044274,0.495075320695384,0.271944128967228
"123-35","heavy",2000,0.3565,1.00447700025896,0.478743033924857,0.261768376110761,1.02836720923662,0.457180363120049,0.264641280883133,1.01691819529275,0.465207055871575,0.271058684869972
"123-36","heavy",2000,0.3425,1.01504314237162,0.485683100094824,0.257307032875919,1.07114207231691,0.436226304615707,0.271311173246945,1.06827372238244,0.436779559434953,0.27623401898033
"123-37","heavy",2000,0.3605,0.871732062407961,0.55046669339528,0.274957724787151,0.924106796289808,0.494995278377821,0.255181464992482,0.881422196401221,0.520304246185781,0.290937073514722
"123-38","heavy",2000,0.3385,1.02882889922746,0.494291343038525,0.215436275806838,1.03143963963966,0.501921880461808,0.199311061734287,1.01587818015333,0.509061008749839,0.215422208607605
"123-39","heavy",2000,0.342,1.02788865810639,0.495274638570256,0.265426831029744,1.02045415053102,0.501184763687549,0.274794860731476,1.00113863025173,0.516209768744484,0.283883195908946
"123-40","heavy",2000,0.343,1.07389452712381,0.436724508441967,0.236382148842076,1.03778782574059,0.46927468417492,0.227753640548615,1.01704011276059,0.482297588288323,0.238923674382909
"123-41","heavy",2000,0.334,0.938418476281516,0.491351331622037,0.310780617563916,0.931666588359827,0.494064652913628,0.318027982315889,0.926183988116796,0.499601239493962,0.318447606217519
"123-42","heavy",2000,0.3495,0.95213946404429,0.482841587267713,0.319056311542011,0.970275968544283,0.466546338024006,0.318872970367939,0.95970144723923,0.471380977279159,0.330825764451062
"123-43","heavy",2000,0.3705,0.964615096491515,0.534851277445316,0.24779314198437,0.957879641332522,0.549476734795005,0.232569120631377,0.947795331968726,0.546142845706466,0.260607617062809
"123-44","heavy",2000,0.358,1.03282673687442,0.452044673394565,0.268835987706797,1.03590613765394,0.446846449860275,0.261376369700828,1.02606878826155,0.452155410558336,0.271609354833571
"123-45","heavy",2000,0.363,1.04220681794081,0.449806605312768,0.263814370158761,1.07253503751636,0.416655186947809,0.263816660953872,1.06552432618723,0.416275177871361,0.28035055600539
"123-46","heavy",2000,0.3585,0.95536098321174,0.482999604721204,0.325438041140718,0.953325018848651,0.490319719868961,0.316109494916849,0.94315027427934,0.492989252365725,0.3308741763933
"123-47","heavy",2000,0.3575,0.915465058067722,0.55662217927912,0.299868586146463,0.917842729509754,0.549034296212527,0.309625708954241,0.906911938577695,0.557377332831677,0.320229856131909
"123-48","heavy",2000,0.35,1.10988934374484,0.388693764051019,0.255555948706087,1.17311242723389,0.340015694570247,0.240225122246422,1.17235615351161,0.330747875293325,0.263109502038985
"123-49","heavy",2000,0.3435,1.03135786709758,0.469247661947885,0.240503069799899,1.0776338630121,0.427449618144139,0.246234715318845,1.06546550125166,0.435747398267355,0.253635482908194
"123-50","heavy",2000,0.3625,1.02283401584223,0.459026405945411,0.324025574975429,0.997383271882034,0.479304494539683,0.32140555714543,0.982703835046289,0.489821929729127,0.329369522412437
