"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"128-1","light",100,0.16,1.01968620555211,0.454106217901872,0.482408422453045,0.908233447315044,0.524332687525639,0.520213742328242,0.907338223517662,0.527035437842456,0.522170744868781
"128-2","light",100,0.16,0.640629890586986,0.44407175120315,0.601230669189064,0.863183173735629,0.249431335467506,0.595737512014735,0.862828864541405,0.249516147993317,0.597568354976543
"128-3","light",100,0.14,1.11772961472145,0.469842285932635,0.129727649078859,1.09414895925255,0.473833512651971,0.16376114638824,1.10275374790559,0.465625341407955,0.168349024711475
"128-4","light",100,0.2,1.02673277504258,0.36815684794529,0.356019385966931,1.22566057024362,0.209085946425476,0.326721873604654,1.22279605379982,0.211933976190259,0.330015484670112
"128-5","light",100,0.17,0.670528037828692,0.74431359472075,0.0633113933808442,0.818909833198761,0.603083906806569,0.0984106807119814,0.830531719598998,0.59416807253408,0.09986407162858
"128-6","light",100,0.19,0.799624050589819,0.555900046885139,0.208600489199173,0.804336002251066,0.526115695665596,0.242309052361696,0.79921929645083,0.516970291040169,0.269718424122383
"128-7","light",100,0.21,1.06162469927054,0.343086319990902,0.464826508740609,1.09977076219361,0.309163085580797,0.431645572569645,1.12100122943707,0.286157233001883,0.453940027467503
"128-8","light",100,0.19,0.959306047397872,0.403260716398026,0.663412482209267,1.10638873972028,0.262149223737412,0.675359342366123,1.06748258519947,0.298238847169681,0.680186783526776
"128-9","light",100,0.16,0.764686803404842,0.552850944312353,0.402298057097329,0.782511298575242,0.521546433318171,0.438897999039198,0.769401287000669,0.541466486413685,0.42512883457682
"128-10","light",100,0.27,0.650708630482265,0.699879186078931,0.621167762332596,0.532859949928939,0.81739408519091,0.588178772096784,0.555620741400215,0.779011837850249,0.629865949571802
"128-11","light",100,0.21,1.08549848673318,0.297803101378671,0.16681495960886,1.14786711387743,0.252331317115254,0.142879473446669,1.11314295111652,0.284355870625378,0.148259631805977
"128-12","light",100,0.25,0.578481209840138,0.704613565568974,0.531120759549885,0.799611710518851,0.517972315758285,0.498672267093742,0.7823412412896,0.536926142648733,0.501741783188368
"128-13","light",100,0.2,1.10925279158641,0.490745200551949,-0.0789846337858462,0.909714155485108,0.685239051386479,-0.118522999710241,0.861880503838185,0.723123542245696,-0.0964564828490744
"128-14","light",100,0.23,1.33489649181022,0.177230303981018,0.499476887659859,1.3045016498762,0.192032413848729,0.512838902560185,1.30441767073542,0.191025319710876,0.517711462526199
"128-15","light",100,0.13,0.709449269376096,0.685863096223631,0.266656167000209,0.643927161494511,0.73906069237241,0.334047578392183,0.644953935712142,0.737902722786557,0.348634384664337
"128-16","light",100,0.24,1.32604062202429,0.270516147506148,0.245745166196238,1.41351673558817,0.181926222844327,0.260471309052681,1.40482493074681,0.187462894422308,0.266928194091451
"128-17","light",100,0.2,0.756328784325585,0.715270352679575,0.592091588447756,0.832187841007905,0.612119715117424,0.608341321761145,0.821167648274417,0.6312184661446,0.586325778015261
"128-18","light",100,0.18,1.19123038881279,0.397673649536725,0.178943680361786,1.31173228425482,0.304942240018419,0.180378582447015,1.31111830777996,0.306561293902407,0.181447516122399
"128-19","light",100,0.26,1.14898318034001,0.352392840031958,0.326493111166887,1.03937699773072,0.462144873185957,0.304270711684354,1.0386053834345,0.466603089952986,0.299631768457826
"128-20","light",100,0.17,1.16422147393932,0.222625439959221,0.125464594334367,1.12123634880375,0.271870687078955,0.114659501329954,1.14420712791654,0.251256211692393,0.108670856248914
"128-21","light",100,0.24,0.973478100533983,0.398600772685154,0.446675001159186,0.878793125366725,0.459506631141343,0.471216628133816,0.874232770391598,0.467176600327571,0.46875093317233
"128-22","light",100,0.17,0.708666351974923,0.716573708015158,0.290138347846934,0.828300537824062,0.579610470036196,0.301011062535224,0.834931915645025,0.561220383607966,0.328521817494157
"128-23","light",100,0.17,0.899187062432507,0.448360394060665,0.333235326583767,0.968898145689988,0.382551332504261,0.330532005324411,0.925861735804633,0.41396806410795,0.346523176098355
"128-24","light",100,0.21,1.32891155410692,0.252743964367956,-0.019324679474942,1.32178294426216,0.267772039576981,-0.0526508324267712,1.32299147746523,0.255040600671764,-0.0257141529123198
"128-25","light",100,0.12,0.800978084671903,0.706165730165959,0.128097912123542,0.801861636664909,0.709776892466806,0.115776089369054,0.727600138815143,0.779438137909401,0.133047338416461
"128-26","light",100,0.25,1.29855614022124,0.356690442720599,0.264338561942329,1.25486944811017,0.384614465881046,0.25844943381862,1.27127707711786,0.385766302327654,0.232946445797008
"128-27","light",100,0.26,1.22627734662506,0.416623315754791,0.487031959915382,1.18965482556154,0.449404563278939,0.462769078341566,1.18620868269207,0.452664214636372,0.46992764291386
"128-28","light",100,0.21,1.03770409713308,0.53770489653065,0.240857154066467,1.0926868800051,0.507920529478506,0.19012161833925,1.05571553198786,0.53770637358076,0.205244637749363
"128-29","light",100,0.19,1.02147936863196,0.460065236853477,0.110144662769374,1.12265796189877,0.365327644043913,0.134405885024024,1.13906108178947,0.348751730433846,0.150088930311475
"128-30","light",100,0.26,1.36520478877319,0.30562364475827,0.017448600847875,1.45330430997684,0.230497431420818,0.00246552438029684,1.4658372706988,0.228604202124116,-0.00956451427007577
"128-31","light",100,0.16,1.24634193562349,0.375467635856349,0.316068192939108,1.0956214435237,0.474132045393921,0.344620445449753,1.09370863863139,0.479121721084875,0.341169884229447
"128-32","light",100,0.28,0.992604397543001,0.280926848312813,0.675750032469744,1.04089001896182,0.247228155030559,0.667404838001112,1.02873073732401,0.250497119954265,0.685755032729798
"128-33","light",100,0.21,1.18592460800295,0.348590864366604,0.417201203582282,1.37268421797481,0.193002138965083,0.375167370454717,1.36792225195384,0.202084464612586,0.366865152933575
"128-34","light",100,0.18,0.865440158460329,0.60175564236475,0.0509537985993623,0.700149223415123,0.739511309627657,0.0694771872510539,0.701185814727632,0.741885627839149,0.0671474795350111
"128-35","light",100,0.26,1.01360162770404,0.426062264739337,0.382681711697213,1.20274314375228,0.24009681746995,0.419331462472537,1.20498893338597,0.223012584205508,0.450898959916973
"128-36","light",100,0.15,1.13711667934668,0.311686753219023,0.392662518595985,1.32495737799678,0.15951634949311,0.360052172229474,1.31958063157881,0.164785471294511,0.36226574908324
"128-37","light",100,0.17,0.876458082492692,0.519617162893004,0.457858812081741,0.910302700016212,0.504758798256154,0.405631195713738,0.893592569362625,0.514167324480375,0.428549938568692
"128-38","light",100,0.19,0.553094613447775,0.704349893249676,0.346913198990463,0.377326009688872,0.876943200144051,0.340588449135201,0.37200560339228,0.889475830415067,0.335443355410515
"128-39","light",100,0.21,0.571787708012634,0.875014463969254,0.0910928824560926,0.854278559433436,0.634513671275524,0.0265025126323856,0.673842024789176,0.781566933026149,0.0652155108778246
"128-40","light",100,0.19,1.30944832341481,0.303915959404811,0.1372854968857,1.3127050623019,0.286944567027785,0.129171871335776,1.23239643681348,0.348411906518909,0.143908155251915
"128-41","light",100,0.16,0.83784910603371,0.564565244030364,0.525034887207335,0.861214701253693,0.53926304700281,0.509408386992823,0.837751662038282,0.559207193730575,0.51598953002499
"128-42","light",100,0.23,1.03048245466859,0.547535755997849,0.279649074487686,1.22853157715217,0.356482419162216,0.313573579324003,1.21817821075214,0.357537748149338,0.331832795701487
"128-43","light",100,0.25,1.36382147538963,0.19098459403348,0.0304973664226075,1.3099052172295,0.216890831204385,0.0583101611292307,1.31240592600092,0.219401792823683,0.0502818677811256
"128-44","light",100,0.16,0.804862629262071,0.640290762329015,0.333582379690687,0.785923347504149,0.652952607945095,0.318654607807822,0.744712716398782,0.694006839936253,0.337055094373681
"128-45","light",100,0.26,0.98936952771937,0.368748617218399,0.352099355457119,0.810654045016816,0.497707023238283,0.361146672017664,0.792849933490686,0.514790750687223,0.366626055952355
"128-46","light",100,0.24,1.28251307845304,0.454930651243395,0.0380802038504639,1.35498625905964,0.389004460783513,0.0254431612706738,1.33534191274085,0.405974360210337,0.0353737489944564
"128-47","light",100,0.17,0.567796765218129,0.56463707840546,0.607897275157398,0.694915773964679,0.447121971863082,0.614579926078374,0.698929260419044,0.440452197678766,0.622715141067364
"128-48","light",100,0.19,0.974288198705216,0.623216043101386,-0.0154247476450537,1.00758543266655,0.599610965616511,-0.0364986304747467,1.0990790658204,0.486966711191174,0.048133807212955
"128-49","light",100,0.16,0.764088085259812,0.669538698440658,0.143603786881751,0.671621464760487,0.745102781797493,0.111044367455658,0.672829535321355,0.749294412357909,0.109193299463482
"128-50","light",100,0.17,0.854498501533694,0.450747117727885,0.398290961321296,1.11805183696039,0.249937699642514,0.363774616537973,1.09319232779102,0.269272169095971,0.371968167923371
