"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11423-1","extra_heavy",500,0.794,0.926126515552247,0.591112548294709,0.236196121036179,NA,NA,NA,NA,NA,NA,0.952273205932931,0.0159049697866329,0.213657950600392,0.106646560181643,0.00824903680545591,0.1749036883756,0.842681066924442,3.63450088601056,0.294989923491476,0.144201032082961,1.7927500738015,0.1470939450693,NA,0.768000000000029,4.15399999999954
"11423-2","extra_heavy",500,0.848,1.0063153113864,0.528831069586895,0.279236206116779,NA,NA,NA,NA,NA,NA,1.07624749790794,0.00351956390787794,0.254139487820287,0.132371148960642,0.00355284825620648,0.245194295622244,1.06722192685091,1.26194490180966,0.385266933549601,0.183145705635514,2.01693464940526,0.176236891559674,NA,0.645999999999731,3.69300000000021
"11423-3","extra_heavy",500,0.812,1.0049374201093,0.492102945693762,0.391068649379359,NA,NA,NA,NA,NA,NA,1.00222314438356,0.00608904248092526,0.443341315669383,0.135606318618501,0.00385138005335158,0.138082291671192,1.01145580917288,1.96410356667751,0.500855798208488,0.160270690335885,1.7661824562973,0.13468591276358,NA,0.65099999999984,2.96000000000004
"11423-4","extra_heavy",500,0.848,0.999189522877682,0.450099750283958,0.189657966845395,NA,NA,NA,NA,NA,NA,1.00100909816334,0.0528139555539718,0.0762033536880368,0.103853058661069,0.0260437104107733,0.201707591153979,0.906779395282135,2.68429871414197,0.304868216806545,0.157681082752893,1.63325116863092,0.145321701782948,NA,0.653000000000247,3.60499999999956
"11423-5","extra_heavy",500,0.812,1.00347544225918,0.434094840772355,0.198920769295487,NA,NA,NA,NA,NA,NA,0.997490415242169,0.0313942788707466,0.121878781640497,0.129433814279494,0.0171775746281435,0.16096540332616,0.899992341411759,3.35873961488408,0.195109507154931,0.156844754039091,1.67982780264722,0.14156365362063,NA,0.65099999999984,4.64199999999983
"11423-6","extra_heavy",500,0.856,0.921584829261293,0.568409319058539,0.323153697001656,NA,NA,NA,NA,NA,NA,0.959106048214474,0.00418296988446744,0.396383747106307,0.160938799075801,0.00356344186340935,0.138694265550282,0.897043961024774,1.81295476439478,0.42358834491563,0.186650141230543,1.43984666420084,0.136130106459875,NA,0.65900000000056,3.50900000000001
"11423-7","extra_heavy",500,0.806,0.95374201253634,0.41385972195758,0.347756663422789,NA,NA,NA,NA,NA,NA,0.949942951916581,0.00397434958640495,0.332576957226515,0.118212246772293,0.00273864403551115,0.168116104808811,0.848292228768601,3.10504521902415,0.364456947657007,0.147179079495031,1.59837487338704,0.142449454580558,NA,0.926000000000386,3.16799999999967
"11423-8","extra_heavy",500,0.84,0.943996381220807,0.510043879210521,0.285209366634622,NA,NA,NA,NA,NA,NA,0.92592191155994,0.0380498103721897,0.275745808009045,0.145466172233857,0.0247275311575267,0.172819296228338,0.88504664503241,2.24637006163776,0.36075824225511,0.174373888868763,1.58395113034086,0.147663011699762,NA,1.41299999999956,4.22199999999975
"11423-9","extra_heavy",500,0.838,0.989664609954623,0.520337975777287,0.176840574280652,NA,NA,NA,NA,NA,NA,1.04352835627549,0.0445750979352147,0.140727992401901,0.116098771986165,0.0310206577523258,0.19533833258038,1.00613509984371,1.64412143729464,0.273829295081295,0.150207472310291,1.4322922805879,0.146459748504003,NA,1.86800000000039,5.97200000000066
"11423-10","extra_heavy",500,0.834,1.00698322252142,0.609847866767222,0.19274505776497,NA,NA,NA,NA,NA,NA,0.933267200650233,0.041942524179415,0.23820321175901,0.150836425329292,0.0183763552790911,0.131370736096312,0.903214777935379,3.28611885002733,0.261283149605593,0.189908232483557,1.77663570579966,0.129959939673836,NA,0.967999999999847,6.42199999999957
