"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11422-1","light",100,0.15,1.06745471936762,0.425339491462492,0.170999351324329,NA,NA,NA,NA,NA,NA,1.04696451985714,0.491792575473688,0.21520788382389,0.230437098351669,0.335676370463843,0.299607696686537,1.04789639693768,0.556319118574894,0.224068423546979,0.241030306653635,0.437417732679881,0.298137776238604,NA,0.519,0.886
"11422-2","light",100,0.15,1.01153346275669,0.580459935804738,0.221910230080734,NA,NA,NA,NA,NA,NA,1.07272058553679,0.413069800958152,0.274081773696319,0.239382398864043,0.243593022815062,0.314279802258961,1.02772838103675,0.607303338878285,0.275180821673868,0.250395504637218,0.337623297498282,0.307030299408643,NA,0.495,0.752
"11422-3","light",100,0.17,0.971287446914072,0.58081643733395,0.0523478771302329,NA,NA,NA,NA,NA,NA,0.994128819755896,0.608898624260565,0.0462329528508035,0.211211540004056,0.340341318679694,0.274468665019833,0.962998166645875,0.753912698107935,0.0639068950214172,0.21357994143298,0.369936703293598,0.272803170697285,NA,0.497999999999999,1.018
"11422-4","light",100,0.25,0.925928867946972,0.660993244676569,0.217825397402283,NA,NA,NA,NA,NA,NA,0.964474959250239,0.5485953324306,0.255700785235105,0.241483660634769,0.310082963161363,0.309019556238541,1.01175753737512,0.453315581544637,0.356821358998355,0.256029125347318,0.44170872318837,0.31073833146796,NA,0.51,0.930999999999999
"11422-5","light",100,0.11,1.01362345376666,0.248953939389456,0.312224996913498,NA,NA,NA,NA,NA,NA,0.999677140706563,0.301284361867993,0.294913534348446,0.221373579427586,0.403764163960634,0.29240117132352,1.01038233490112,0.278476696732496,0.327125387401533,0.220355880834831,0.456544057777223,0.284057360918859,NA,0.503,0.669
"11422-6","light",100,0.2,1.26441421760892,0.560708608052662,-0.163253604338699,NA,NA,NA,NA,NA,NA,1.21981765738812,0.697793917332959,-0.116557136668482,0.204255151620027,0.266074474994292,0.301258398404562,1.20139481428465,0.867713286142928,-0.0847146035691231,0.218765633286273,0.341296766825525,0.299943523804613,NA,0.503,0.977
"11422-7","light",100,0.21,0.913237762883438,0.336481824956617,0.401531322808008,NA,NA,NA,NA,NA,NA,0.901805036563622,0.42000853483414,0.384224286227768,0.217013475628326,0.258847768897057,0.289145461562235,0.954602053045468,0.320128463062932,0.405927907899948,0.21796683391923,0.290866303120641,0.281818565621317,NA,0.503,1.007
"11422-8","light",100,0.16,0.96772314281706,0.730626874589715,0.305564683649467,NA,NA,NA,NA,NA,NA,0.990085589950319,0.686254595053771,0.295745271565579,0.25614972982985,0.309994853124258,0.327946549975957,0.986722825833389,0.807504186610862,0.327082243408832,0.262377504490169,0.402912482159002,0.321632165265906,NA,0.496,0.808
"11422-9","light",100,0.15,1.09784564192486,0.728037707563594,0.0366289457736261,NA,NA,NA,NA,NA,NA,1.10449789059319,0.759283215484533,0.0245926167635359,0.209559301858658,0.313649641013309,0.28789697027511,1.08009013444313,0.830889726039603,0.122418328495502,0.217970304961972,0.38721264847884,0.289170921711645,NA,0.497,0.830000000000002
"11422-10","light",100,0.18,0.870939999773621,0.557305840082779,0.429519490419032,NA,NA,NA,NA,NA,NA,0.883951324861196,0.579991989682181,0.436699734624583,0.193403194904209,0.276506408270608,0.312686692189852,0.875121270494135,0.712865964960541,0.479422591223447,0.198938835977474,0.396201117893725,0.314689334365454,NA,0.495000000000001,0.863
"11422-11","light",100,0.25,1.01896786249431,0.585345094235148,0.346805375761769,NA,NA,NA,NA,NA,NA,0.946451948047802,0.690340894328059,0.381534255271045,0.213015563502744,0.208392664464553,0.29079363665498,0.937822015111981,0.968188031683387,0.372432071972303,0.206726753195786,0.276887144014056,0.280638061984154,NA,0.506,1.132
"11422-12","light",100,0.23,1.04214565581729,0.849189529399152,-0.026486022831724,NA,NA,NA,NA,NA,NA,1.03124905272685,1.04197905518233,-0.0764320016242592,0.224873398813917,0.300320543327161,0.294611726860547,1.04787149389597,1.18097181834088,-0.00831321712327164,0.232139014667822,0.355593515543372,0.305745934351127,NA,0.501999999999999,0.970000000000002
"11422-13","light",100,0.22,1.09601560381621,0.584602928941876,0.0692328297078458,NA,NA,NA,NA,NA,NA,1.16050543042722,0.506815337591157,0.0642745613854492,0.268026044721205,0.24992425906975,0.318244645720037,1.16059746900311,0.596453755192987,0.0978352085790951,0.271904689409881,0.346654048751275,0.322514000071805,NA,0.501999999999999,0.989000000000001
"11422-14","light",100,0.18,1.00363004257853,0.380529058386671,0.224420866389306,NA,NA,NA,NA,NA,NA,0.964260210429014,0.411616787704536,0.288857604767108,0.275825369563179,0.27599224224675,0.317864149745266,0.963437022365186,0.587262361409239,0.294265439810949,0.28520902226286,0.454120805471991,0.324277828510627,NA,0.513999999999999,0.852
"11422-15","light",100,0.18,1.28533053962108,-0.00240496694288652,0.247975207961946,NA,NA,NA,NA,NA,NA,1.24345112798919,0.0923519540256357,0.238060857528326,0.210694228309352,0.248467934996175,0.287551809578291,1.24885553576064,0.130211434407754,0.230737254140527,0.210913634032696,0.345374952737866,0.279899148055291,NA,0.5,0.879000000000001
"11422-16","light",100,0.18,0.782876806790483,0.580247848493213,0.380106959627559,NA,NA,NA,NA,NA,NA,0.799453515188341,0.612002507410364,0.367619977058741,0.193897764207892,0.280053216988716,0.248620126721335,0.80471347887895,0.702249666441172,0.398903486369808,0.197307609161923,0.354426741005935,0.254567556690308,NA,0.496000000000002,0.872999999999998
"11422-17","light",100,0.18,0.88826037167864,0.836146909405293,0.100340160936347,NA,NA,NA,NA,NA,NA,0.936189061213185,0.777847447284702,0.128020299292557,0.216238197738362,0.319205812135099,0.289142262107935,0.891493100764786,0.887943977690172,0.177028263260152,0.224222734136037,0.350182289479461,0.27866585365702,NA,0.502000000000002,1.013
"11422-18","light",100,0.23,1.01291244799786,0.525429193863888,-0.114718202655025,NA,NA,NA,NA,NA,NA,1.15706146599604,0.138430855038507,0.0912565345433712,0.233771858321696,0.432226656314337,0.337421871052776,0.963215406657827,0.820619338743224,-0.0489884444942223,0.202495829542869,0.297162555818593,0.287904932900206,NA,0.505000000000003,1.049
"11422-19","light",100,0.17,0.766751500028077,0.462789525028237,0.409570051829935,NA,NA,NA,NA,NA,NA,0.789346901227528,0.388516930287438,0.330611941571258,0.227378597167639,0.201153758905495,0.364797678921437,0.799331854316182,0.483141409228723,0.464123180298658,0.25938221909652,0.492037237364338,0.370466746074484,NA,0.500999999999998,0.784999999999997
"11422-20","light",100,0.19,1.16955695298887,0.481305547747393,-0.0548280767646861,NA,NA,NA,NA,NA,NA,1.1214055393743,0.662030413047247,-0.0421273355377403,0.22169207601499,0.303902653701305,0.278823011666645,1.10479337447897,0.820642501060677,-0.0333529595371736,0.225363391859489,0.391728221947627,0.284869069999132,NA,0.545000000000002,0.768999999999998
"11422-21","light",100,0.18,1.01694178541889,0.622707868347661,-0.0322776157989364,NA,NA,NA,NA,NA,NA,1.086806592864,0.576778339792668,-0.0502245801325634,0.229227059465819,0.269717923274406,0.277837139653241,1.10351818596462,0.547589094601308,-0.0146909129942833,0.227956111176226,0.32199307646602,0.28790174876144,NA,0.497,1.002
"11422-22","light",100,0.11,0.944835523717948,0.555155292065804,0.3743695584987,NA,NA,NA,NA,NA,NA,0.987554128768633,0.486298887495035,0.379545169926948,0.20308071555279,0.226386551719409,0.302880532305174,0.954880331694985,0.614415536879573,0.413686653380643,0.203541809315261,0.26837075198439,0.308695321608957,NA,0.5,0.736000000000004
"11422-23","light",100,0.16,1.18641576565559,0.264502349354962,0.299644752047951,NA,NA,NA,NA,NA,NA,1.17477468745429,0.31913616219072,0.266453681066393,0.209026759984492,0.258526340256019,0.291033656823197,1.15696931359828,0.408391922878585,0.289112136956996,0.224490641775955,0.33917455553157,0.290951762521726,NA,0.496000000000002,0.790000000000006
