"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11433-1","extra_heavy",2000,0.818,1.03725073800923,0.554825781597324,0.1740287053937,NA,NA,NA,NA,NA,NA,1.07177986555628,0.400158157427605,0.0534971386168963,0.0566073970948727,0.111893907594488,0.10384667840836,0.924794387735788,1.84408312020823,0.246370725217169,0.0845177482665808,0.486289084810543,0.0720044283877576,NA,1.88999999999999,1.43799999999999
"11433-2","extra_heavy",2000,0.8245,1.03025077464893,0.521505084254358,0.213082521819084,NA,NA,NA,NA,NA,NA,1.05485457608024,0.13590331410926,0.209442034465789,0.0665703600297908,0.0446865124058519,0.0798706528644606,0.982028970543114,1.13919632337769,0.28092625486471,0.0818493356420006,0.361415955919599,0.0689874381249445,NA,1.68600000000004,1.85400000000004
"11433-3","extra_heavy",2000,0.8125,1.01105424491345,0.538528795809196,0.228688620385207,NA,NA,NA,NA,NA,NA,1.10951473004971,0.0834012001754813,0.252659646440471,0.0594088731811683,0.0447229475273972,0.0886293144036474,1.02528969946806,0.910297481314305,0.308949229895119,0.0818802996522196,0.395424780566554,0.0705641363548042,NA,1.67999999999995,1.61599999999999
"11433-4","extra_heavy",2000,0.8155,0.923229695943237,0.523114277882373,0.299966937596671,NA,NA,NA,NA,NA,NA,0.981626196524876,0.0833012802111912,0.3821219199103,0.0630412484125485,0.0399232518876179,0.0815904854395539,0.934986548676469,0.84044307066458,0.435379526617024,0.082900285484602,0.400546360327646,0.0696502597244481,NA,2.14700000000005,1.43599999999992
"11433-5","extra_heavy",2000,0.826,0.970001481491413,0.482634252370981,0.323921094779372,NA,NA,NA,NA,NA,NA,1.02622144888451,0.424274239804428,0.310670687236379,0.0609347306420129,0.190735922167005,0.0987621571176342,0.973715557911847,0.880716940491975,0.403287199987622,0.0831167453970425,0.430607784678427,0.0729848800555725,NA,1.74300000000005,1.48699999999997
"11433-6","extra_heavy",2000,0.8045,0.936932880109664,0.521737746380711,0.305292553790381,NA,NA,NA,NA,NA,NA,1.00004947601133,0.236214587685592,0.339620392856979,0.0642271443837649,0.111169250368657,0.0826074770142697,0.974993157387442,0.612682665885223,0.413054482004178,0.0786074363348699,0.345736531402808,0.0692735329441674,NA,1.55200000000002,1.63800000000003
"11433-7","extra_heavy",2000,0.8225,0.987907111453956,0.500699963394794,0.202985478324952,NA,NA,NA,NA,NA,NA,1.01565479368768,0.0200524279168656,0.177059230585477,0.0645163796721091,0.0069757817019688,0.0903796189452864,0.952456397790353,0.943299290769704,0.271936924731329,0.0849568205117058,0.342056653476484,0.0740586189442253,NA,1.77499999999998,1.88800000000003
"11433-8","extra_heavy",2000,0.8115,0.940041600247844,0.515696010416334,0.350090327544778,NA,NA,NA,NA,NA,NA,0.969600840349284,0.176754926502522,0.324674322777633,0.0598739570668411,0.0541039689866374,0.0850967314483589,0.907796048813794,1.11739771017147,0.448140437202409,0.0801564605122086,0.396360782594113,0.0691936174125325,NA,1.71400000000006,1.52099999999996
"11433-9","extra_heavy",2000,0.816,1.03111861792269,0.536969283369173,0.279055226374878,NA,NA,NA,NA,NA,NA,1.0170740728504,0.0937928646684474,0.251903777362192,0.0670234187021327,0.0252435183456551,0.0813578104854042,0.946039535070855,1.30387903789452,0.363924263792177,0.0838646974557541,0.366038908903909,0.0703671565187358,NA,2.15800000000002,1.47300000000007
"11433-10","extra_heavy",2000,0.805,0.996219416877312,0.436343084861853,0.327430092866474,NA,NA,NA,NA,NA,NA,1.01988553296527,0.110848571338321,0.329024767381277,0.0612582103253204,0.0414053835750437,0.0837743043222054,0.928731614089703,1.19893944108359,0.40521982279765,0.07995469903226,0.406699789062359,0.0671737118412858,NA,1.74400000000003,1.51999999999998
"11433-11","extra_heavy",2000,0.7875,0.976630543470973,0.474300929009286,0.264418748926587,NA,NA,NA,NA,NA,NA,0.977613333385521,0.334949749220676,0.291496343770203,0.0681926953241892,0.115762183854387,0.0811495230747756,0.936605470893698,0.948397036866477,0.36796202382662,0.0836167735651084,0.357403106377125,0.0707500424443629,NA,1.54899999999998,1.48900000000003
"11433-12","extra_heavy",2000,0.807,1.05885084571856,0.462756542277416,0.250089644185282,NA,NA,NA,NA,NA,NA,1.07861914600425,0.376607822581948,0.276654758746887,0.0676533610966863,0.159850462219395,0.0745459456407754,1.05809617536643,0.825320500197555,0.329061909131639,0.0819324444049054,0.398446728837748,0.0668526210541724,NA,1.88,1.82799999999997
"11433-13","extra_heavy",2000,0.8045,1.03267177916786,0.484412931076484,0.300633068961242,NA,NA,NA,NA,NA,NA,1.03752946987199,0.143164059230796,0.28877965793092,0.0623161127964555,0.0438888166444763,0.0804515243847775,0.930002901745864,1.3660231877988,0.375321065085746,0.0834421535519727,0.381222671105442,0.0684219268361509,NA,2.029,1.74199999999996
"11433-14","extra_heavy",2000,0.8125,1.01959638627023,0.471852996528357,0.272081843431133,NA,NA,NA,NA,NA,NA,1.01836250887496,0.0332301379340664,0.332587836373758,0.0666480008592187,0.0118817550129253,0.0736054452502222,0.958201329246288,1.12012251623387,0.394015039596647,0.0825195141988506,0.408587998028333,0.0640267115844471,NA,1.83799999999997,1.96800000000007
"11433-15","extra_heavy",2000,0.826,0.978124028833373,0.473919405854325,0.311719474715433,NA,NA,NA,NA,NA,NA,0.912934851376635,0.506794203211811,0.158991261637899,0.0603486825183339,0.103450036803368,0.088363464058565,0.769163815023782,1.91382734693493,0.344367404396831,0.0805291472271929,0.374688780548497,0.0687386929295272,NA,1.84799999999996,1.89100000000008
"11433-16","extra_heavy",2000,0.8185,0.985044210330856,0.557946155326978,0.224652140922237,NA,NA,NA,NA,NA,NA,0.991009387532725,0.717764269151923,0.174004179608263,0.0655537194823962,0.188684909393578,0.0872800511515479,0.917288518025957,1.48321648005597,0.313698340114207,0.0865052798854652,0.431181322302556,0.0698674923377365,NA,2.09100000000001,1.66000000000008
"11433-17","extra_heavy",2000,0.8075,0.985719085430154,0.520987484911254,0.2815970358296,NA,NA,NA,NA,NA,NA,1.07841695672915,0.252420324625567,0.35974184033749,0.0689899384179416,0.162037939944267,0.0715066079782907,1.0649211729879,0.49719230523742,0.398720276000152,0.0838493414525135,0.392887327838808,0.0669903699588289,NA,1.90300000000002,1.49700000000007
"11433-18","extra_heavy",2000,0.822,1.0135312505442,0.447749908202792,0.284296168752817,NA,NA,NA,NA,NA,NA,1.06530676588835,0.02302708595358,0.299605492428564,0.0626948303329002,0.0114793267376882,0.092068350015793,1.01679552506959,0.814341366486794,0.369700647542625,0.0840942504851753,0.437092990026699,0.071443349546045,NA,2.654,2.32500000000005
"11433-19","extra_heavy",2000,0.832,0.998703195186202,0.538069012705175,0.220402539663378,NA,NA,NA,NA,NA,NA,1.06965886410326,0.0629807795658216,0.261826886966541,0.0619674873716357,0.0272006088800319,0.0806585831458902,1.01583952023813,0.951022280741255,0.348910846879173,0.0850298038178255,0.443659131168963,0.0674698014600202,NA,2.64400000000001,2.28800000000001
