"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","se_alpha_aq","se_beta_aq","se_gamma_aq","alpha_sol","beta_sol","gamma_sol","se_alpha_sol","se_beta_sol","se_gamma_sol","alpha_tr","beta_tr","gamma_tr","se_alpha_tr","se_beta_tr","se_gamma_tr","time_aq","time_tr","time_sol"
"11434-1","light",500,0.158,0.927127614881171,0.692398981448995,0.336424962122939,NA,NA,NA,NA,NA,NA,0.921832153147839,0.732605156669903,0.319081292802968,0.0897309554743531,0.126408560681386,0.129490511398502,0.919125315210198,0.731514594554938,0.31659347582847,0.0888901491235933,0.127586822202653,0.132916420559764,NA,0.762,0.689000000000007
"11434-2","light",500,0.17,0.984518008027843,0.454998591023438,0.317784661682491,NA,NA,NA,NA,NA,NA,0.968349789344073,0.533721360032608,0.30626134618742,0.0996388782116691,0.13767664138438,0.127809381955249,0.972804672386004,0.511444025202027,0.309797527265854,0.0989133590196425,0.141277070028413,0.125027073278312,NA,1.036,0.641999999999996
"11434-3","light",500,0.154,1.03611555918476,0.532972599509286,0.331831422905412,NA,NA,NA,NA,NA,NA,0.983336110837445,0.705254611194361,0.324931333541456,0.0970984229172386,0.138756725507185,0.123569974106153,0.985917101220339,0.700386170012435,0.322324990770985,0.10057707774356,0.145795165601582,0.121739265162573,NA,1.169,1.348
"11434-4","light",500,0.16,0.936383487279481,0.49310508539777,0.316318694628266,NA,NA,NA,NA,NA,NA,0.907694432240996,0.639924890472256,0.27035800757489,0.0944753776625422,0.13442348849003,0.131510615473368,0.906861641444357,0.620761715817152,0.279343052246364,0.0960188873499351,0.131222038493082,0.12699422797985,NA,0.721000000000004,0.713000000000008
"11434-5","light",500,0.18,1.04210123596618,0.416496822915699,0.257640839507981,NA,NA,NA,NA,NA,NA,1.05633044541932,0.37543201315885,0.278175941837268,0.0928385970104585,0.125873095812944,0.136881533280751,1.05926923127859,0.363396642646831,0.272200571493616,0.093812403899646,0.121751854639042,0.133492887070508,NA,0.772000000000006,0.710999999999999
"11434-6","light",500,0.162,0.864302355261503,0.564853473874162,0.415412374272684,NA,NA,NA,NA,NA,NA,0.831583288102511,0.649194446109282,0.399403129315395,0.0949314391823924,0.109727685779402,0.128205637352479,0.831896843716808,0.651077928348107,0.398275797782702,0.0944634556143521,0.109538355084678,0.126375737766427,NA,0.748000000000005,0.681999999999988
"11434-7","light",500,0.174,1.01031485824084,0.430511334146843,0.288441611849094,NA,NA,NA,NA,NA,NA,1.01527233814203,0.449053017206348,0.280870791105724,0.0996867934401689,0.119233803205672,0.135197194297248,1.01325377129036,0.448159863471499,0.27957786550786,0.100538127086234,0.114863599549037,0.133901895906647,NA,0.671000000000006,0.665000000000006
"11434-8","light",500,0.174,1.01950742443634,0.583660066857333,0.274404918754408,NA,NA,NA,NA,NA,NA,1.04475635287965,0.52723498829365,0.290808561999613,0.0869872044160745,0.148174746252916,0.123791768590541,1.0441941635501,0.509692735443996,0.305399258795912,0.0895322743803331,0.143931227577787,0.121626520624799,NA,0.822999999999993,0.839000000000013
"11434-9","light",500,0.168,1.10158619900572,0.574298365638111,0.0882234034432799,NA,NA,NA,NA,NA,NA,1.07451717512707,0.712423295044525,0.0461083502472536,0.0946296993035765,0.135988805187059,0.12913837914093,1.07965910006981,0.683130826730298,0.0505402309210107,0.0905235347439776,0.131742936335546,0.133088407146217,NA,0.974000000000004,0.775000000000006
"11434-10","light",500,0.196,0.974099975638614,0.592727354376974,0.143010482817336,NA,NA,NA,NA,NA,NA,0.965746358618249,0.648747617758818,0.124734471005823,0.0973963531618601,0.124864235041339,0.131732417550832,0.97345155970311,0.625736849813343,0.125871505680498,0.0983835735771859,0.120300558011257,0.132097382593781,NA,1.06999999999999,0.963999999999999
