"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11429-1","extra_heavy",500,750,0.818,1.0147718702045,0.433959900172448,0.335534107087146,0.161377349305515,0.42195144980659,0.14410244248508,5.32499999999999,NA
"11429-2","extra_heavy",500,750,0.806,0.886015190876688,1.01896333302842,0.30861421005964,0.147449334575766,0.575594381013175,0.134757699417898,6.072,NA
"11429-3","extra_heavy",500,750,0.808,1.0199938269048,0.052250437704569,0.36606319090701,0.0966027566848192,0.0344295262111226,0.221728101877718,2.55999999999995,NA
"11429-4","extra_heavy",500,750,0.78,0.942537605305876,0.391810328792448,0.31102932272908,0.11022797769656,0.260708216555632,0.192407042532293,3.97700000000003,NA
"11429-5","extra_heavy",500,750,0.806,1.09722105450368,0.492388831972201,0.34771562991093,0.148323355850602,0.655972957104194,0.136981678899413,5.59200000000004,NA
"11429-6","extra_heavy",500,750,0.834,0.928222868436115,0.70516648392145,0.258199031512998,0.133911279414592,0.415383082791538,0.209918761030902,4.80100000000004,NA
"11429-7","extra_heavy",500,750,0.818,0.951867473868851,0.246727774461658,0.260495526790719,0.12448305910936,0.173791815934768,0.173642879788377,3.76400000000001,NA
"11429-8","extra_heavy",500,750,0.798,1.06460458477676,-0.252739805917628,0.644679384865957,0.146767676050231,0.495046260114579,0.151856384035483,5.45300000000003,NA
"11429-9","extra_heavy",500,750,0.836,0.968785016982881,0.168184871220458,0.454972523947801,0.210777851058436,0.197634263617961,0.157362968249178,4.41899999999998,NA
"11429-10","extra_heavy",500,750,0.774,0.945474174992382,0.776894163168907,0.101411081857685,0.108457619636039,0.248753780505325,0.161436555041813,4.65800000000002,NA
"11429-11","extra_heavy",500,750,0.834,1.11970552146938,0.417169040804484,0.15757257930209,0.133367872795688,0.331570416694498,0.184659423885768,4.40199999999999,NA
"11429-12","extra_heavy",500,750,0.846,1.07850781214876,0.528942017252294,0.37992218711735,0.151912968850014,0.524488411399195,0.138814228412251,6.74799999999999,NA
"11429-13","extra_heavy",500,750,0.818,1.07315591557093,0.157793785580255,0.35336310459158,0.107607743852286,0.138295713470543,0.19825014030643,3.35300000000001,NA
"11429-14","extra_heavy",500,750,0.822,1.05537953937978,0.295191487029408,0.343929089761737,0.126340318117798,0.242346459056234,0.174059265497405,4.13200000000001,NA
"11429-15","extra_heavy",500,750,0.808,0.856980279521165,0.374985980179987,0.373626949095797,0.132118447652214,0.190672961890479,0.158097680441851,3.83499999999998,NA
"11429-16","extra_heavy",500,750,0.822,NA,NA,NA,NA,NA,NA,0.0169999999999959,NA
"11429-17","extra_heavy",500,750,0.768,0.988022748637806,0.421562552385269,0.36482963381913,0.106867023206568,0.28922954481161,0.221230306406776,4.42500000000001,NA
"11429-18","extra_heavy",500,750,0.786,1.12925950059489,0.478504599066151,0.147140333897226,0.132462335672752,0.829814427789317,0.16821511052748,5.577,NA
"11429-19","extra_heavy",500,750,0.808,1.00710772087051,0.342738476781834,0.287802901294949,0.116551516373028,0.240982138756142,0.164627180502045,4.58300000000003,NA
"11429-20","extra_heavy",500,750,0.83,1.29659831171213,-0.14849372387039,0.29431135162124,0.158714994299903,0.53007355509978,0.144189281784868,5.928,NA
"11429-21","extra_heavy",500,750,0.806,0.849675283454858,0.672932826798623,0.243555719875278,0.130300564347608,0.310715496562283,0.143321686039607,5.21800000000002,NA
"11429-22","extra_heavy",500,750,0.802,0.985386473985363,0.205559087862202,0.0589498508611683,0.104956089900618,0.0890984706822002,0.217761940321165,3.09499999999997,NA
"11429-23","extra_heavy",500,750,0.808,1.10501306950213,0.633034072533448,0.171580781395852,0.130999406190495,0.491314783020503,0.15082450944702,5.553,NA
"11429-24","extra_heavy",500,750,0.802,0.981634798020889,0.35378810893169,0.0903714065728688,0.113387491689391,0.181845795113357,0.191053481496089,3.80899999999997,NA
"11429-25","extra_heavy",500,750,0.812,0.91942729212642,1.18292259428021,0.369068029001929,0.164023791131458,0.662717773475576,0.135521917022362,6.48199999999997,NA
"11429-26","extra_heavy",500,750,0.808,0.993389635747071,0.382057522800986,0.0995717168826634,0.127710667568726,0.162538879189776,0.153908413620644,3.86599999999999,NA
"11429-27","extra_heavy",500,750,0.822,1.00868775510234,0.486228381530221,0.0723845549087999,0.138818076073732,0.314214513566849,0.176792504058486,5.21199999999999,NA
"11429-28","extra_heavy",500,750,0.818,1.07720968007346,0.434391889754742,0.220622112303465,0.131773421634118,0.362811334743412,0.190376737708645,5.42899999999997,NA
"11429-29","extra_heavy",500,750,0.808,0.869874591833647,1.67167294089938,0.193757193953224,0.151161619330116,0.762999131572804,0.207250891910671,5.57500000000005,NA
"11429-30","extra_heavy",500,750,0.852,1.12347410170006,0.00887594024023205,0.297862052392307,0.101427744131737,0.0360701087227051,0.229532452926873,2.37399999999991,NA
"11429-31","extra_heavy",500,750,0.826,1.04908066448877,0.259673468029321,0.267071541584871,0.127228237024063,0.200009335210005,0.156159934854313,4.35500000000002,NA
"11429-32","extra_heavy",500,750,0.822,0.946974675191228,0.615323503308489,0.0479044909781782,0.128572774869428,0.228813280038582,0.156068297535216,4.61399999999992,NA
"11429-33","extra_heavy",500,750,0.83,1.04183979047886,0.120264472114147,0.336469816562351,0.153443514705477,0.159840855371549,0.137528604474112,4.2700000000001,NA
"11429-34","extra_heavy",500,750,0.786,0.992292104239573,0.861131146121813,0.393081392713773,0.134296364573877,0.528607365926319,0.156337872885532,6.51199999999994,NA
"11429-35","extra_heavy",500,750,0.814,1.08666804874446,0.0996658734034545,0.231227202142905,0.107370748032502,0.0789070685968446,0.188539177862443,2.798,NA
"11429-36","extra_heavy",500,750,0.824,0.936781096323723,0.0672432756683104,0.414720056806491,0.108262629696538,0.0608624756887155,0.199569648617651,2.80100000000004,NA
"11429-37","extra_heavy",500,750,0.804,1.13994864671216,0.273206579920183,0.0672040544789011,0.105537126298892,0.149745834142364,0.208953195932908,3.51699999999994,NA
"11429-38","extra_heavy",500,750,0.792,1.10700934677769,0.198470462128896,0.231309715588858,0.131029778199435,0.128614519984151,0.135095870245234,3.54300000000001,NA
"11429-39","extra_heavy",500,750,0.81,0.974160178174126,0.295897364346187,0.430531969365086,0.138294878244261,0.314191037231853,0.159028245318385,4.74200000000008,NA
