"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11435-1","heavy",100,100,0.53,1.14053443109405,0.822062876891055,0.204032829284545,0.258861501116175,0.464186714005346,0.273013660505507,1.624,NA
"11435-2","heavy",100,100,0.46,1.01296582712217,0.245337787484852,0.226209947232419,0.240640260574091,0.446687269035363,0.318992510172518,1.548,NA
"11435-3","heavy",100,100,0.54,0.909190865186339,0.332077640082191,0.232843797756947,0.24410975411555,0.415311534369298,0.315493419311718,1.618,NA
"11435-4","heavy",100,100,0.43,1.1366219887839,0.638766657390566,0.166782675405414,0.30034455325211,0.655156481290075,0.323634206396054,1.364,NA
"11435-5","heavy",100,100,0.48,1.28091131893434,-0.0582706008454638,0.0111315820130042,0.236214343144099,0.46567723757416,0.294752693400886,1.53,NA
"11435-6","heavy",100,100,0.49,0.841147562792953,1.26591991595725,0.219529430194805,0.247716793510434,0.491275468499063,0.321987738460475,1.591,NA
"11435-7","heavy",100,100,0.45,0.746150318426937,0.547299436404192,0.737509380042296,0.214820125069347,0.540956667255614,0.295216163533194,1.362,NA
"11435-8","heavy",100,100,0.51,1.18491022408607,0.131245659083588,0.405060051328871,0.259433613618505,0.46369915313674,0.293730031180524,1.795,NA
"11435-9","heavy",100,100,0.48,0.968979363073215,0.396828355219724,0.407312105160129,0.231795018395971,0.485513219542553,0.296411827921674,1.626,NA
"11435-10","heavy",100,100,0.52,1.03831910716274,0.83514615102795,0.0462201880268327,0.244571053595077,0.597249843940966,0.368138443615787,1.829,NA
"11435-11","heavy",100,100,0.47,0.876788802095212,0.819079656983068,0.291842209387177,0.221421514862694,0.296928080568623,0.277777447937935,1.338,NA
"11435-12","heavy",100,100,0.43,0.887018367896215,0.622084613083958,0.107665866966324,0.217833530977762,0.375749952462196,0.346678498059524,1.204,NA
"11435-13","heavy",100,100,0.5,0.85190894582974,1.36839860252816,0.200248618357338,0.287144522620458,0.621996282689087,0.327451297230598,1.509,NA
"11435-14","heavy",100,100,0.49,1.14432521082706,0.0661552955404591,0.324922379068929,0.230808075334619,0.438171445312184,0.276182058764865,1.648,NA
"11435-15","heavy",100,100,0.53,1.01351155098542,0.130742510368612,0.702335595199641,0.235993704397443,0.57975707085029,0.270686969470437,1.42,NA
"11435-16","heavy",100,100,0.53,1.13553434709615,0.0606313008106761,0.409926053502738,0.215259105174149,0.301550171789375,0.292432037847897,1.439,NA
"11435-17","heavy",100,100,0.43,0.914366623782209,0.801730503398197,0.220775475173361,0.233142394423428,0.320236314839776,0.316561911206967,1.699,NA
"11435-18","heavy",100,100,0.55,0.928291294749227,0.616129075993635,0.176772680402632,0.283675932920734,0.413605316821665,0.325154448372432,1.949,NA
"11435-19","heavy",100,100,0.5,0.944671688408525,0.668748049004758,0.304625215982521,0.25469035682563,0.31697702103874,0.298776659388413,1.715,NA
"11435-20","heavy",100,100,0.54,1.1960462072979,0.0955313332891831,0.479905910990016,0.254785095011888,0.403535732962439,0.298681609235936,1.804,NA
"11435-21","heavy",100,100,0.48,0.927139271192129,0.926755796563082,-0.205622868105929,0.218301586659032,0.396589403443933,0.315608671841309,1.561,NA
"11435-22","heavy",100,100,0.39,0.743909671717284,1.1975135964448,0.385318829493272,0.27460957079003,0.491311132701165,0.304958733985092,1.15900000000001,NA
"11435-23","heavy",100,100,0.5,0.822336216839446,0.545404684127369,-0.0121482248865103,0.281138518221991,0.470439594611822,0.317532496501918,1.579,NA
"11435-24","heavy",100,100,0.46,0.941605657682225,0.91497192989402,0.0662084438716125,0.242179590802093,0.501225559976432,0.293751381762845,1.66200000000001,NA
"11435-25","heavy",100,100,0.53,0.951135093332078,1.018058382829,0.139586796585182,0.243076131472932,0.495017670625642,0.297049524825971,1.425,NA
"11435-26","heavy",100,100,0.48,1.02954745420523,0.453519060390776,0.420115666931226,0.23982073344255,0.427872394260121,0.272682309002881,1.676,NA
"11435-27","heavy",100,100,0.43,0.89905073052035,0.506743051301492,0.495577794690625,0.251605941897685,0.569431102568459,0.297746246492144,1.52099999999999,NA
"11435-28","heavy",100,100,0.51,0.961836206056146,0.585239640845571,0.148376113964267,0.267088880118298,0.390003711983419,0.338340571078053,1.189,NA
"11435-29","heavy",100,100,0.6,1.21488811232058,0.573049009331654,-0.22763343064204,0.256410087229875,0.361142568881183,0.313258271024168,2.053,NA
"11435-30","heavy",100,100,0.41,1.10851796013748,1.04560498360792,-0.0363231934118114,0.252105841696064,0.557730601316488,0.288578059719603,1.813,NA
"11435-31","heavy",100,100,0.39,1.07056920700712,0.314673392197606,0.237292161328911,0.229968181731984,0.543811802852671,0.318476793983339,1.362,NA
"11435-32","heavy",100,100,0.52,0.953487909645457,1.38047166927699,-0.0687497454951607,0.253639524395401,0.648123199270221,0.335114054411968,1.591,NA
"11435-33","heavy",100,100,0.5,0.856773794384528,0.748465200406136,0.417434871063447,0.25314100568233,0.432868901426152,0.312752960210298,1.427,NA
"11435-34","heavy",100,100,0.45,0.822275824173113,0.715741625985048,0.342421871332774,0.249290744968435,0.51083988777377,0.319457610344415,1.67,NA
"11435-35","heavy",100,100,0.54,1.24083341454151,0.613587246269497,0.24058236403693,0.276103776699104,0.62837019458108,0.363356276081434,1.659,NA
"11435-36","heavy",100,100,0.43,1.08340071270117,1.05373736140891,0.103482593239981,0.246756975497875,0.53355422904823,0.306055786217476,1.866,NA
"11435-37","heavy",100,100,0.47,0.730626046587204,0.327134476081857,0.643259617255291,0.247181228403333,0.460206947039621,0.296137205912561,1.861,NA
"11435-38","heavy",100,100,0.46,0.571991796202444,1.27010128156732,0.689490471859764,0.249272546569631,0.468805366350259,0.319714912077222,1.40300000000001,NA
"11435-39","heavy",100,100,0.46,1.20589201840319,0.710552760126962,0.0566998481881996,0.271115847443863,0.530621202731082,0.353707740514072,1.63399999999999,NA
"11435-40","heavy",100,100,0.49,1.21601561411264,0.486576691872116,0.152908961223617,0.224982049281488,0.411760197022724,0.335063324011898,1.443,NA
"11435-41","heavy",100,100,0.5,1.02640629843022,-0.00954598224659576,0.440730166295776,0.269735975025573,0.574110994327677,0.315296064460207,1.545,NA
"11435-42","heavy",100,100,0.55,1.03731921553268,0.414310804807424,0.298190981697317,0.228964984531969,0.341129052888214,0.324705941758203,1.97800000000001,NA
"11435-43","heavy",100,100,0.39,1.16590248321462,0.0385146914258203,0.326389447307315,0.234861047220147,0.535292050071171,0.289304484970219,1.498,NA
"11435-44","heavy",100,100,0.48,0.731565991394279,0.771682124644328,0.577487713473842,0.187976169031759,0.364917228104478,0.271156218741943,1.384,NA
"11435-45","heavy",100,100,0.63,1.1523354516554,0.119641726551931,0.655442523396425,0.266394292381549,0.40876831165685,0.369133666101067,1.72499999999999,NA
"11435-46","heavy",100,100,0.47,1.11879759696257,0.254319595681642,0.233912698238044,0.206465129428422,0.479894163982483,0.30791867271323,1.50800000000001,NA
"11435-47","heavy",100,100,0.43,1.16492535219881,0.756624736335542,0.0907982280140366,0.212086137496159,0.412307659156013,0.29936874742858,1.363,NA
"11435-48","heavy",100,100,0.48,1.12761960616686,0.269082302631642,0.173528024918532,0.226599976884314,0.542866139644474,0.272275740780121,1.73899999999999,NA
"11435-49","heavy",100,100,0.44,0.946649943988715,0.212617400141806,0.304889374288831,0.202546902859285,0.300660677425042,0.299703369005566,1.399,NA
"11435-50","heavy",100,100,0.53,0.924672098801269,0.644179743965295,0.447618476956169,0.206052523249904,0.469289821332517,0.278785705383489,1.72799999999999,NA
