"sim","censoring","n","subdivisions","perc_censored","alpha_extrap","beta_extrap","gamma_extrap","se_alpha_extrap","se_beta_extrap","se_gamma_extrap","time_extrap","time_extrap_no"
"11433-1","light",100,200,0.16,0.981649645862133,0.222243300239279,0.341466166950299,0.246202820422174,0.335255089609158,0.286887107974782,1.08399999999999,NA
"11433-2","light",100,200,0.19,0.969375184997417,0.335871170407984,0.337260748228326,0.231855502700258,0.253058410331513,0.315138307298465,0.970999999999989,NA
"11433-3","light",100,200,0.27,0.917342078580359,0.495612162527409,0.0975481320046421,0.227825564544747,0.28812473395218,0.328141721705348,1.3,NA
"11433-4","light",100,200,0.24,0.882441922667913,0.361385288339411,0.511625155046923,0.191868028150565,0.219862669927642,0.318447901534653,1.08,NA
"11433-5","light",100,200,0.22,0.892273700662524,0.440124971048849,0.137179532970302,0.20816412197174,0.224047619069295,0.285125324490157,1.071,NA
"11433-6","light",100,200,0.23,1.32599452425992,0.357702511151186,-0.0347253740866729,0.234443138707997,0.195282594270983,0.301354117757327,1.21600000000001,NA
"11433-7","light",100,200,0.13,0.851681638486243,0.258301344927683,0.581907991451058,0.21384610023448,0.212503637375714,0.307263610339579,0.893000000000001,NA
"11433-8","light",100,200,0.16,1.19470032778314,0.302924850636621,-0.0472576779504067,0.222763287118054,0.186548099813419,0.306138018451861,1.03100000000001,NA
"11433-9","light",100,200,0.15,0.858434457255933,0.652123142648425,0.374636855428537,0.196691073049947,0.191452092449808,0.270814480758994,0.828999999999994,NA
"11433-10","light",100,200,0.15,1.15086053573052,-0.112591495259425,0.358539552108826,0.17412804647185,0.380437046758402,0.278695752122753,1.03,NA
"11433-11","light",100,200,0.16,1.00760023543793,0.298481010095671,0.363601228520624,0.225615465240135,0.302714021966049,0.341041257561451,1.05099999999999,NA
"11433-12","light",100,200,0.19,1.05202698584459,0.412199679837373,0.379985257954281,0.221961595136812,0.279844891579382,0.276298682575855,1.11100000000002,NA
"11433-13","light",100,200,0.27,1.23265444183266,0.446022992304619,-0.0527661855360548,0.186001824645728,0.16825405208752,0.265940295844362,1.23699999999999,NA
"11433-14","light",100,200,0.15,0.941695746176662,0.310490447295377,0.482262058620099,0.240043864485375,0.186837975033091,0.318072069003843,0.965000000000003,NA
"11433-15","light",100,200,0.15,0.992685026573084,0.482168793567096,0.261981486974422,0.259483250480623,0.440493675800996,0.297622914077704,0.951999999999998,NA
"11433-16","light",100,200,0.16,1.02422221369002,0.230749846588761,0.0763066153200734,0.248055058089037,0.357386274405107,0.347905964983605,1.06,NA
"11433-17","light",100,200,0.2,0.924146748520493,0.715660961005927,0.311113413835689,0.279837880132194,0.342194381340026,0.335552030787998,1.00899999999999,NA
"11433-18","light",100,200,0.11,1.09163475116886,0.0686933503021823,0.548589371449235,0.215395984949146,0.388044608892788,0.333208611657519,0.844999999999999,NA
"11433-19","light",100,200,0.2,1.30365511757088,0.49331001452091,-0.13767913046556,0.23906797074207,0.289989687988339,0.303393344736051,0.884999999999991,NA
"11433-20","light",100,200,0.16,0.900500952138336,0.250148077188919,0.520833953477461,0.238463101942329,0.276367247858237,0.325850202150954,1.09999999999999,NA
"11433-21","light",100,200,0.19,0.870581503992822,0.356485211668849,0.43178634512379,0.20582319183905,0.210833237436176,0.292027414304676,1.578,NA
"11433-22","light",100,200,0.3,0.979771721982569,0.205746386595385,0.554510980449254,0.21862903822089,0.221541717262845,0.304960204208587,1.51400000000001,NA
"11433-23","light",100,200,0.17,1.09985850753787,0.526536442606603,-0.164100114211252,0.215208082398948,0.351325305618862,0.341428995298212,1,NA
"11433-24","light",100,200,0.16,0.829831572678462,0.688567641346116,0.191227474177464,0.21681498642779,0.397090171276457,0.285858799719439,0.982999999999976,NA
"11433-25","light",100,200,0.19,1.12514962795409,0.393931840880195,0.27544617450283,0.251464668362773,0.312387430595,0.323531062036418,1.107,NA
"11433-26","light",100,200,0.18,0.99290675400071,0.611261326534362,0.161260736102329,0.222143485271588,0.290465438184689,0.265142978611107,0.896999999999991,NA
"11433-27","light",100,200,0.14,0.939803603143519,0.367693949242621,0.300833771498311,0.221025591074487,0.308540983418154,0.284943234644056,1.011,NA
"11433-28","light",100,200,0.19,0.726062630763079,0.641772267507688,0.67156091140801,0.208050342409426,0.206854224981029,0.28725856485022,1.15899999999999,NA
"11433-29","light",100,200,0.15,1.0992112146761,0.164913458149695,0.23843679050007,0.243188383890311,0.387233513394783,0.26638649481165,0.950000000000017,NA
"11433-30","light",100,200,0.14,1.08846984516879,0.554595858747629,0.389671702984468,0.212432620426042,0.272414619531859,0.268725101880045,0.780000000000001,NA
"11433-31","light",100,200,0.14,1.08546722596017,0.68368783683849,0.0739028777451962,0.257058253336171,0.412702119277581,0.315533049763584,1.16499999999999,NA
"11433-32","light",100,200,0.19,0.997442996211476,0.567167338924826,0.41265494679941,0.223661961562765,0.322076563413908,0.30784447019191,1.17400000000001,NA
"11433-33","light",100,200,0.2,0.921420183414193,0.211176227734614,0.304864793660657,0.247423500975966,0.203728768763616,0.302086491785457,1.17000000000002,NA
