"sim","censoring","n","perc_censored","alpha_fc","beta_fc","gamma_fc","alpha_aq","beta_aq","gamma_aq","alpha_tr","beta_tr","gamma_tr"
"114-1","extra_heavy",100,0.79,1.38274063802176,0.311939734670454,-0.0587228808673399,1.31108837418552,0.586150228360751,-0.179049667611791,1.20848969397932,2.14710150849995,-0.0394280261946186
"114-2","extra_heavy",100,0.83,0.984913399583036,0.299001192728415,0.0506407841495948,1.21913933389359,-0.490855501080378,0.227366965569136,1.32987223588062,-2.46586797315231,0.100997658703479
"114-3","extra_heavy",100,0.81,1.00992078050648,0.460347104231255,0.526980026549402,0.923027927663806,0.843731379914397,0.340592619078266,0.735812989447366,3.43432479772411,0.520713483310094
"114-4","extra_heavy",100,0.8,0.98024971364741,0.507447439175316,0.263128610547401,0.766697754494836,1.09625346844042,0.217366114580476,0.565369102321527,3.60911196421748,0.459103545976287
"114-5","extra_heavy",100,0.77,0.780779312652514,0.550547020820201,0.685236127932491,0.939028950147694,-0.074345022744901,0.881850505583007,1.05976978122542,-1.61643454698564,0.895631771144026
"114-6","extra_heavy",100,0.85,1.03746651482661,0.482904305702393,0.0605865448154251,1.07194711911946,0.383487456150709,0.0596163655386999,1.07967558076658,0.978429293279817,0.147308525758226
"114-7","extra_heavy",100,0.83,0.994018896809951,0.767081731717513,0.157093069821176,1.06725701924721,0.435472646909155,0.353179742379841,0.90671854253671,2.31183768218732,0.432979088039308
"114-8","extra_heavy",100,0.79,1.00181667778263,0.248030711539437,0.54443692647019,1.00383486073435,0.210331330404065,0.531560821093038,0.908824302139588,1.31390576892113,0.573248399467269
"114-9","extra_heavy",100,0.78,1.13417750387852,0.59065919741265,0.237217251738142,1.09995124269384,0.824763438388258,0.0737584609377464,1.01272147696485,2.19222417571059,0.269932145330434
"114-10","extra_heavy",100,0.83,0.980016294099508,0.722145241443119,0.219296951281055,1.05964468030686,0.322682291761499,0.304949370440483,0.751218197050947,3.20407986792653,0.328300819287024
"114-11","extra_heavy",100,0.8,0.870065589372075,0.484905150991923,0.351198455307161,0.905469766066231,0.363344447468707,0.399951371240179,1.04587470501614,-0.338435967205578,0.539309388232951
"114-12","extra_heavy",100,0.83,1.04310603400762,0.469960318798056,0.418014931007738,0.875735181400699,0.886094015027224,0.278608243075725,0.692761763982027,3.77542336071764,0.496181223298612
"114-13","extra_heavy",100,0.77,0.968359578389833,0.548653108700688,0.499202476875068,0.914014759757181,0.660060463716799,0.507877014105686,0.694930665271897,3.70502195849461,0.630799113215982
"114-14","extra_heavy",100,0.81,1.25997153202143,0.385737646107561,0.211560408339534,1.24683190824163,0.446124808204598,0.211641659866154,1.02507494184273,3.120807397854,0.282534704582453
"114-15","extra_heavy",100,0.84,0.883678654131081,0.272200825927449,0.542750215543468,1.24144102205008,-0.762521596339338,0.788808294402951,1.34736738731936,-2.45085980014083,0.603313247742558
"114-16","extra_heavy",100,0.84,1.11222934016646,0.475232838811544,0.129331298727368,1.13389251280121,0.371285140820838,0.15387377991396,1.14425431417406,0.613907804850615,0.255314686361384
"114-17","extra_heavy",100,0.8,1.11838933327694,0.575379736770221,0.0392873706626955,1.15793054220741,0.387915438322822,0.127220032646702,1.02774575392128,2.38018990704378,0.197618607582544
"114-18","extra_heavy",100,0.8,0.903830382347527,0.636196622393232,0.286727702070159,0.951476701408615,0.442530200420129,0.323352736178506,0.81421517376599,2.15468098572635,0.430104311249851
"114-19","extra_heavy",100,0.84,1.22839039619552,0.498497020361584,0.0957853266496781,1.24024452550311,0.410469330458317,0.153243014147529,1.14605296372564,1.35563517140461,0.249569521821456
"114-20","extra_heavy",100,0.79,1.27378019564157,0.238974598277977,-0.0458886209549921,1.16089066865986,0.696691952762654,-0.231919754096205,0.947908166521032,2.31347745361487,-0.0679260880062208
"114-21","extra_heavy",100,0.79,0.771981567077663,0.868403310504546,-0.0494988772399771,0.657681727818301,1.32185735083706,-0.315280667145679,0.561720909451455,3.37039938684812,-0.00715437427494923
"114-22","extra_heavy",100,0.76,0.995069837511648,0.564115693918535,0.491636867102967,1.04956933719936,0.261684468170282,0.545031908671793,1.04794626692963,0.672628351693097,0.610355551800856
"114-23","extra_heavy",100,0.82,0.866157775547986,0.646676163675951,0.265332012869986,0.869207022193559,0.605822926013858,0.214343596759482,0.82139424786377,1.95673898111985,0.401477389347879
"114-24","extra_heavy",100,0.86,0.975224144200763,0.474289756957241,0.290038983828501,0.873979116586308,0.695681369187447,0.212751294423514,0.775454938782396,1.89989226418375,0.39589379869845
"114-25","extra_heavy",100,0.9,0.887094550931191,0.454359354823528,0.318490041347221,1.00551082849413,0.141239161631798,0.398839719668017,1.10333830195913,-0.393113269974646,0.459769764113077
"114-26","extra_heavy",100,0.78,0.890871344405716,0.660046918545743,0.033499763143718,1.01001986409021,0.216721336002445,0.300905249313621,1.03310402446252,0.344273532297467,0.364877455695507
"114-27","extra_heavy",100,0.83,1.12259961421401,0.174296210340478,0.331887296291968,1.22884547502142,-0.176341509921224,0.41601801697603,1.27407152579125,-0.566355943562928,0.377166407793435
"114-28","extra_heavy",100,0.8,0.872277107085763,0.503601709031077,0.147937348846368,0.868222899058161,0.490861469609803,0.112656241208279,0.797246128706518,2.01638282427656,0.2289233557095
"114-29","extra_heavy",100,0.82,1.06093769976702,0.316649431470035,0.392203502796146,1.06697258709675,0.195104106753928,0.436720494406363,0.995345286034419,0.910338052539276,0.470697283312236
"114-30","extra_heavy",100,0.82,1.0342848692718,0.872016704614786,0.0454942591044127,1.00130972857819,1.06414691668626,-0.163478118065542,0.549154436156709,6.69960326010487,0.077922392184372
"114-31","extra_heavy",100,0.79,0.976420134922585,0.415261751519807,0.362518624553851,0.654764244373155,1.43505887418854,0.0769647104131252,0.109828958792427,9.52650582468119,0.347969450951575
"114-32","extra_heavy",100,0.68,0.841461739803341,0.736208092329464,0.210582195173066,0.842399517435829,0.553385691674826,0.250682750543953,0.842042948009711,1.35833351516636,0.371948645694651
"114-33","extra_heavy",100,0.83,0.958596547932417,0.769685836472534,0.265799818805928,1.34320313465533,-0.154526512385707,0.239093994814449,1.38652574585666,-0.54146410064251,0.203607671963375
"114-34","extra_heavy",100,0.79,0.615788652984825,0.519164266060454,0.959796803227969,0.503127527402815,0.895336571987773,0.816307131034687,0.32004289527128,2.95229265409076,1.01767944966301
"114-35","extra_heavy",100,0.8,0.920085206074504,0.329322820421152,0.320015230177893,1.07925188564997,-0.179455538509808,0.426124087547906,1.10038991853802,-0.62516827522387,0.379820274043754
"114-36","extra_heavy",100,0.83,0.917581690518517,0.684386191209825,0.261183490474706,1.12245227602897,-0.00951920986548777,0.447284566787291,1.02604043634333,0.745265008798309,0.407438668613089
"114-37","extra_heavy",100,0.84,1.11159911279454,0.425340579425691,0.36545067751152,1.18737065133104,0.0929132842111152,0.496685651189615,1.00180264303311,1.99426659726504,0.461861681361095
"114-38","extra_heavy",100,0.87,0.78029149522973,0.715969101375776,0.26695658231124,0.698143968369294,1.07229588190944,0.0986052825839494,0.417840908678776,5.39938591782912,0.366607460588824
"114-39","extra_heavy",100,0.77,1.01837642250931,0.479308060880164,0.382231297492921,0.950472065928738,0.771811047221036,0.259574692217197,0.931657523072037,1.99800643536537,0.46463946817258
"114-40","extra_heavy",100,0.75,1.0309060589637,0.289557469542351,0.33698392182094,1.14894175927311,-0.175114246630392,0.480747096455126,1.17842540628672,-0.735885189455381,0.435657073877719
"114-41","extra_heavy",100,0.86,0.603538695593248,0.537501338203489,0.696610324051283,0.651306945956688,0.259086053519735,0.872073028260184,0.766646896574223,-0.282086051462029,1.00106938748501
"114-42","extra_heavy",100,0.84,0.996421468574873,0.570125137596458,0.351006214681966,0.806235833475275,1.2157413915341,0.137829085289098,0.475538157107218,6.0862779791788,0.443242165628467
"114-43","extra_heavy",100,0.77,1.05659221993776,0.245578910218229,0.487643692442466,0.966146135454667,0.605642392542568,0.350151851661673,0.859089990262052,2.59610314538592,0.49935529144545
"114-44","extra_heavy",100,0.82,1.05087702741286,0.893068743342673,-0.276341896493553,1.14620825365553,0.755190276933533,-0.273927115324784,1.04877226898893,2.37412381221942,-0.0857684330622071
"114-45","extra_heavy",100,0.79,1.17778914241584,0.574005106080117,0.0882315139762565,1.25311338117497,0.144297308924278,0.222427419478057,1.17233600545062,1.11372013768786,0.244844186157296
"114-46","extra_heavy",100,0.82,0.862640664515491,0.577254820195029,0.413660886072999,0.977260629057989,0.349267789391226,0.333330452619301,0.862316116438978,1.37956728726966,0.411426690976653
"114-47","extra_heavy",100,0.8,1.13011798077642,0.429862960271778,0.0689719891855568,1.11636202703968,0.431260676073443,0.162433822750509,1.21002027890877,0.278754248516493,0.290412891527051
"114-48","extra_heavy",100,0.85,0.814376464738537,0.691010452737848,0.435916045053975,0.803880405891693,0.689434006485941,0.378096619527432,0.701367921147784,2.69750530121856,0.552734461517892
"114-49","extra_heavy",100,0.84,1.0507030571887,0.395123019052611,0.149688518095065,0.98042258028317,0.683034822565092,0.0266353524793169,0.811788373995771,2.44796919046444,0.186736186196313
